,ap,pv,rg,geomtype
0,พระนคร,กรุงเทพมหานคร,Central,Polygon
1,ดุสิต,กรุงเทพมหานคร,Central,Polygon
2,บางรัก,กรุงเทพมหานคร,Central,Polygon
3,พญาไท,กรุงเทพมหานคร,Central,Polygon
4,บ้านนา,นครนายก,Central,Polygon
5,องครักษ์,นครนายก,Central,Polygon
6,หนองจอก,กรุงเทพมหานคร,Central,Polygon
7,คลองเตย,กรุงเทพมหานคร,Central,Polygon
8,บางเขน,กรุงเทพมหานคร,Central,Polygon
9,พระโขนง,กรุงเทพมหานคร,Central,Polygon
10,บางกะปิ,กรุงเทพมหานคร,Central,Polygon
11,ปทุมวัน,กรุงเทพมหานคร,Central,Polygon
12,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Central,Polygon
13,มีนบุรี,กรุงเทพมหานคร,Central,Polygon
14,สัมพันธวงศ์,กรุงเทพมหานคร,Central,Polygon
15,ลาดกระบัง,กรุงเทพมหานคร,Central,Polygon
16,ยานนาวา,กรุงเทพมหานคร,Central,Polygon
17,ธนบุรี,กรุงเทพมหานคร,Central,Polygon
18,บางกอกใหญ่,กรุงเทพมหานคร,Central,Polygon
19,ห้วยขวาง,กรุงเทพมหานคร,Central,Polygon
20,คลองสาน,กรุงเทพมหานคร,Central,Polygon
21,ตลิ่งชัน,กรุงเทพมหานคร,Central,Polygon
22,บางกอกน้อย,กรุงเทพมหานคร,Central,Polygon
23,บางขุนเทียน,กรุงเทพมหานคร,Central,Polygon
24,ภาษีเจริญ,กรุงเทพมหานคร,Central,Polygon
25,หนองแขม,กรุงเทพมหานคร,Central,Polygon
26,ดอนเมือง,กรุงเทพมหานคร,Central,Polygon
27,ราษฎร์บูรณะ,กรุงเทพมหานคร,Central,Polygon
28,บางพลัด,กรุงเทพมหานคร,Central,Polygon
29,ดินแดง,กรุงเทพมหานคร,Central,Polygon
30,บึงกุ่ม,กรุงเทพมหานคร,Central,Polygon
31,สาทร,กรุงเทพมหานคร,Central,Polygon
32,บางซื่อ,กรุงเทพมหานคร,Central,Polygon
33,จตุจักร,กรุงเทพมหานคร,Central,Polygon
34,บางคอแหลม,กรุงเทพมหานคร,Central,Polygon
35,ประเวศ,กรุงเทพมหานคร,Central,Polygon
36,สวนหลวง,กรุงเทพมหานคร,Central,Polygon
37,จอมทอง,กรุงเทพมหานคร,Central,Polygon
38,ราชเทวี,กรุงเทพมหานคร,Central,Polygon
39,ลาดพร้าว,กรุงเทพมหานคร,Central,Polygon
40,วัฒนา,กรุงเทพมหานคร,Central,Polygon
41,บางแค,กรุงเทพมหานคร,Central,Polygon
42,หลักสี่,กรุงเทพมหานคร,Central,Polygon
43,สายไหม,กรุงเทพมหานคร,Central,Polygon
44,คันนายาว,กรุงเทพมหานคร,Central,Polygon
45,สะพานสูง,กรุงเทพมหานคร,Central,Polygon
46,วังทองหลาง,กรุงเทพมหานคร,Central,Polygon
47,คลองสามวา,กรุงเทพมหานคร,Central,Polygon
48,บางนา,กรุงเทพมหานคร,Central,Polygon
49,ทวีวัฒนา,กรุงเทพมหานคร,Central,Polygon
50,ทุ่งครุ,กรุงเทพมหานคร,Central,Polygon
51,หนองเสือ,ปทุมธานี,Central,Polygon
52,บางบอน,กรุงเทพมหานคร,Central,Polygon
53,เมืองสมุทรปราการ,สมุทรปราการ,Central,Polygon
54,บางบ่อ,สมุทรปราการ,Central,Polygon
55,บางพลี,สมุทรปราการ,Central,Polygon
56,พระประแดง,สมุทรปราการ,Central,Polygon
57,พระสมุทรเจดีย์,สมุทรปราการ,Central,Polygon
58,บางเสาธง,สมุทรปราการ,Central,Polygon
59,บางปะหัน,พระนครศรีอยุธยา,Central,Polygon
60,ผักไห่,พระนครศรีอยุธยา,Central,Polygon
61,ภาชี,พระนครศรีอยุธยา,Central,Polygon
62,ลาดบัวหลวง,พระนครศรีอยุธยา,Central,Polygon
63,วังน้อย,พระนครศรีอยุธยา,Central,Polygon
64,เสนา,พระนครศรีอยุธยา,Central,Polygon
65,บางซ้าย,พระนครศรีอยุธยา,Central,Polygon
66,เมืองนนทบุรี,นนทบุรี,Central,Polygon
67,ป่าโมก,อ่างทอง,Central,Polygon
68,โพธิ์ทอง,อ่างทอง,Central,Polygon
69,แสวงหา,อ่างทอง,Central,Polygon
70,วิเศษชัยชาญ,อ่างทอง,Central,Polygon
71,สามโก้,อ่างทอง,Central,Polygon
72,เมืองลพบุรี,ลพบุรี,Central,Polygon
73,พัฒนานิคม,ลพบุรี,Central,Polygon
74,โคกสำโรง,ลพบุรี,Central,Polygon
75,บางกรวย,นนทบุรี,Central,Polygon
76,ชัยบาดาล,ลพบุรี,Central,Polygon
77,ท่าวุ้ง,ลพบุรี,Central,Polygon
78,บางใหญ่,นนทบุรี,Central,Polygon
79,หนองม่วง,ลพบุรี,Central,Polygon
80,บางบัวทอง,นนทบุรี,Central,Polygon
81,ค่ายบางระจัน,สิงห์บุรี,Central,Polygon
82,พรหมบุรี,สิงห์บุรี,Central,Polygon
