,Order,District Tuple,Lat,Lon
0,0,"('Phra Nakhon', 'Bangkok')",13.765096,100.499357
1,1,"('Dusit', 'Bangkok')",13.777346,100.520936
2,2,"('Nong Chok', 'Bangkok')",13.855728,100.862629
3,3,"('Bang Rak', 'Bangkok')",13.730903,100.523548
4,4,"('Bang Khen', 'Bangkok')",13.873676,100.596624
5,5,"('Bang Kapi', 'Bangkok')",13.765991,100.647486
6,6,"('Pathum Wan', 'Bangkok')",13.745258,100.523535
7,7,"('Pom Prap Sattruphai', 'Bangkok')",13.758523,100.513358
8,8,"('Phra Khanong', 'Bangkok')",13.702658,100.602057
9,9,"('Min Buri', 'Bangkok')",13.814111,100.73294
10,10,"('Lat Krabang', 'Bangkok')",13.723694,100.784174
11,11,"('Yannawa', 'Bangkok')",13.696416,100.543226
12,12,"('Samphanthawong', 'Bangkok')",13.732807,100.514869
13,13,"('Phaya Thai', 'Bangkok')",13.779998,100.542716
14,14,"('Thon Buri', 'Bangkok')",13.725002,100.486151
15,15,"('Bangkok Yai', 'Bangkok')",13.723473,100.477083
16,16,"('Huai Khwang', 'Bangkok')",13.776695,100.57959
17,17,"('Khlong San', 'Bangkok')",13.730773,100.509767
18,18,"('Taling Chan', 'Bangkok')",13.77696,100.456746
19,19,"('Bangkok Noi', 'Bangkok')",13.770996,100.468036
20,20,"('Bang Khun Thian', 'Bangkok')",13.660834,100.435386
21,21,"('Phasi Charoen', 'Bangkok')",13.715123,100.436927
22,22,"('Nong Khaem', 'Bangkok')",13.705582,100.349162
23,23,"('Rat Burana', 'Bangkok')",13.682154,100.505797
24,24,"('Bang Phlat', 'Bangkok')",13.794136,100.505067
25,25,"('Din Daeng', 'Bangkok')",13.770419,100.553077
26,26,"('Bung Kum', 'Bangkok')",13.785345,100.669625
27,27,"('Sa Thon', 'Bangkok')",13.708092,100.52623
28,28,"('Bang Su', 'Bangkok')",13.809605,100.53746
29,29,"('Chatuchak', 'Bangkok')",13.828789,100.55996
30,30,"('Bang Kho Laem', 'Bangkok')",13.693005,100.502441
31,31,"('Prawet', 'Bangkok')",13.717211,100.694652
32,32,"('Khlong Toei', 'Bangkok')",13.708317,100.583749
33,33,"('Suan Luang', 'Bangkok')",13.730199,100.651364
34,34,"('Chom Thong', 'Bangkok')",13.710528,100.437766
35,35,"('Don Mueang', 'Bangkok')",13.910132,100.594696
36,36,"('Rat Thewi', 'Bangkok')",13.759136,100.534205
37,37,"('Lat Phrao', 'Bangkok')",13.803506,100.60739
38,38,"('Watthana', 'Bangkok')",13.742641,100.58564
39,39,"('Bang Khae', 'Bangkok')",13.696169,100.409177
40,40,"('Lak Si', 'Bangkok')",13.887496,100.578922
41,41,"('Sai Mai', 'Bangkok')",13.895094,100.66048
42,42,"('Khanna Yao', 'Bangkok')",13.799304,100.682681
43,43,"('Saphan Sung', 'Bangkok')",13.768914,100.68571
44,44,"('Wang Thong Lang', 'Bangkok')",13.764164,100.605724
45,45,"('Khlong Sam Wa', 'Bangkok')",13.859981,100.704189
46,46,"('Bang Na', 'Bangkok')",13.681163,100.592069
47,47,"('Thawi Watthana', 'Bangkok')",13.773013,100.353122
48,48,"('Thung Khu', 'Bangkok')",13.61153,100.508735
49,49,"('Bang Bon', 'Bangkok')",13.633938,100.368879
50,50,"('Mueang Samut Prakan', 'Samut Prakan')",13.6004,100.597082
51,51,"('Bang Bo', 'Samut Prakan')",13.573958,100.835775
52,52,"('Bang Phli', 'Samut Prakan')",13.605782,100.706154
53,53,"('Phra Pradaeng', 'Samut Prakan')",13.658713,100.5337
54,54,"('Phra Samut Chedi', 'Samut Prakan')",13.568793,100.561779
55,55,"('Bang Sao Thong', 'Samut Prakan')",13.594871,100.830049
56,56,"('Mueang Nonthaburi', 'Nonthaburi')",13.862418,100.513394
57,57,"('Bang Kruai', 'Nonthaburi')",13.805218,100.4728
58,58,"('Bang Yai', 'Nonthaburi')",13.876457,100.403831
59,59,"('Bang Bua Thong', 'Nonthaburi')",13.968502,100.405486
60,60,"('Sai Noi', 'Nonthaburi')",13.978765,100.313636
61,61,"('Pak Kret', 'Nonthaburi')",13.912551,100.498228
62,62,"('Mueang Pathum Thani', 'Pathum Thani')",14.019713,100.534642
63,63,"('khlong Luang', 'Pathum Thani')",14.064875,100.645515
64,64,"('Thanyaburi', 'Pathum Thani')",14.016439,100.724267
65,65,"('Nong Suea', 'Pathum Thani')",14.134995,100.824261
66,66,"('Lat Lum Kaeo', 'Pathum Thani')",14.037062,100.404648
67,67,"('Lam Luk Ka', 'Pathum Thani')",13.932536,100.74967
68,68,"('Sam Khok', 'Pathum Thani')",14.065316,100.522701
