,Origin,Destination
0,"('Mae Sariang', 'Mae Hong Son')","('Hot', 'Chiang Mai')"
1,"('Mae Sariang', 'Mae Hong Son')","('Omkoi', 'Chiang Mai')"
2,"('Mae Sariang', 'Mae Hong Son')","('Mae La Noi', 'Mae Hong Son')"
3,"('Mae Sariang', 'Mae Hong Son')","('Sop Moei', 'Mae Hong Son')"
4,"('Mae Sariang', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')"
5,"('Mae Sariang', 'Mae Hong Son')","('Khun Yuam', 'Mae Hong Son')"
6,"('Mae La Noi', 'Mae Hong Son')","('Mae Sariang', 'Mae Hong Son')"
7,"('Mae La Noi', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')"
8,"('Mae La Noi', 'Mae Hong Son')","('Khun Yuam', 'Mae Hong Son')"
9,"('Sop Moei', 'Mae Hong Son')","('Hot', 'Chiang Mai')"
10,"('Sop Moei', 'Mae Hong Son')","('Omkoi', 'Chiang Mai')"
11,"('Sop Moei', 'Mae Hong Son')","('Mae Sariang', 'Mae Hong Son')"
12,"('Sop Moei', 'Mae Hong Son')","('Tha Song Yang', 'Tak')"
13,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Kanlayaniwatthana', 'Chiang Mai')"
14,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')"
15,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Khun Yuam', 'Mae Hong Son')"
16,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Pai', 'Mae Hong Son')"
17,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Pang Mapha', 'Mae Hong Son')"
18,"('Khun Yuam', 'Mae Hong Son')","('Kanlayaniwatthana', 'Chiang Mai')"
19,"('Khun Yuam', 'Mae Hong Son')","('Mae Sariang', 'Mae Hong Son')"
20,"('Khun Yuam', 'Mae Hong Son')","('Mae La Noi', 'Mae Hong Son')"
21,"('Khun Yuam', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')"
22,"('Khun Yuam', 'Mae Hong Son')","('Mueang Mae Hong Son', 'Mae Hong Son')"
23,"('Pai', 'Mae Hong Son')","('Wiang Haeng', 'Chiang Mai')"
24,"('Pai', 'Mae Hong Son')","('Kanlayaniwatthana', 'Chiang Mai')"
25,"('Pai', 'Mae Hong Son')","('Chiang Dao', 'Chiang Mai')"
26,"('Pai', 'Mae Hong Son')","('Mae Taeng', 'Chiang Mai')"
27,"('Pai', 'Mae Hong Son')","('Samoeng', 'Chiang Mai')"
28,"('Pai', 'Mae Hong Son')","('Mueang Mae Hong Son', 'Mae Hong Son')"
29,"('Pai', 'Mae Hong Son')","('Pang Mapha', 'Mae Hong Son')"
30,"('Pang Mapha', 'Mae Hong Son')","('Mueang Mae Hong Son', 'Mae Hong Son')"
31,"('Pang Mapha', 'Mae Hong Son')","('Pai', 'Mae Hong Son')"
32,"('La-ngu', 'Satun')","('Thung  Wa', 'Satun')"
33,"('La-ngu', 'Satun')","('Manang', 'Satun')"
34,"('La-ngu', 'Satun')","('Mueang Satun', 'Satun')"
35,"('La-ngu', 'Satun')","('Khuan Kalong', 'Satun')"
36,"('La-ngu', 'Satun')","('Tha Phae', 'Satun')"
37,"('Thung  Wa', 'Satun')","('La-ngu', 'Satun')"
38,"('Thung  Wa', 'Satun')","('Manang', 'Satun')"
39,"('Thung  Wa', 'Satun')","('Palian', 'Trang')"
40,"('Thung  Wa', 'Satun')","('Tamot', 'Phatthalung')"
41,"('Thung  Wa', 'Satun')","('Khuan Kalong', 'Satun')"
42,"('Thung  Wa', 'Satun')","('Pa Bon', 'Phatthalung')"
43,"('Manang', 'Satun')","('La-ngu', 'Satun')"
44,"('Manang', 'Satun')","('Thung  Wa', 'Satun')"
45,"('Manang', 'Satun')","('Khuan Kalong', 'Satun')"
46,"('Manang', 'Satun')","('Pa Bon', 'Phatthalung')"
47,"('Mueang Satun', 'Satun')","('La-ngu', 'Satun')"
48,"('Mueang Satun', 'Satun')","('Sadao', 'Songkhla')"
49,"('Mueang Satun', 'Satun')","('Khuan Don', 'Satun')"
50,"('Mueang Satun', 'Satun')","('Khuan Kalong', 'Satun')"
51,"('Mueang Satun', 'Satun')","('Tha Phae', 'Satun')"
52,"('Khuan Don', 'Satun')","('Sadao', 'Songkhla')"
53,"('Khuan Don', 'Satun')","('Hat Yai', 'Songkhla')"
54,"('Khuan Don', 'Satun')","('Khlong Hoi Khong', 'Songkhla')"
55,"('Khuan Don', 'Satun')","('Mueang Satun', 'Satun')"
56,"('Khuan Don', 'Satun')","('Khuan Kalong', 'Satun')"
57,"('Khuan Don', 'Satun')","('Tha Phae', 'Satun')"
58,"('Khuan Kalong', 'Satun')","('La-ngu', 'Satun')"
59,"('Khuan Kalong', 'Satun')","('Thung  Wa', 'Satun')"
60,"('Khuan Kalong', 'Satun')","('Manang', 'Satun')"
61,"('Khuan Kalong', 'Satun')","('Rattaphum', 'Songkhla')"
62,"('Khuan Kalong', 'Satun')","('Sadao', 'Songkhla')"
63,"('Khuan Kalong', 'Satun')","('Hat Yai', 'Songkhla')"
64,"('Khuan Kalong', 'Satun')","('Khlong Hoi Khong', 'Songkhla')"
65,"('Khuan Kalong', 'Satun')","('Mueang Satun', 'Satun')"
66,"('Khuan Kalong', 'Satun')","('Khuan Don', 'Satun')"
67,"('Khuan Kalong', 'Satun')","('Tha Phae', 'Satun')"
68,"('Khuan Kalong', 'Satun')","('Pa Bon', 'Phatthalung')"
69,"('Tha Phae', 'Satun')","('La-ngu', 'Satun')"
70,"('Tha Phae', 'Satun')","('Mueang Satun', 'Satun')"
71,"('Tha Phae', 'Satun')","('Khuan Don', 'Satun')"
72,"('Tha Phae', 'Satun')","('Khuan Kalong', 'Satun')"
73,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Pak Thong Chai', 'Nakhon Ratchasima')"
74,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Sung Noen', 'Nakhon Ratchasima')"
75,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Chok Chai', 'Nakhon Ratchasima')"
76,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Non Thai', 'Nakhon Ratchasima')"
77,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Non Sung', 'Nakhon Ratchasima')"
78,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Kham Thale So', 'Nakhon Ratchasima')"
79,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')","('Chaloem Phra Kiet', 'Nakhon Ratchasima')"
80,"('Khon Buri', 'Nakhon Ratchasima')","('Mueang Sa Kaeo', 'Sa Kaeo')"
81,"('Khon Buri', 'Nakhon Ratchasima')","('Watthana Nakhon', 'Sa Kaeo')"
82,"('Khon Buri', 'Nakhon Ratchasima')","('Na Di', 'Prachin Buri')"
83,"('Khon Buri', 'Nakhon Ratchasima')","('Pak Thong Chai', 'Nakhon Ratchasima')"
84,"('Khon Buri', 'Nakhon Ratchasima')","('Soeng Sang', 'Nakhon Ratchasima')"
85,"('Khon Buri', 'Nakhon Ratchasima')","('Chok Chai', 'Nakhon Ratchasima')"
86,"('Khon Buri', 'Nakhon Ratchasima')","('Nong Bunmak', 'Nakhon Ratchasima')"
87,"('Khon Buri', 'Nakhon Ratchasima')","('Wang Nam Khiao', 'Nakhon Ratchasima')"
88,"('Khon Buri', 'Nakhon Ratchasima')","('Nong Ki', 'Buri Ram')"
89,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')"
90,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Khon Buri', 'Nakhon Ratchasima')"
91,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Sung Noen', 'Nakhon Ratchasima')"
92,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Chok Chai', 'Nakhon Ratchasima')"
93,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Si Khio', 'Nakhon Ratchasima')"
94,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Pak Chong', 'Nakhon Ratchasima')"
95,"('Pak Thong Chai', 'Nakhon Ratchasima')","('Wang Nam Khiao', 'Nakhon Ratchasima')"
96,"('Phimai', 'Nakhon Ratchasima')","('Huai Thalaeng', 'Nakhon Ratchasima')"
97,"('Phimai', 'Nakhon Ratchasima')","('Chum Phuang', 'Nakhon Ratchasima')"
98,"('Phimai', 'Nakhon Ratchasima')","('Khong', 'Nakhon Ratchasima')"
99,"('Phimai', 'Nakhon Ratchasima')","('Chakkarat', 'Nakhon Ratchasima')"
100,"('Phimai', 'Nakhon Ratchasima')","('Non Sung', 'Nakhon Ratchasima')"
101,"('Phimai', 'Nakhon Ratchasima')","('Prathai', 'Nakhon Ratchasima')"
102,"('Phimai', 'Nakhon Ratchasima')","('Non Daeng', 'Nakhon Ratchasima')"
103,"('Huai Thalaeng', 'Nakhon Ratchasima')","('Phimai', 'Nakhon Ratchasima')"
104,"('Huai Thalaeng', 'Nakhon Ratchasima')","('Chum Phuang', 'Nakhon Ratchasima')"
105,"('Huai Thalaeng', 'Nakhon Ratchasima')","('Lam Plai Mat', 'Buri Ram')"
106,"('Huai Thalaeng', 'Nakhon Ratchasima')","('Chakkarat', 'Nakhon Ratchasima')"
107,"('Huai Thalaeng', 'Nakhon Ratchasima')","('Nong Hong', 'Buri Ram')"
108,"('Chum Phuang', 'Nakhon Ratchasima')","('Phimai', 'Nakhon Ratchasima')"
109,"('Chum Phuang', 'Nakhon Ratchasima')","('Huai Thalaeng', 'Nakhon Ratchasima')"
110,"('Chum Phuang', 'Nakhon Ratchasima')","('Lam Plai Mat', 'Buri Ram')"
111,"('Chum Phuang', 'Nakhon Ratchasima')","('Prathai', 'Nakhon Ratchasima')"
112,"('Chum Phuang', 'Nakhon Ratchasima')","('Mueang Yang', 'Nakhon Ratchasima')"
113,"('Chum Phuang', 'Nakhon Ratchasima')","('Lamtaman Chai', 'Nakhon Ratchasima')"
114,"('Sung Noen', 'Nakhon Ratchasima')","('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')"
115,"('Sung Noen', 'Nakhon Ratchasima')","('Pak Thong Chai', 'Nakhon Ratchasima')"
116,"('Sung Noen', 'Nakhon Ratchasima')","('Dan Khun Thot', 'Nakhon Ratchasima')"
117,"('Sung Noen', 'Nakhon Ratchasima')","('Kham Thale So', 'Nakhon Ratchasima')"
118,"('Sung Noen', 'Nakhon Ratchasima')","('Si Khio', 'Nakhon Ratchasima')"
119,"('Sung Noen', 'Nakhon Ratchasima')","('Pak Chong', 'Nakhon Ratchasima')"
120,"('Soeng Sang', 'Nakhon Ratchasima')","('Ta Phraya', 'Sa Kaeo')"
121,"('Soeng Sang', 'Nakhon Ratchasima')","('Watthana Nakhon', 'Sa Kaeo')"
122,"('Soeng Sang', 'Nakhon Ratchasima')","('Khon Buri', 'Nakhon Ratchasima')"
123,"('Soeng Sang', 'Nakhon Ratchasima')","('Nang Rong', 'Buri Ram')"
124,"('Soeng Sang', 'Nakhon Ratchasima')","('Nong Bunmak', 'Nakhon Ratchasima')"
125,"('Soeng Sang', 'Nakhon Ratchasima')","('Nong Ki', 'Buri Ram')"
126,"('Soeng Sang', 'Nakhon Ratchasima')","('Pakham', 'Buri Ram')"
127,"('Soeng Sang', 'Nakhon Ratchasima')","('Non Din Daeng', 'Buri Ram')"
128,"('Soeng Sang', 'Nakhon Ratchasima')","('Non Din Daeng', 'Buri Ram')"
129,"('Khong', 'Nakhon Ratchasima')","('Phimai', 'Nakhon Ratchasima')"
130,"('Khong', 'Nakhon Ratchasima')","('Ban Lueam', 'Nakhon Ratchasima')"
131,"('Khong', 'Nakhon Ratchasima')","('Non Sung', 'Nakhon Ratchasima')"
132,"('Khong', 'Nakhon Ratchasima')","('Kham Sakaesaeng', 'Nakhon Ratchasima')"
133,"('Khong', 'Nakhon Ratchasima')","('Bua Yai', 'Nakhon Ratchasima')"
134,"('Khong', 'Nakhon Ratchasima')","('Non Daeng', 'Nakhon Ratchasima')"
135,"('Khong', 'Nakhon Ratchasima')","('Phra Thong Kham', 'Nakhon Ratchasima')"
