,Amper1,Amper2
0,"('กระทุ่มแบน', 'สมุทรสาคร')","('หนองแขม', 'กรุงเทพมหานคร')"
1,"('กระทุ่มแบน', 'สมุทรสาคร')","('บางแค', 'กรุงเทพมหานคร')"
2,"('กระทุ่มแบน', 'สมุทรสาคร')","('ทวีวัฒนา', 'กรุงเทพมหานคร')"
3,"('กระทุ่มแบน', 'สมุทรสาคร')","('บางบอน', 'กรุงเทพมหานคร')"
4,"('กระทุ่มแบน', 'สมุทรสาคร')","('นครชัยศรี', 'นครปฐม')"
5,"('กระทุ่มแบน', 'สมุทรสาคร')","('บ้านแพ้ว', 'สมุทรสาคร')"
6,"('กระทุ่มแบน', 'สมุทรสาคร')","('สามพราน', 'นครปฐม')"
7,"('กระทุ่มแบน', 'สมุทรสาคร')","('เมืองสมุทรสาคร', 'สมุทรสาคร')"
8,"('บ้านแพ้ว', 'สมุทรสาคร')","('เมืองนครปฐม', 'นครปฐม')"
9,"('บ้านแพ้ว', 'สมุทรสาคร')","('กระทุ่มแบน', 'สมุทรสาคร')"
10,"('บ้านแพ้ว', 'สมุทรสาคร')","('เมืองสมุทรสงคราม', 'สมุทรสงคราม')"
11,"('บ้านแพ้ว', 'สมุทรสาคร')","('บางคนที', 'สมุทรสงคราม')"
12,"('บ้านแพ้ว', 'สมุทรสาคร')","('อัมพวา', 'สมุทรสงคราม')"
13,"('บ้านแพ้ว', 'สมุทรสาคร')","('สามพราน', 'นครปฐม')"
14,"('บ้านแพ้ว', 'สมุทรสาคร')","('เมืองสมุทรสาคร', 'สมุทรสาคร')"
15,"('บ้านแพ้ว', 'สมุทรสาคร')","('ดำเนินสะดวก', 'ราชบุรี')"
16,"('บ้านแพ้ว', 'สมุทรสาคร')","('บางแพ', 'ราชบุรี')"
17,"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('บางขุนเทียน', 'กรุงเทพมหานคร')"
18,"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('หนองแขม', 'กรุงเทพมหานคร')"
19,"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('บางบอน', 'กรุงเทพมหานคร')"
20,"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('กระทุ่มแบน', 'สมุทรสาคร')"
21,"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('บ้านแพ้ว', 'สมุทรสาคร')"
22,"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('เมืองสมุทรสงคราม', 'สมุทรสงคราม')"
23,"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('ดำเนินสะดวก', 'ราชบุรี')"
24,"('เมืองหนองคาย', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')"
25,"('เมืองหนองคาย', 'หนองคาย')","('เพ็ญ', 'อุดรธานี')"
26,"('เมืองหนองคาย', 'หนองคาย')","('ท่าบ่อ', 'หนองคาย')"
27,"('เมืองหนองคาย', 'หนองคาย')","('โพนพิสัย', 'หนองคาย')"
28,"('เมืองหนองคาย', 'หนองคาย')","('สระใคร', 'หนองคาย')"
29,"('ท่าบ่อ', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')"
30,"('ท่าบ่อ', 'หนองคาย')","('เมืองหนองคาย', 'หนองคาย')"
31,"('ท่าบ่อ', 'หนองคาย')","('ศรีเชียงใหม่', 'หนองคาย')"
32,"('ท่าบ่อ', 'หนองคาย')","('สระใคร', 'หนองคาย')"
33,"('ท่าบ่อ', 'หนองคาย')","('โพธิ์ตาก', 'หนองคาย')"
34,"('โพนพิสัย', 'หนองคาย')","('บ้านดุง', 'อุดรธานี')"
35,"('โพนพิสัย', 'หนองคาย')","('เพ็ญ', 'อุดรธานี')"
36,"('โพนพิสัย', 'หนองคาย')","('สร้างคอม', 'อุดรธานี')"
37,"('โพนพิสัย', 'หนองคาย')","('เมืองหนองคาย', 'หนองคาย')"
38,"('โพนพิสัย', 'หนองคาย')","('เฝ้าไร่', 'หนองคาย')"
39,"('โพนพิสัย', 'หนองคาย')","('รัตนวาปี', 'หนองคาย')"
40,"('โพนพิสัย', 'หนองคาย')","('บ้านม่วง', 'สกลนคร')"
41,"('ศรีเชียงใหม่', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')"
42,"('ศรีเชียงใหม่', 'หนองคาย')","('ท่าบ่อ', 'หนองคาย')"
43,"('ศรีเชียงใหม่', 'หนองคาย')","('สังคม', 'หนองคาย')"
44,"('ศรีเชียงใหม่', 'หนองคาย')","('โพธิ์ตาก', 'หนองคาย')"
45,"('สังคม', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')"
46,"('สังคม', 'หนองคาย')","('นายูง', 'อุดรธานี')"
47,"('สังคม', 'หนองคาย')","('ศรีเชียงใหม่', 'หนองคาย')"
48,"('สังคม', 'หนองคาย')","('โพธิ์ตาก', 'หนองคาย')"
49,"('สังคม', 'หนองคาย')","('ปากชม', 'เลย')"
50,"('สระใคร', 'หนองคาย')","('เมืองอุดรธานี', 'อุดรธานี')"
51,"('สระใคร', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')"
52,"('สระใคร', 'หนองคาย')","('เพ็ญ', 'อุดรธานี')"
53,"('สระใคร', 'หนองคาย')","('เมืองหนองคาย', 'หนองคาย')"
54,"('สระใคร', 'หนองคาย')","('ท่าบ่อ', 'หนองคาย')"
55,"('เฝ้าไร่', 'หนองคาย')","('โซ่พิสัย', 'บึงกาฬ')"
56,"('เฝ้าไร่', 'หนองคาย')","('บ้านดุง', 'อุดรธานี')"
57,"('เฝ้าไร่', 'หนองคาย')","('โพนพิสัย', 'หนองคาย')"
58,"('เฝ้าไร่', 'หนองคาย')","('รัตนวาปี', 'หนองคาย')"
59,"('เฝ้าไร่', 'หนองคาย')","('บ้านม่วง', 'สกลนคร')"
60,"('รัตนวาปี', 'หนองคาย')","('โซ่พิสัย', 'บึงกาฬ')"
61,"('รัตนวาปี', 'หนองคาย')","('ปากคาด', 'บึงกาฬ')"
62,"('รัตนวาปี', 'หนองคาย')","('โพนพิสัย', 'หนองคาย')"
63,"('รัตนวาปี', 'หนองคาย')","('เฝ้าไร่', 'หนองคาย')"
64,"('โพธิ์ตาก', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')"
65,"('โพธิ์ตาก', 'หนองคาย')","('ท่าบ่อ', 'หนองคาย')"
66,"('โพธิ์ตาก', 'หนองคาย')","('ศรีเชียงใหม่', 'หนองคาย')"
67,"('โพธิ์ตาก', 'หนองคาย')","('สังคม', 'หนองคาย')"
68,"('บ้านสร้าง', 'ปราจีนบุรี')","('องครักษ์', 'นครนายก')"
69,"('บ้านสร้าง', 'ปราจีนบุรี')","('เมืองนครนายก', 'นครนายก')"
70,"('บ้านสร้าง', 'ปราจีนบุรี')","('ปากพลี', 'นครนายก')"
71,"('บ้านสร้าง', 'ปราจีนบุรี')","('บางคล้า', 'ฉะเชิงเทรา')"
72,"('บ้านสร้าง', 'ปราจีนบุรี')","('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')"
73,"('บ้านสร้าง', 'ปราจีนบุรี')","('พนมสารคาม', 'ฉะเชิงเทรา')"
74,"('บ้านสร้าง', 'ปราจีนบุรี')","('ราชสาส์น', 'ฉะเชิงเทรา')"
75,"('บ้านสร้าง', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')"
76,"('บ้านสร้าง', 'ปราจีนบุรี')","('คลองเขื่อน', 'ฉะเชิงเทรา')"
77,"('บ้านสร้าง', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')"
78,"('บ้านสร้าง', 'ปราจีนบุรี')","('ศรีมโหสถ', 'ปราจีนบุรี')"
79,"('ประจันตคาม', 'ปราจีนบุรี')","('เมืองนครนายก', 'นครนายก')"
80,"('ประจันตคาม', 'ปราจีนบุรี')","('ปากพลี', 'นครนายก')"
81,"('ประจันตคาม', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')"
82,"('ประจันตคาม', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')"
83,"('ประจันตคาม', 'ปราจีนบุรี')","('กบินทร์บุรี', 'ปราจีนบุรี')"
84,"('ประจันตคาม', 'ปราจีนบุรี')","('นาดี', 'ปราจีนบุรี')"
85,"('ประจันตคาม', 'ปราจีนบุรี')","('ปากช่อง', 'นครราชสีมา')"
86,"('ประจันตคาม', 'ปราจีนบุรี')","('วังน้ำเขียว', 'นครราชสีมา')"
87,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('พนมสารคาม', 'ฉะเชิงเทรา')"
88,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('สนามชัยเขต', 'ฉะเชิงเทรา')"
89,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('บ้านสร้าง', 'ปราจีนบุรี')"
90,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('ประจันตคาม', 'ปราจีนบุรี')"
91,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')"
92,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('กบินทร์บุรี', 'ปราจีนบุรี')"
93,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('ศรีมโหสถ', 'ปราจีนบุรี')"
94,"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('เมืองนครนายก', 'นครนายก')"
95,"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('ปากพลี', 'นครนายก')"
96,"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('บ้านสร้าง', 'ปราจีนบุรี')"
97,"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('ประจันตคาม', 'ปราจีนบุรี')"
98,"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')"
99,"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('ศรีมโหสถ', 'ปราจีนบุรี')"
100,"('กบินทร์บุรี', 'ปราจีนบุรี')","('เมืองสระแก้ว', 'สระแก้ว')"
101,"('กบินทร์บุรี', 'ปราจีนบุรี')","('เขาฉกรรจ์', 'สระแก้ว')"
102,"('กบินทร์บุรี', 'ปราจีนบุรี')","('สนามชัยเขต', 'ฉะเชิงเทรา')"
103,"('กบินทร์บุรี', 'ปราจีนบุรี')","('ประจันตคาม', 'ปราจีนบุรี')"
104,"('กบินทร์บุรี', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')"
105,"('กบินทร์บุรี', 'ปราจีนบุรี')","('นาดี', 'ปราจีนบุรี')"
