,Origin,Destination,Distance
0,"('Mae Sariang', 'Mae Hong Son')","('Hot', 'Chiang Mai')",177 km
1,"('Mae Sariang', 'Mae Hong Son')","('Omkoi', 'Chiang Mai')",116 km
2,"('Mae Sariang', 'Mae Hong Son')","('Mae La Noi', 'Mae Hong Son')",32.2 km
3,"('Mae Sariang', 'Mae Hong Son')","('Sop Moei', 'Mae Hong Son')",26.2 km
4,"('Mae Sariang', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')",128 km
5,"('Mae Sariang', 'Mae Hong Son')","('Khun Yuam', 'Mae Hong Son')",100 km
6,"('Mae La Noi', 'Mae Hong Son')","('Mae Sariang', 'Mae Hong Son')",31.3 km
7,"('Mae La Noi', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')",158 km
8,"('Mae La Noi', 'Mae Hong Son')","('Khun Yuam', 'Mae Hong Son')",68.3 km
9,"('Sop Moei', 'Mae Hong Son')","('Hot', 'Chiang Mai')",201 km
10,"('Sop Moei', 'Mae Hong Son')","('Omkoi', 'Chiang Mai')",140 km
11,"('Sop Moei', 'Mae Hong Son')","('Mae Sariang', 'Mae Hong Son')",26.8 km
12,"('Sop Moei', 'Mae Hong Son')","('Tha Song Yang', 'Tak')",122 km
13,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Kanlayaniwatthana', 'Chiang Mai')",164 km
14,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')",165 km
15,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Khun Yuam', 'Mae Hong Son')",68.9 km
16,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Pai', 'Mae Hong Son')",108 km
17,"('Mueang Mae Hong Son', 'Mae Hong Son')","('Pang Mapha', 'Mae Hong Son')",65.3 km
18,"('Khun Yuam', 'Mae Hong Son')","('Kanlayaniwatthana', 'Chiang Mai')",75.9 km
19,"('Khun Yuam', 'Mae Hong Son')","('Mae Sariang', 'Mae Hong Son')",99.2 km
20,"('Khun Yuam', 'Mae Hong Son')","('Mae La Noi', 'Mae Hong Son')",68.3 km
21,"('Khun Yuam', 'Mae Hong Son')","('Mae Chaem', 'Chiang Mai')",96.7 km
22,"('Khun Yuam', 'Mae Hong Son')","('Mueang Mae Hong Son', 'Mae Hong Son')",68.4 km
23,"('Pai', 'Mae Hong Son')","('Wiang Haeng', 'Chiang Mai')",55.5 km
24,"('Pai', 'Mae Hong Son')","('Kanlayaniwatthana', 'Chiang Mai')",56.9 km
25,"('Pai', 'Mae Hong Son')","('Chiang Dao', 'Chiang Mai')",130 km
26,"('Pai', 'Mae Hong Son')","('Mae Taeng', 'Chiang Mai')",98.5 km
27,"('Pai', 'Mae Hong Son')","('Samoeng', 'Chiang Mai')",115 km
28,"('Pai', 'Mae Hong Son')","('Mueang Mae Hong Son', 'Mae Hong Son')",107 km
29,"('Pai', 'Mae Hong Son')","('Pang Mapha', 'Mae Hong Son')",42.8 km
30,"('Pang Mapha', 'Mae Hong Son')","('Mueang Mae Hong Son', 'Mae Hong Son')",65.2 km
31,"('Pang Mapha', 'Mae Hong Son')","('Pai', 'Mae Hong Son')",42.8 km
32,"('La-ngu', 'Satun')","('Thung  Wa', 'Satun')",34.4 km
33,"('La-ngu', 'Satun')","('Manang', 'Satun')",26.7 km
34,"('La-ngu', 'Satun')","('Mueang Satun', 'Satun')",45.8 km
35,"('La-ngu', 'Satun')","('Khuan Kalong', 'Satun')",33.3 km
36,"('La-ngu', 'Satun')","('Tha Phae', 'Satun')",23.3 km
37,"('Thung  Wa', 'Satun')","('La-ngu', 'Satun')",34.4 km
38,"('Thung  Wa', 'Satun')","('Manang', 'Satun')",26.0 km
39,"('Thung  Wa', 'Satun')","('Palian', 'Trang')",32.3 km
40,"('Thung  Wa', 'Satun')","('Tamot', 'Phatthalung')",146 km
41,"('Thung  Wa', 'Satun')","('Khuan Kalong', 'Satun')",61.7 km
42,"('Thung  Wa', 'Satun')","('Pa Bon', 'Phatthalung')",133 km
43,"('Manang', 'Satun')","('La-ngu', 'Satun')",26.7 km
44,"('Manang', 'Satun')","('Thung  Wa', 'Satun')",27.4 km
45,"('Manang', 'Satun')","('Khuan Kalong', 'Satun')",33.4 km
46,"('Manang', 'Satun')","('Pa Bon', 'Phatthalung')",104 km
47,"('Mueang Satun', 'Satun')","('La-ngu', 'Satun')",46.1 km
48,"('Mueang Satun', 'Satun')","('Sadao', 'Songkhla')",133 km
49,"('Mueang Satun', 'Satun')","('Khuan Don', 'Satun')",17.7 km
50,"('Mueang Satun', 'Satun')","('Khuan Kalong', 'Satun')",29.1 km
51,"('Mueang Satun', 'Satun')","('Tha Phae', 'Satun')",23.7 km
52,"('Khuan Don', 'Satun')","('Sadao', 'Songkhla')",116 km
53,"('Khuan Don', 'Satun')","('Hat Yai', 'Songkhla')",78.5 km
54,"('Khuan Don', 'Satun')","('Khlong Hoi Khong', 'Songkhla')",79.6 km
55,"('Khuan Don', 'Satun')","('Mueang Satun', 'Satun')",17.7 km
56,"('Khuan Don', 'Satun')","('Khuan Kalong', 'Satun')",12.1 km
57,"('Khuan Don', 'Satun')","('Tha Phae', 'Satun')",21.3 km
58,"('Khuan Kalong', 'Satun')","('La-ngu', 'Satun')",33.3 km
59,"('Khuan Kalong', 'Satun')","('Thung  Wa', 'Satun')",61.8 km
60,"('Khuan Kalong', 'Satun')","('Manang', 'Satun')",33.4 km
61,"('Khuan Kalong', 'Satun')","('Rattaphum', 'Songkhla')",46.0 km
62,"('Khuan Kalong', 'Satun')","('Sadao', 'Songkhla')",115 km
63,"('Khuan Kalong', 'Satun')","('Hat Yai', 'Songkhla')",77.8 km
64,"('Khuan Kalong', 'Satun')","('Khlong Hoi Khong', 'Songkhla')",78.9 km
