,original_tuple,destination_tuple,distance
0,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('ฮอด', 'เชียงใหม่')",177 km
1,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('อมก๋อย', 'เชียงใหม่')",116 km
2,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('แม่ลาน้อย', 'แม่ฮ่องสอน')",32.2 km
3,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('สบเมย', 'แม่ฮ่องสอน')",26.2 km
4,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')",128 km
5,"('แม่สะเรียง', 'แม่ฮ่องสอน')","('ขุนยวม', 'แม่ฮ่องสอน')",100 km
6,"('แม่ลาน้อย', 'แม่ฮ่องสอน')","('แม่สะเรียง', 'แม่ฮ่องสอน')",31.3 km
7,"('แม่ลาน้อย', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')",158 km
8,"('แม่ลาน้อย', 'แม่ฮ่องสอน')","('ขุนยวม', 'แม่ฮ่องสอน')",68.3 km
9,"('สบเมย', 'แม่ฮ่องสอน')","('ฮอด', 'เชียงใหม่')",201 km
10,"('สบเมย', 'แม่ฮ่องสอน')","('อมก๋อย', 'เชียงใหม่')",140 km
11,"('สบเมย', 'แม่ฮ่องสอน')","('แม่สะเรียง', 'แม่ฮ่องสอน')",26.8 km
12,"('สบเมย', 'แม่ฮ่องสอน')","('ท่าสองยาง', 'ตาก')",122 km
13,"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('กัลยาณิวัฒนา', 'เชียงใหม่')",164 km
14,"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')",165 km
15,"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('ขุนยวม', 'แม่ฮ่องสอน')",68.9 km
16,"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('ปาย', 'แม่ฮ่องสอน')",108 km
17,"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('ปางมะผ้า', 'แม่ฮ่องสอน')",65.3 km
18,"('ขุนยวม', 'แม่ฮ่องสอน')","('กัลยาณิวัฒนา', 'เชียงใหม่')",75.9 km
19,"('ขุนยวม', 'แม่ฮ่องสอน')","('แม่สะเรียง', 'แม่ฮ่องสอน')",99.2 km
