,Origin,Destination
0,Bangkok,Samut Prakan
1,Bangkok,Nonthaburi
2,Bangkok,Pathum Thani
3,Bangkok,Chachoengsao
4,Bangkok,Nakhon Nayok
5,Bangkok,Nakhon Pathom
6,Bangkok,Samut Sakhon
7,Samut Prakan,Bangkok
8,Samut Prakan,Chachoengsao
9,Nonthaburi,Bangkok
10,Nonthaburi,Pathum Thani
11,Nonthaburi,Phra Nakhon Si Ayutthaya
12,Nonthaburi,Nakhon Pathom
13,Pathum Thani,Bangkok
14,Pathum Thani,Nonthaburi
15,Pathum Thani,Phra Nakhon Si Ayutthaya
16,Pathum Thani,Saraburi
17,Pathum Thani,Chachoengsao
18,Pathum Thani,Nakhon Nayok
19,Phra Nakhon Si Ayutthaya,Nonthaburi
20,Phra Nakhon Si Ayutthaya,Pathum Thani
21,Phra Nakhon Si Ayutthaya,Ang Thong
22,Phra Nakhon Si Ayutthaya,Lopburi
23,Phra Nakhon Si Ayutthaya,Saraburi
24,Phra Nakhon Si Ayutthaya,Suphan Buri
25,Phra Nakhon Si Ayutthaya,Nakhon Pathom
26,Ang Thong,Phra Nakhon Si Ayutthaya
27,Ang Thong,Lopburi
28,Ang Thong,Sing Buri
29,Ang Thong,Suphan Buri
30,Lopburi,Phra Nakhon Si Ayutthaya
31,Lopburi,Ang Thong
32,Lopburi,Sing Buri
33,Lopburi,Saraburi
34,Lopburi,Nakhon Ratchasima
35,Lopburi,Chaiyaphum
36,Lopburi,Nakhon Sawan
37,Lopburi,Phetchabun
38,Sing Buri,Ang Thong
39,Sing Buri,Lopburi
40,Sing Buri,Chai Nat
41,Sing Buri,Nakhon Sawan
42,Sing Buri,Suphan Buri
43,Chai Nat,Sing Buri
44,Chai Nat,Nakhon Sawan
45,Chai Nat,Uthai Thani
46,Chai Nat,Suphan Buri
47,Saraburi,Pathum Thani
48,Saraburi,Phra Nakhon Si Ayutthaya
49,Saraburi,Lopburi
50,Saraburi,Nakhon Nayok
51,Saraburi,Nakhon Ratchasima
52,Chonburi,Rayong
53,Chonburi,Chanthaburi
54,Chonburi,Chachoengsao
55,Rayong,Chonburi
56,Rayong,Chanthaburi
57,Rayong,Chachoengsao
58,Chanthaburi,Chonburi
59,Chanthaburi,Rayong
60,Chanthaburi,Trat
61,Chanthaburi,Chachoengsao
62,Chanthaburi,Sa Kaeo
63,Trat,Chanthaburi
64,Chachoengsao,Bangkok
65,Chachoengsao,Samut Prakan
66,Chachoengsao,Pathum Thani
67,Chachoengsao,Chonburi
68,Chachoengsao,Rayong
69,Chachoengsao,Chanthaburi
70,Chachoengsao,Prachin Buri
71,Chachoengsao,Nakhon Nayok
72,Chachoengsao,Sa Kaeo
73,Prachin Buri,Chachoengsao
74,Prachin Buri,Nakhon Nayok
75,Prachin Buri,Sa Kaeo
76,Prachin Buri,Nakhon Ratchasima
77,Nakhon Nayok,Bangkok
78,Nakhon Nayok,Pathum Thani
79,Nakhon Nayok,Saraburi
80,Nakhon Nayok,Chachoengsao
81,Nakhon Nayok,Prachin Buri
82,Nakhon Nayok,Nakhon Ratchasima
83,Sa Kaeo,Chanthaburi
84,Sa Kaeo,Chachoengsao
85,Sa Kaeo,Prachin Buri
86,Sa Kaeo,Nakhon Ratchasima
87,Sa Kaeo,Buri Ram
88,Nakhon Ratchasima,Lopburi
89,Nakhon Ratchasima,Saraburi
90,Nakhon Ratchasima,Prachin Buri
91,Nakhon Ratchasima,Nakhon Nayok
92,Nakhon Ratchasima,Sa Kaeo
93,Nakhon Ratchasima,Buri Ram
94,Nakhon Ratchasima,Chaiyaphum
95,Nakhon Ratchasima,Khon Kaen
96,Buri Ram,Sa Kaeo
97,Buri Ram,Nakhon Ratchasima
98,Buri Ram,Surin
99,Buri Ram,Khon Kaen
100,Buri Ram,Maha Sarakham
101,Surin,Buri Ram
102,Surin,Si Sa Ket
103,Surin,Maha Sarakham
104,Surin,Roi Et
105,Si Sa Ket,Surin
106,Si Sa Ket,Ubon Ratchathani
107,Si Sa Ket,Yasothon
108,Si Sa Ket,Roi Et
