,Origin,Destination,Distance
0,Bangkok,Samut Prakan,25.4 km
1,Bangkok,Nonthaburi,15.6 km
2,Bangkok,Pathum Thani,37.5 km
3,Bangkok,Chachoengsao,70.1 km
4,Bangkok,Nakhon Nayok,107 km
5,Bangkok,Nakhon Pathom,58.8 km
6,Bangkok,Samut Sakhon,46.8 km
7,Samut Prakan,Bangkok,24.4 km
8,Samut Prakan,Chachoengsao,71.6 km
9,Nonthaburi,Bangkok,15.4 km
10,Nonthaburi,Pathum Thani,27.8 km
11,Nonthaburi,Phra Nakhon Si Ayutthaya,68.3 km
12,Nonthaburi,Nakhon Pathom,60.1 km
13,Pathum Thani,Bangkok,38.1 km
14,Pathum Thani,Nonthaburi,30.5 km
15,Pathum Thani,Phra Nakhon Si Ayutthaya,51.3 km
16,Pathum Thani,Saraburi,87.4 km
17,Pathum Thani,Chachoengsao,87.8 km
18,Pathum Thani,Nakhon Nayok,90.1 km
19,Phra Nakhon Si Ayutthaya,Nonthaburi,71.0 km
20,Phra Nakhon Si Ayutthaya,Pathum Thani,48.4 km
21,Phra Nakhon Si Ayutthaya,Ang Thong,37.2 km
22,Phra Nakhon Si Ayutthaya,Lopburi,76.4 km
23,Phra Nakhon Si Ayutthaya,Saraburi,48.0 km
24,Phra Nakhon Si Ayutthaya,Suphan Buri,62.8 km
25,Bangkok,Samut Prakan,25.4 km
26,Bangkok,Nonthaburi,15.6 km
27,Bangkok,Pathum Thani,37.5 km
28,Bangkok,Chachoengsao,70.1 km
29,Bangkok,Nakhon Nayok,107 km
30,Bangkok,Nakhon Pathom,58.8 km
31,Bangkok,Samut Sakhon,46.8 km
32,Samut Prakan,Bangkok,24.4 km
33,Samut Prakan,Chachoengsao,71.6 km
34,Nonthaburi,Bangkok,15.4 km
35,Nonthaburi,Pathum Thani,27.8 km
36,Nonthaburi,Phra Nakhon Si Ayutthaya,68.3 km
37,Nonthaburi,Nakhon Pathom,60.1 km
38,Pathum Thani,Bangkok,38.1 km
39,Pathum Thani,Nonthaburi,30.5 km
40,Pathum Thani,Phra Nakhon Si Ayutthaya,51.3 km
41,Pathum Thani,Saraburi,87.4 km
42,Pathum Thani,Chachoengsao,87.8 km
43,Pathum Thani,Nakhon Nayok,90.1 km
44,Phra Nakhon Si Ayutthaya,Nonthaburi,71.0 km
45,Phra Nakhon Si Ayutthaya,Pathum Thani,48.4 km
46,Phra Nakhon Si Ayutthaya,Ang Thong,37.2 km
47,Phra Nakhon Si Ayutthaya,Lopburi,76.4 km
48,Phra Nakhon Si Ayutthaya,Saraburi,48.0 km
49,Phra Nakhon Si Ayutthaya,Suphan Buri,62.8 km
50,Phra Nakhon Si Ayutthaya,Nakhon Pathom,119 km
51,Ang Thong,Phra Nakhon Si Ayutthaya,35.1 km
52,Ang Thong,Lopburi,44.5 km
53,Ang Thong,Sing Buri,41.0 km
54,Ang Thong,Suphan Buri,50.4 km
55,Lopburi,Phra Nakhon Si Ayutthaya,73.2 km
56,Lopburi,Ang Thong,43.4 km
57,Lopburi,Sing Buri,34.1 km
58,Lopburi,Saraburi,46.5 km
59,Lopburi,Nakhon Ratchasima,194 km
60,Lopburi,Chaiyaphum,229 km
61,Lopburi,Nakhon Sawan,131 km
62,Lopburi,Phetchabun,238 km
63,Sing Buri,Ang Thong,41.3 km
64,Sing Buri,Lopburi,33.2 km
65,Sing Buri,Chai Nat,58.4 km
66,Sing Buri,Nakhon Sawan,104 km
67,Sing Buri,Suphan Buri,73.6 km
68,Chai Nat,Sing Buri,59.5 km
69,Chai Nat,Nakhon Sawan,63.1 km
70,Chai Nat,Uthai Thani,28.9 km
71,Chai Nat,Suphan Buri,96.2 km
72,Saraburi,Pathum Thani,80.5 km
73,Saraburi,Phra Nakhon Si Ayutthaya,48.7 km
74,Saraburi,Lopburi,46.1 km
75,Saraburi,Nakhon Nayok,58.7 km
76,Saraburi,Nakhon Ratchasima,153 km
77,Chonburi,Rayong,97.9 km
78,Chonburi,Chanthaburi,165 km
79,Chonburi,Chachoengsao,45.2 km
80,Rayong,Chonburi,96.6 km
81,Rayong,Chanthaburi,111 km
82,Rayong,Chachoengsao,141 km
83,Chanthaburi,Chonburi,165 km
84,Chanthaburi,Rayong,111 km
85,Chanthaburi,Trat,70.1 km
86,Chanthaburi,Chachoengsao,190 km
87,Chanthaburi,Sa Kaeo,157 km
88,Trat,Chanthaburi,69.9 km
89,Chachoengsao,Bangkok,68.8 km
90,Chachoengsao,Samut Prakan,74.1 km
