,original,destination,distance
0,กรุงเทพมหานคร,สมุทรปราการ,25.4 km
1,กรุงเทพมหานคร,นนทบุรี,15.6 km
2,กรุงเทพมหานคร,ปทุมธานี,37.5 km
3,กรุงเทพมหานคร,ฉะเชิงเทรา,70.1 km
4,กรุงเทพมหานคร,นครนายก,107 km
5,กรุงเทพมหานคร,นครปฐม,58.8 km
6,กรุงเทพมหานคร,สมุทรสาคร,46.8 km
7,สมุทรปราการ,กรุงเทพมหานคร,24.4 km
8,สมุทรปราการ,ฉะเชิงเทรา,71.6 km
9,นนทบุรี,กรุงเทพมหานคร,15.4 km
10,นนทบุรี,ปทุมธานี,27.8 km
11,นนทบุรี,พระนครศรีอยุธยา,68.3 km
12,นนทบุรี,นครปฐม,60.1 km
13,ปทุมธานี,กรุงเทพมหานคร,38.1 km
14,ปทุมธานี,นนทบุรี,30.5 km
15,ปทุมธานี,พระนครศรีอยุธยา,51.3 km
16,ปทุมธานี,สระบุรี,87.4 km
17,ปทุมธานี,ฉะเชิงเทรา,87.8 km
18,ปทุมธานี,นครนายก,90.1 km
19,พระนครศรีอยุธยา,นนทบุรี,71.0 km
20,พระนครศรีอยุธยา,ปทุมธานี,48.4 km
21,พระนครศรีอยุธยา,อ่างทอง,37.2 km
22,พระนครศรีอยุธยา,ลพบุรี,76.4 km
23,พระนครศรีอยุธยา,สระบุรี,48.0 km
24,พระนครศรีอยุธยา,สุพรรณบุรี,62.8 km
25,กรุงเทพมหานคร,สมุทรปราการ,25.4 km
26,กรุงเทพมหานคร,นนทบุรี,15.6 km
27,กรุงเทพมหานคร,ปทุมธานี,37.5 km
28,กรุงเทพมหานคร,ฉะเชิงเทรา,70.1 km
29,กรุงเทพมหานคร,นครนายก,107 km
30,กรุงเทพมหานคร,นครปฐม,58.8 km
31,กรุงเทพมหานคร,สมุทรสาคร,46.8 km
32,สมุทรปราการ,กรุงเทพมหานคร,24.4 km
33,สมุทรปราการ,ฉะเชิงเทรา,71.6 km
34,นนทบุรี,กรุงเทพมหานคร,15.4 km
35,นนทบุรี,ปทุมธานี,27.8 km
36,นนทบุรี,พระนครศรีอยุธยา,68.3 km
37,นนทบุรี,นครปฐม,60.1 km
38,ปทุมธานี,กรุงเทพมหานคร,38.1 km
39,ปทุมธานี,นนทบุรี,30.5 km
40,ปทุมธานี,พระนครศรีอยุธยา,51.3 km
41,ปทุมธานี,สระบุรี,87.4 km
42,ปทุมธานี,ฉะเชิงเทรา,87.8 km
43,ปทุมธานี,นครนายก,90.1 km
44,พระนครศรีอยุธยา,นนทบุรี,71.0 km
45,พระนครศรีอยุธยา,ปทุมธานี,48.4 km
46,พระนครศรีอยุธยา,อ่างทอง,37.2 km
47,พระนครศรีอยุธยา,ลพบุรี,76.4 km
48,พระนครศรีอยุธยา,สระบุรี,48.0 km
49,พระนครศรีอยุธยา,สุพรรณบุรี,62.8 km
50,พระนครศรีอยุธยา,นครปฐม,119 km
51,อ่างทอง,พระนครศรีอยุธยา,35.1 km
52,อ่างทอง,ลพบุรี,44.5 km
53,อ่างทอง,สิงห์บุรี,41.0 km
54,อ่างทอง,สุพรรณบุรี,50.4 km
55,ลพบุรี,พระนครศรีอยุธยา,73.2 km
56,ลพบุรี,อ่างทอง,43.4 km
57,ลพบุรี,สิงห์บุรี,34.1 km
58,ลพบุรี,สระบุรี,46.5 km
59,ลพบุรี,นครราชสีมา,194 km
60,ลพบุรี,ชัยภูมิ,229 km
61,ลพบุรี,นครสวรรค์,131 km
62,ลพบุรี,เพชรบูรณ์,238 km
63,สิงห์บุรี,อ่างทอง,41.3 km
64,สิงห์บุรี,ลพบุรี,33.2 km
65,สิงห์บุรี,ชัยนาท,58.4 km
66,สิงห์บุรี,นครสวรรค์,104 km
67,สิงห์บุรี,สุพรรณบุรี,73.6 km
68,ชัยนาท,สิงห์บุรี,59.5 km
69,ชัยนาท,นครสวรรค์,63.1 km
70,ชัยนาท,อุทัยธานี,28.9 km
71,ชัยนาท,สุพรรณบุรี,96.2 km
72,สระบุรี,ปทุมธานี,80.5 km
73,สระบุรี,พระนครศรีอยุธยา,48.7 km
74,สระบุรี,ลพบุรี,46.1 km
75,สระบุรี,นครนายก,58.7 km
76,สระบุรี,นครราชสีมา,153 km
77,ชลบุรี,ระยอง,97.9 km
78,ชลบุรี,จันทบุรี,165 km
79,ชลบุรี,ฉะเชิงเทรา,45.2 km
80,ระยอง,ชลบุรี,96.6 km
81,ระยอง,จันทบุรี,111 km
82,ระยอง,ฉะเชิงเทรา,141 km
83,จันทบุรี,ชลบุรี,165 km
84,จันทบุรี,ระยอง,111 km
85,จันทบุรี,ตราด,70.1 km
86,จันทบุรี,ฉะเชิงเทรา,190 km
87,จันทบุรี,สระแก้ว,157 km
88,ตราด,จันทบุรี,69.9 km
89,ฉะเชิงเทรา,กรุงเทพมหานคร,68.8 km
90,ฉะเชิงเทรา,สมุทรปราการ,74.1 km
91,ฉะเชิงเทรา,ปทุมธานี,88.0 km
