amphoe_id,romanized_amphoe,thai_amphoe,province_id
1,Khet Phra Nakhon,เขตพระนคร,1
2,khet Bang Bon,เขตบางบอน,1
3,Khet Bang Kapi,เขตบางกะปิ,1
4,Khet Bang Khae,เขตบางแค,1
5,Khet Bang Khen,เขตบางเขน,1
6,Khet Bang Kho Laem,เขตบางคอแหลม,1
7,Khet Bang Khun Thian,เขตบางขุนเทียน,1
8,Khet Bang Na,เขตบางนา,1
9,Khet Bang Phlat,เขตบางพลัด,1
10,Khet Bang Rak,เขตบางรัก,1
11,Khet Bang Sue,เขตบางซื่อ,1
12,Khet Bangkok Noi,เขตบางกอกน้อย,1
13,Khet Bangkok Yai,เขตบางกอกใหญ่,1
14,Khet Bueng Kum,เขตบึงกุ่ม,1
15,Khet Chatuchak,เขตจตุจักร,1
16,Khet Chom Thong,เขตจอมทอง,1
17,Khet Din Daeng,เขตดินแดง,1
18,Khet Don Mueang,เขตดอนเมือง,1
19,Khet Dusit,เขตดุสิต,1
20,Khet Huai Khwang,เขตห้วยขวาง,1
21,Khet Khan Na Yao,เขตคันนายาว,1
22,Khet Khlong Sam Wa,เขตคลองสามวา,1
23,Khet Khlong San,เขตคลองสาน,1
24,Khet Khlong Toei,เขตคลองเตย,1
25,Khet Lak Si,เขตหลักสี่,1
26,Khet Lat Krabang,เขตลาดกระบัง,1
27,Khet Lat Phrao,เขตลาดพร้าว,1
28,Khet Min Buri,เขตมีนบุรี,1
29,Khet Nong Chok,เขตหนองแขม,1
30,Khet Nong Khaem,เขตหนองจอก,1
31,Khet Pathum Wan,เขตปทุมวัน,1
32,Khet Phasi Charoen,เขตภาษีเจริญ,1
33,Khet Phaya Thai,เขตพญาไท,1
34,Khet Phra Khanong,เขตพระโขนง,1
35,Khet Pom Prap Sattru Phai,เขตป้อมปราบศัตรูพ่าย,1
36,Khet Prawet,เขตประเวศ,1
37,Khet Rat Burana,เขตราษฎร์บูรณะ,1
38,Khet Ratchathewi,เขตราชเทวี,1
39,Khet Sai Mai,เขตสายไหม,1
40,Khet Samphanthawong,เขตสัมพันธวงศ์,1
41,Khet Saphan Sung,เขตสะพานสูง,1
42,Khet Sathon,เขตสาทร,1
43,Khet Suan Luang,เขตสวนหลวง,1
44,Khet Taling Chan,เขตตลิ่งชัน,1
45,Khet Thawi Watthana,เขตทวีวัฒนา,1
46,Khet Thon Buri,เขตธนบุรี,1
47,Khet Thung Khru,เขตทุ่งครุ,1
48,Khet Wang Thonglang,เขตวังทองหลาง,1
49,Khet Vadhana,เขตวัฒนา,1
50,Khet Yan Nawa,เขตยานนาวา,1
51,Amphoe Mueang Amnat Charoen,อำเภอเมืองอำนาจเจริญ,73
52,Amphoe Chanuman,อำเภอชานุมาน ,73
53,Amphoe Hua Taphan,อำเภอหัวตะพาน,73
54,Amphoe Lue Amnat,อำเภอลืออำนาจ,73
55,Amphoe Pathum Ratchawongsa,อำเภอปทุมราชวงศา,73
56,Amphoe Phana,อำเภอพนา,73
57,Amphoe Senangkhanikhom,อำเภอเสนางคนิคม ,73
58,Amphoe Mueang Ang Thong,อำเภอเมืองอ่างทอง,72
59,Amphoe Chaiyo,อำเภอไชโย,72
60,Amphoe Pa Mok,อำเภอป่าโมก,72
61,Amphoe Pho Thong,อำเภอโพธิ์ทอง,72
62,Amphoe Samko,อำเภอสามโก้,72
63,Amphoe Sawaeng Ha,อำเภอแสวงหา,72
64,Amphoe Wiset Chai Chan,อำเภอวิเศษชัยชาญ,72
65,Amphoe Mueang Bueng Kan,อำเภอเมืองบึงกาฬ,27
66,Amphoe Bueng Khong Long,อำเภอบึงโขงหลง,27
67,Amphoe Bung Khla,อำเภอบุ่งคล้า,27
68,Amphoe Pak Khat,อำเภอปากคาด,27
69,Amphoe Phon Charoen,อำเภอพรเจริญ,27
70,Amphoe Seka,อำเภอเซกา,27
71,Amphoe Si Wilai,อำเภอศรีวิไล,27
72,Amphoe So Phisai,อำเภอโซ่พิสัย,27
73,Amphoe Mueang Buri Ram,อำเภอเมืองบุรีรัมย์,28
74,Amphoe Ban Dan,อำเภอบ้านด่าน,28
75,Amphoe Ban Kruat,อำเภอบ้านกรวด,28
76,Amphoe Ban Mai Chaiyaphot,อำเภอบ้านใหม่ไชยพจน์,28
77,Amphoe Chaloem Phra Kiat,อำเภอเฉลิมพระเกียรติ,28
78,Amphoe Chamni,อำเภอชำนิ,28
79,Amphoe Huai Rat,อำเภอห้วยราช,28
80,Amphoe Khaen Dong,อำเภอแคนดง,28
81,Amphoe Khu Mueang,อำเภอคูเมือง,28
82,Amphoe Krasang,อำเภอกระสัง,28
83,Amphoe Lahan Sai,อำเภอละหานทราย,28
84,Amphoe Lam Plai Mat,อำเภอลำปลายมาศ,28
85,Amphoe Nang Rong,อำเภอนางรอง,28
86,Amphoe Na Pho,อำเภอนาโพธิ์,28
87,Amphoe Non Din Daeng,อำเภอโนนดินแดง,28
88,Amphoe Non Suwan,อำเภอโนนสุวรรณ,28
89,Amphoe Nong Hong,อำเภอหนองหงส์,28
90,Amphoe Nong Ki,อำเภอหนองกี่,28
91,Amphoe Pakham,อำเภอปะคำ,28
92,Amphoe Phlapphla Chai,อำเภอพลับพลาชัย,28
93,Amphoe Phutthaisong,อำเภอพุทไธสง,28
94,Amphoe Prakhon Chai,อำเภอประโคนชัย,28
95,Amphoe Satuek,อำเภอสตึก,28
96,Amphoe Mueang Chachoengsao,อำเภอเมืองฉะเชิงเทรา,8
97,Amphoe Ban Pho,อำเภอบ้านโพธิ์,8
98,Amphoe Bang Khla,อำเภอบางคล้า,8
99,Amphoe Bang Nam Priao,อำเภอบางน้ำเปรี้ยว,8
100,Amphoe Bang Pakong,อำเภอบางปะกง,8
101,Amphoe Khlong Khuean,อำเภอคลองเขื่อน,8
102,Amphoe Phanom Sarakham,อำเภอพนมสารคาม,8
103,Amphoe Plaeng Yao,อำเภอแปลงยาว,8
104,Amphoe Ratchasan,อำเภอราชสาส์น,8
105,Amphoe Sanam Chai Khet,อำเภอสนามชัยเขต,8
106,Amphoe Tha Takiap,อำเภอท่าตะเกียบ,8
107,Amphoe Mueang Chai Nat,อำเภอเมืองชัยนาท,10
108,Amphoe Hankha,อำเภอหันคา,10
109,Amphoe Manorom,อำเภอมโนรมย์,10
110,Amphoe Noen Kham,อำเภอเนินขาม,10
111,Amphoe Nong Mamong,อำเภอหนองมะโมง,10
112,Amphoe Sankhaburi,อำเภอสรรคบุรี,10
113,Amphoe Sapphaya,อำเภอสรรพยา,10
114,Amphoe Wat Sing,อำเภอวัดสิงห์,10
115,Amphoe Mueang Chaiyaphum,อำเภอเมืองชัยภูมิ,11
116,Amphoe Bamnet Narong,อำเภอบำเหน็จณรงค์,11
117,Amphoe Ban Khwao,อำเภอบ้านเขว้า,11
118,Amphoe Ban Thaen,อำเภอบ้านแท่น,11
119,Amphoe Chatturat,อำเภอจัตุรัส,11
120,Amphoe Kaeng Khro,อำเภอแก้งคร้อ,11
121,Amphoe Kaset Sombun,อำเภอเกษตรสมบูรณ์,11
122,Amphoe Khon San,อำเภอคอนสาร,11
123,Amphoe Khon Sawan,อำเภอคอนสวรรค์,11
124,Amphoe Noen Sa-nga,อำเภอเนินสง่า,11
125,Amphoe Nong Bua Daeng,อำเภอหนองบัวแดง,11
126,Amphoe Nong Bua Rawe,อำเภอ หนองบัวระเหว,11
127,Amphoe Phakdi Chumphon,อำเภอภักดีชุมพล,11
128,Amphoe Phu Khiao,อำเภอภูเขียว,11
129,Amphoe Sap Yai,อำเภอซับใหญ่,11
130,Amphoe Thep Sathit,อำเภอเทพสถิต,11
131,Amphoe Mueang Chanthaburi,อำเภอเมืองจันทบุรี,7
132,Amphoe Kaeng Hang Maeo,อำเภอแก่งหางแมว,7
133,Amphoe Khao Khitchakut,อำเภอเขาคิชฌกูฏ,7
134,Amphoe Khlung,อำเภอขลุง,7
135,Amphoe Laem Sing,อำเภอแหลมสิงห์,7
136,Amphoe Makham,อำเภอมะขาม,7
137,Amphoe Na Yai Am,อำเภอนายายอาม,7
138,Amphoe Pong Nam Ron,อำเภอโป่งน้ำร้อน,7
139,Amphoe Soi Dao,อำเภอสอยดาว,7
140,Amphoe Tha Mai,อำเภอท่าใหม่,7
