Amper TH,Amper TH2,Province TH,Province EN,Amper TH3,CODE,Amper EN,ที่ว่าการอำเภอAmper TH Province TH,Lat,Lon
พระนคร,เขตพระนคร,กรุงเทพมหานคร,Bangkok,เขตพระนคร,10010000,Phra Nakhon,ที่ว่าการอำเภอพระนคร กรุงเทพมหานคร,13.765096200668543,100.49935721120431
ดุสิต,เขตดุสิต,กรุงเทพมหานคร,Bangkok,เขตดุสิต,10020000,Dusit,ที่ว่าการอำเภอดุสิต กรุงเทพมหานคร,13.777345569576957,100.52093624797357
หนองจอก,เขตหนองจอก,กรุงเทพมหานคร,Bangkok,เขตหนองจอก,10030000,Nong Chok,ที่ว่าการอำเภอหนองจอก กรุงเทพมหานคร,13.855727552946405,100.86262861357989
บางรัก,เขตบางรัก,กรุงเทพมหานคร,Bangkok,เขตบางรัก,10040000,Bang Rak,ที่ว่าการอำเภอบางรัก กรุงเทพมหานคร,13.730903075589106,100.5235481693973
บางเขน,เขตบางเขน,กรุงเทพมหานคร,Bangkok,เขตบางเขน,10050000,Bang Khen,ที่ว่าการอำเภอบางเขน กรุงเทพมหานคร,13.873676020006384,100.59662351968223
บางกะปิ,เขตบางกะปิ,กรุงเทพมหานคร,Bangkok,เขตบางกะปิ,10060000,Bang Kapi,ที่ว่าการอำเภอบางกะปิ กรุงเทพมหานคร,13.765991079203733,100.6474855828894
ปทุมวัน,เขตปทุมวัน,กรุงเทพมหานคร,Bangkok,เขตปทุมวัน,10070000,Pathum Wan,ที่ว่าการอำเภอปทุมวัน กรุงเทพมหานคร,13.745258155294323,100.52353470829607
ป้อมปราบศัตรูพ่าย,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Bangkok,เขตป้อมปราบศัตรูพ่าย,10080000,Pom Prap Sattruphai,ที่ว่าการอำเภอป้อมปราบศัตรูพ่าย กรุงเทพมหานคร,13.75852341758535,100.51335771465203
พระโขนง,เขตพระโขนง,กรุงเทพมหานคร,Bangkok,เขตพระโขนง,10090000,Phra Khanong,ที่ว่าการอำเภอพระโขนง กรุงเทพมหานคร,13.702658132757334,100.60205691172463
มีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,Bangkok,เขตมีนบุรี,10100000,Min Buri,ที่ว่าการอำเภอมีนบุรี กรุงเทพมหานคร,13.814110523521652,100.73293981572438
ลาดกระบัง,เขตลาดกระบัง,กรุงเทพมหานคร,Bangkok,เขตลาดกระบัง,10110000,Lat Krabang,ที่ว่าการอำเภอลาดกระบัง กรุงเทพมหานคร,13.723693550837679,100.78417398564892
ยานนาวา,เขตยานนาวา,กรุงเทพมหานคร,Bangkok,เขตยานนาวา,10120000,Yannawa,ที่ว่าการอำเภอยานนาวา กรุงเทพมหานคร,13.696415827574207,100.54322614915867
สัมพันธวงศ์,เขตสัมพันธวงศ์,กรุงเทพมหานคร,Bangkok,เขตสัมพันธวงศ์,10130000,Samphanthawong,ที่ว่าการอำเภอสัมพันธวงศ์ กรุงเทพมหานคร,13.732807152899278,100.51486866614468
พญาไท,เขตพญาไท,กรุงเทพมหานคร,Bangkok,เขตพญาไท,10140000,Phaya Thai,ที่ว่าการอำเภอพญาไท กรุงเทพมหานคร,13.779998407203031,100.54271621357861
ธนบุรี,เขตธนบุรี,กรุงเทพมหานคร,Bangkok,เขตธนบุรี,10150000,Thon Buri,ที่ว่าการอำเภอธนบุรี กรุงเทพมหานคร,13.725002157379908,100.48615069389639
บางกอกใหญ่,เขตบางกอกใหญ่,กรุงเทพมหานคร,Bangkok,เขตบางกอกใหญ่,10160000,Bangkok Yai,ที่ว่าการอำเภอบางกอกใหญ่ กรุงเทพมหานคร,13.723473183582243,100.47708275693978
ห้วยขวาง,เขตห้วยขวาง,กรุงเทพมหานคร,Bangkok,เขตห้วยขวาง,10170000,Huai Khwang,ที่ว่าการอำเภอห้วยขวาง กรุงเทพมหานคร,13.776695141273885,100.57959023437807
คลองสาน,เขตคลองสาน,กรุงเทพมหานคร,Bangkok,เขตคลองสาน,10180000,Khlong San,ที่ว่าการอำเภอคลองสาน กรุงเทพมหานคร,13.730772789057715,100.50976688401391
ตลิ่งชัน,เขตตลิ่งชัน,กรุงเทพมหานคร,Bangkok,เขตตลิ่งชัน,10190000,Taling Chan,ที่ว่าการอำเภอตลิ่งชัน กรุงเทพมหานคร,13.776959943820513,100.4567464343912
บางกอกน้อย,เขตบางกอกน้อย,กรุงเทพมหานคร,Bangkok,เขตบางกอกน้อย,10200000,Bangkok Noi,ที่ว่าการอำเภอบางกอกน้อย กรุงเทพมหานคร,13.770995815859512,100.4680357083089
บางขุนเทียน,เขตบางขุนเทียน,กรุงเทพมหานคร,Bangkok,เขตบางขุนเทียน,10210000,Bang Khun Thian,ที่ว่าการอำเภอบางขุนเทียน กรุงเทพมหานคร,13.660833876686974,100.43538625923355
ภาษีเจริญ,เขตภาษีเจริญ,กรุงเทพมหานคร,Bangkok,เขตภาษีเจริญ,10220000,Phasi Charoen,ที่ว่าการอำเภอภาษีเจริญ กรุงเทพมหานคร,13.71512262220817,100.43692713555347
หนองแขม,เขตหนองแขม,กรุงเทพมหานคร,Bangkok,เขตหนองแขม,10230000,Nong Khaem,ที่ว่าการอำเภอหนองแขม กรุงเทพมหานคร,13.705582378636471,100.34916214904652
ราษฎร์บูรณะ,เขตราษฎร์บูรณะ,กรุงเทพมหานคร,Bangkok,เขตราษฎร์บูรณะ,10240000,Rat Burana,ที่ว่าการอำเภอราษฎร์บูรณะ กรุงเทพมหานคร,13.682153999925848,100.50579653555751
บางพลัด,เขตบางพลัด,กรุงเทพมหานคร,Bangkok,เขตบางพลัด,10250000,Bang Phlat,ที่ว่าการอำเภอบางพลัด กรุงเทพมหานคร,13.794135697838847,100.5050670778795
ดินแดง,เขตดินแดง,กรุงเทพมหานคร,Bangkok,เขตดินแดง,10260000,Din Daeng,ที่ว่าการอำเภอดินแดง กรุงเทพมหานคร,13.770418796720545,100.55307700672566
บึงกุ่ม,เขตบึงกุ่ม,กรุงเทพมหานคร,Bangkok,เขตบึงกุ่ม,10270000,Bung Kum,ที่ว่าการอำเภอบึงกุ่ม กรุงเทพมหานคร,13.785344968090715,100.66962464089049
สาทร,เขตสาทร,กรุงเทพมหานคร,Bangkok,เขตสาทร,10280000,Sa Thon,ที่ว่าการอำเภอสาทร กรุงเทพมหานคร,13.708091593085635,100.52623037569685
บางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,Bangkok,เขตบางซื่อ,10290000,Bang Su,ที่ว่าการอำเภอบางซื่อ กรุงเทพมหานคร,13.809604945942551,100.53746027380195
จตุจักร,เขตจตุจักร,กรุงเทพมหานคร,Bangkok,เขตจตุจักร,10300000,Chatuchak,ที่ว่าการอำเภอจตุจักร กรุงเทพมหานคร,13.828788705336812,100.55995953555454
บางคอแหลม,เขตบางคอแหลม,กรุงเทพมหานคร,Bangkok,เขตบางคอแหลม,10310000,Bang Kho Laem,ที่ว่าการอำเภอบางคอแหลม กรุงเทพมหานคร,13.693005011948237,100.5024407509094
ประเวศ,เขตประเวศ,กรุงเทพมหานคร,Bangkok,เขตประเวศ,10320000,Prawet,ที่ว่าการอำเภอประเวศ กรุงเทพมหานคร,13.717211470704347,100.6946517094993
คลองเตย,เขตคลองเตย,กรุงเทพมหานคร,Bangkok,เขตคลองเตย,10330000,Khlong Toei,ที่ว่าการอำเภอคลองเตย กรุงเทพมหานคร,13.708316681521428,100.58374911172466
สวนหลวง,เขตสวนหลวง,กรุงเทพมหานคร,Bangkok,เขตสวนหลวง,10340000,Suan Luang,ที่ว่าการอำเภอสวนหลวง กรุงเทพมหานคร,13.730198987432098,100.65136400918249
จอมทอง,เขตจอมทอง,กรุงเทพมหานคร,Bangkok,เขตจอมทอง,10350000,Chom Thong,ที่ว่าการอำเภอจอมทอง กรุงเทพมหานคร,13.710527557707767,100.43776599407524
ดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,Bangkok,เขตดอนเมือง,10360000,Don Mueang,ที่ว่าการอำเภอดอนเมือง กรุงเทพมหานคร,13.910132234393089,100.59469589323075
ราชเทวี,เขตราชเทวี,กรุงเทพมหานคร,Bangkok,เขตราชเทวี,10370000,Rat Thewi,ที่ว่าการอำเภอราชเทวี กรุงเทพมหานคร,13.759135910480085,100.5342050355645
ลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,Bangkok,เขตลาดพร้าว,10380000,Lat Phrao,ที่ว่าการอำเภอลาดพร้าว กรุงเทพมหานคร,13.80350554056472,100.60739049351355
วัฒนา,เขตวัฒนา,กรุงเทพมหานคร,Bangkok,เขตวัฒนา,10390000,Watthana,ที่ว่าการอำเภอวัฒนา กรุงเทพมหานคร,13.742640679091139,100.58563983041536
บางแค,เขตบางแค,กรุงเทพมหานคร,Bangkok,เขตบางแค,10400000,Bang Khae,ที่ว่าการอำเภอบางแค กรุงเทพมหานคร,13.696168920426395,100.40917719959403
หลักสี่,เขตหลักสี่,กรุงเทพมหานคร,Bangkok,เขตหลักสี่,10410000,Lak Si,ที่ว่าการอำเภอหลักสี่ กรุงเทพมหานคร,13.887495712316154,100.57892209643944
สายไหม,เขตสายไหม,กรุงเทพมหานคร,Bangkok,เขตสายไหม,10420000,Sai Mai,ที่ว่าการอำเภอสายไหม กรุงเทพมหานคร,13.89509435160269,100.66047956693004
คันนายาว,เขตคันนายาว,กรุงเทพมหานคร,Bangkok,เขตคันนายาว,10430000,Khanna Yao,ที่ว่าการอำเภอคันนายาว กรุงเทพมหานคร,13.799303969900633,100.68268068334568
สะพานสูง,เขตสะพานสูง,กรุงเทพมหานคร,Bangkok,เขตสะพานสูง,10440000,Saphan Sung,ที่ว่าการอำเภอสะพานสูง กรุงเทพมหานคร,13.768914169173515,100.68570992959629
วังทองหลาง,เขตวังทองหลาง,กรุงเทพมหานคร,Bangkok,เขตวังทองหลาง,10450000,Wang Thong Lang,ที่ว่าการอำเภอวังทองหลาง กรุงเทพมหานคร,13.764163789040015,100.60572374917237
คลองสามวา,เขตคลองสามวา,กรุงเทพมหานคร,Bangkok,เขตคลองสามวา,10460000,Khlong Sam Wa,ที่ว่าการอำเภอคลองสามวา กรุงเทพมหานคร,13.859980708225791,100.70418943555298
บางนา,เขตบางนา,กรุงเทพมหานคร,Bangkok,เขตบางนา,10470000,Bang Na,ที่ว่าการอำเภอบางนา กรุงเทพมหานคร,13.68116344979929,100.5920689526488
ทวีวัฒนา,เขตทวีวัฒนา,กรุงเทพมหานคร,Bangkok,เขตทวีวัฒนา,10480000,Thawi Watthana,ที่ว่าการอำเภอทวีวัฒนา กรุงเทพมหานคร,13.773012727713503,100.35312191434879
ทุ่งครุ,เขตทุ่งครุ,กรุงเทพมหานคร,Bangkok,เขตทุ่งครุ,10490000,Thung Khu,ที่ว่าการอำเภอทุ่งครุ กรุงเทพมหานคร,13.611530107310376,100.50873517093675
บางบอน,เขตบางบอน,กรุงเทพมหานคร,Bangkok,เขตบางบอน,10500000,Bang Bon,ที่ว่าการอำเภอบางบอน กรุงเทพมหานคร,13.633938296697691,100.36887942354102
