CODE,Amper TH,Amper EN,Province TH,Province EN,Lat,Lon
10010000,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,13.765096200668543,100.49935721120431
10020000,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,13.777345569576957,100.52093624797357
10030000,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,13.855727552946405,100.86262861357989
10040000,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,13.730903075589106,100.5235481693973
10050000,บางเขน,Bang Khen,กรุงเทพมหานคร,Bangkok,13.873676020006384,100.59662351968223
10060000,บางกะปิ,Bang Kapi,กรุงเทพมหานคร,Bangkok,13.765991079203733,100.6474855828894
10070000,ปทุมวัน,Pathum Wan,กรุงเทพมหานคร,Bangkok,13.745258155294323,100.52353470829607
10080000,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,กรุงเทพมหานคร,Bangkok,13.75852341758535,100.51335771465203
10090000,พระโขนง,Phra Khanong,กรุงเทพมหานคร,Bangkok,13.702658132757334,100.60205691172463
10100000,มีนบุรี,Min Buri,กรุงเทพมหานคร,Bangkok,13.814110523521652,100.73293981572438
10110000,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,13.723693550837679,100.78417398564892
10120000,ยานนาวา,Yannawa,กรุงเทพมหานคร,Bangkok,13.696415827574207,100.54322614915867
10130000,สัมพันธวงศ์,Samphanthawong,กรุงเทพมหานคร,Bangkok,13.732807152899278,100.51486866614468
10140000,พญาไท,Phaya Thai,กรุงเทพมหานคร,Bangkok,13.779998407203031,100.54271621357861
10150000,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,13.725002157379908,100.48615069389639
10160000,บางกอกใหญ่,Bangkok Yai,กรุงเทพมหานคร,Bangkok,13.723473183582243,100.47708275693978
10170000,ห้วยขวาง,Huai Khwang,กรุงเทพมหานคร,Bangkok,13.776695141273885,100.57959023437807
10180000,คลองสาน,Khlong San,กรุงเทพมหานคร,Bangkok,13.730772789057715,100.50976688401391
10190000,ตลิ่งชัน,Taling Chan,กรุงเทพมหานคร,Bangkok,13.776959943820513,100.4567464343912
10200000,บางกอกน้อย,Bangkok Noi,กรุงเทพมหานคร,Bangkok,13.770995815859512,100.4680357083089
10210000,บางขุนเทียน,Bang Khun Thian,กรุงเทพมหานคร,Bangkok,13.660833876686974,100.43538625923355
10220000,ภาษีเจริญ,Phasi Charoen,กรุงเทพมหานคร,Bangkok,13.71512262220817,100.43692713555347
10230000,หนองแขม,Nong Khaem,กรุงเทพมหานคร,Bangkok,13.705582378636471,100.34916214904652
10240000,ราษฎร์บูรณะ,Rat Burana,กรุงเทพมหานคร,Bangkok,13.682153999925848,100.50579653555751
10250000,บางพลัด,Bang Phlat,กรุงเทพมหานคร,Bangkok,13.794135697838847,100.5050670778795
10260000,ดินแดง,Din Daeng,กรุงเทพมหานคร,Bangkok,13.770418796720545,100.55307700672566
10270000,บึงกุ่ม,Bung Kum,กรุงเทพมหานคร,Bangkok,13.785344968090715,100.66962464089049
10280000,สาทร,Sa Thon,กรุงเทพมหานคร,Bangkok,13.708091593085635,100.52623037569685
10290000,บางซื่อ,Bang Su,กรุงเทพมหานคร,Bangkok,13.809604945942551,100.53746027380195
10300000,จตุจักร,Chatuchak,กรุงเทพมหานคร,Bangkok,13.828788705336812,100.55995953555454
10310000,บางคอแหลม,Bang Kho Laem,กรุงเทพมหานคร,Bangkok,13.693005011948237,100.5024407509094
10320000,ประเวศ,Prawet,กรุงเทพมหานคร,Bangkok,13.717211470704347,100.6946517094993
10330000,คลองเตย,Khlong Toei,กรุงเทพมหานคร,Bangkok,13.708316681521428,100.58374911172466
10340000,สวนหลวง,Suan Luang,กรุงเทพมหานคร,Bangkok,13.730198987432098,100.65136400918249
10350000,จอมทอง,Chom Thong,กรุงเทพมหานคร,Bangkok,13.710527557707767,100.43776599407524
10360000,ดอนเมือง,Don Mueang,กรุงเทพมหานคร,Bangkok,13.910132234393089,100.59469589323075
10370000,ราชเทวี,Rat Thewi,กรุงเทพมหานคร,Bangkok,13.759135910480085,100.5342050355645
10380000,ลาดพร้าว,Lat Phrao,กรุงเทพมหานคร,Bangkok,13.80350554056472,100.60739049351355
10390000,วัฒนา,Watthana,กรุงเทพมหานคร,Bangkok,13.742640679091139,100.58563983041536
10400000,บางแค,Bang Khae,กรุงเทพมหานคร,Bangkok,13.696168920426395,100.40917719959403
10410000,หลักสี่,Lak Si,กรุงเทพมหานคร,Bangkok,13.887495712316154,100.57892209643944
10420000,สายไหม,Sai Mai,กรุงเทพมหานคร,Bangkok,13.89509435160269,100.66047956693004
10430000,คันนายาว,Khanna Yao,กรุงเทพมหานคร,Bangkok,13.799303969900633,100.68268068334568
10440000,สะพานสูง,Saphan Sung,กรุงเทพมหานคร,Bangkok,13.768914169173515,100.68570992959629
10450000,วังทองหลาง,Wang Thong Lang,กรุงเทพมหานคร,Bangkok,13.764163789040015,100.60572374917237
