จังหวัด,Lat,Lon
กระบี่,8.061763,98.918572
กรุงเทพมหานคร,13.765172,100.539168
กาญจนบุรี,14.003796,99.55001
กาฬสินธุ์,16.442973,103.534162
กำแพงเพชร,16.485231,99.525001
ขอนแก่น,16.43866,102.839213
จันทบุรี,12.610554,102.104639
ฉะเชิงเทรา,13.688646,101.070801
ชลบุรี,13.361869,100.979851
ชัยนาท,15.185477,100.123826
ชัยภูมิ,15.809781,102.020334
ชุมพร,10.492785,99.179151
เชียงราย,19.928878,99.864427
เชียงใหม่,18.836231,98.972098
ตรัง,7.557946,99.609761
ตราด,12.231515,102.512533
ตาก,16.881436,99.123664
นครนายก,14.203698,101.217262
นครปฐม,13.819728,100.065885
นครพนม,17.367223,104.76079
นครราชสีมา,14.971228,102.099628
นครศรีธรรมราช,8.481025,99.96731
นครสวรรค์,15.704878,100.137576
นนทบุรี,13.862418,100.513394
นราธิวาส,6.425175,101.823515
น่าน,18.793656,100.729465
บึงกาฬ,18.358166,103.652915
บุรีรัมย์,14.994053,103.104373
ปทุมธานี,14.019713,100.534642
ประจวบคีรีขันธ์,11.80865,99.796604
ปราจีนบุรี,14.050683,101.366395
ปัตตานี,6.868793,101.250212
พระนครศรีอยุธยา,14.35218,100.576606
พะเยา,19.191813,99.878545
พังงา,8.439932,98.518266
พัทลุง,7.61916,100.072972
พิจิตร,16.438743,100.350315
พิษณุโลก,16.824614,100.259139
เพชรบุรี,13.111761,99.944119
เพชรบูรณ์,16.442986,101.149186
แพร่,18.145434,100.141364
ภูเก็ต,7.889595,98.385404
มหาสารคาม,16.184124,103.301623
มุกดาหาร,16.538161,104.714848
แม่ฮ่องสอน,19.304085,97.977325
ยโสธร,15.794913,104.141068
ยะลา,6.541713,101.281442
ร้อยเอ็ด,16.053174,103.654666
ระนอง,9.956735,98.637618
ระยอง,12.668362,101.274347
ราชบุรี,13.528887,99.812632
ลพบุรี,14.798049,100.653703
ลำปาง,18.29186,99.504643
ลำพูน,18.578047,99.018393
เลย,17.487928,101.719384
ศรีสะเกษ,15.1208,104.32236
สกลนคร,17.155748,104.133949
สงขลา,7.207599,100.596569
สตูล,6.650286,100.085349
สมุทรปราการ,13.6004,100.597082
สมุทรสงคราม,13.413848,100.00335
สมุทรสาคร,13.54836,100.273471
สระแก้ว,13.814681,102.071766
สระบุรี,14.528138,100.909813
สิงห์บุรี,14.888271,100.404694
สุโขทัย,17.007915,99.823322
สุพรรณบุรี,14.474459,100.118438
สุราษฎร์ธานี,9.136069,99.320274
สุรินทร์,14.882281,103.49231
หนองคาย,17.880158,102.740268
หนองบัวลำภู,17.204075,102.444483
อ่างทอง,14.58925,100.453531
อำนาจเจริญ,15.858362,104.629293
อุดรธานี,17.415351,102.786122
อุตรดิตถ์,17.625798,100.096848
อุทัยธานี,15.379402,100.024742
อุบลราชธานี,15.228789,104.854242
