,จังหวัด,Lat,Lon
0,กรุงเทพมหานคร,13.76517161,100.5391684
1,สมุทรปราการ,13.600400235851945,100.59708206899788
2,นนทบุรี,13.862418250350489,100.51339381164291
3,ปทุมธานี,14.01971346102307,100.53464238203622
4,พระนครศรีอยุธยา,14.352179711620067,100.57660589089572
5,อ่างทอง,14.58924958690328,100.45353122262031
6,ลพบุรี,14.798048532112915,100.65370251528194
7,สิงห์บุรี,14.88827113980371,100.40469354698128
8,ชัยนาท,15.185476927142602,100.12382635033302
9,สระบุรี,14.528137561398715,100.9098125792988
10,ชลบุรี,13.361868622789313,100.97985053612275
11,ระยอง,12.668361832867296,101.27434659867863
12,จันทบุรี,12.610554449205216,102.10463859472078
13,ตราด,12.231515364358405,102.51253348942004
14,ฉะเชิงเทรา,13.68864558771947,101.07080148283228
15,ปราจีนบุรี,14.050683078756355,101.36639528579911
16,นครนายก,14.203698232978631,101.21726173137662
17,สระแก้ว,13.814680991649814,102.07176553862412
18,นครราชสีมา,14.971228405899632,102.099628010185
19,บุรีรัมย์,14.994052714448165,103.10437310377708
20,สุรินทร์,14.882281392030134,103.49231034025615
21,ศรีสะเกษ,15.120800307828492,104.32236042405096
22,อุบลราชธานี,15.228788619022716,104.85424213563218
23,ยโสธร,15.794913154358296,104.14106832552726
24,ชัยภูมิ,15.809781485736533,102.02033377050536
25,อำนาจเจริญ,15.858362365704672,104.6292934115028
26,บึงกาฬ,18.358165680264044,103.65291523513594
27,หนองบัวลำภู,17.204074692347852,102.44448307636242
28,ขอนแก่น,16.43865994428428,102.83921294592125
29,อุดรธานี,17.415351422543317,102.7861218747693
30,เลย,17.487928071263948,101.71938370695108
31,หนองคาย,17.88015809206796,102.74026809189968
32,มหาสารคาม,16.184124348151716,103.30162298457404
33,ร้อยเอ็ด,16.05317435523184,103.65466612874908
34,กาฬสินธุ์,16.442973154963248,103.534162106726
35,สกลนคร,17.15574769935692,104.13394938319664
36,นครพนม,17.367222906015055,104.76078973161204
37,มุกดาหาร,16.538160701989515,104.7148482743259
38,เชียงใหม่,18.836231071317638,98.97209817064036
39,ลำพูน,18.578047075584998,99.018392671074
40,ลำปาง,18.29185973088526,99.50464307539563
41,อุตรดิตถ์,17.625797612738115,100.09684779870392
42,แพร่,18.1454339582044,100.14136421413036
43,น่าน,18.79365572157103,100.72946528458644
44,พะเยา,19.19181328013524,99.87854495081588
45,เชียงราย,19.92887791587801,99.8644272067278
46,แม่ฮ่องสอน,19.30408549848365,97.97732518334384
47,นครสวรรค์,15.704878002574434,100.13757625724143
48,อุทัยธานี,15.379401761595926,100.02474181337082
49,กำแพงเพชร,16.48523075200554,99.52500076523968
50,ตาก,16.881436164528385,99.12366399357884
51,สุโขทัย,17.007915416806433,99.82332156870382
52,พิษณุโลก,16.824614351809714,100.25913868271874
53,พิจิตร,16.43874285901666,100.35031469957448
54,เพชรบูรณ์,16.442986424976475,101.14918615616064
55,ราชบุรี,13.528886542456355,99.81263174591012
56,กาญจนบุรี,14.003795734800711,99.55000973701178
57,สุพรรณบุรี,14.474459454200524,100.11843846666692
58,นครปฐม,13.819727627382653,100.06588514221272
59,สมุทรสาคร,13.548360285937592,100.27347094301932
60,สมุทรสงคราม,13.413848306896243,100.00334956480232
61,เพชรบุรี,13.111760714851735,99.94411914392528
62,ประจวบคีรีขันธ์,11.80864959896158,99.79660431782004
63,นครศรีธรรมราช,8.481024740283933,99.9673099710435
64,กระบี่,8.061763150872709,98.91857211721936
65,พังงา,8.439932144896245,98.5182664296766
66,ภูเก็ต,7.889595214091463,98.38540420419328
67,สุราษฎร์ธานี,9.136069196016727,99.3202741016956
68,ระนอง,9.956734910080268,98.637617829377
69,ชุมพร,10.49278495852351,99.1791514535479
70,สงขลา,7.207599177546825,100.59656947497837
71,สตูล,6.650286039353898,100.08534917336404
72,ตรัง,7.557945554933796,99.60976134250784
73,พัทลุง,7.619160126428291,100.07297209887872
74,ปัตตานี,6.868793050636623,101.25021229685828
75,ยะลา,6.541713290045728,101.28144223792292
76,นราธิวาส,6.4251753863204,101.82351543167016
