Amper1,Amper2,Adjacent
"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')","('หนองจอก', 'กรุงเทพมหานคร')",1
"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')","('ลาดกระบัง', 'กรุงเทพมหานคร')",1
"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')","('บางบ่อ', 'สมุทรปราการ')",1
"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')","('บางเสาธง', 'สมุทรปราการ')",1
"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')","('บางคล้า', 'ฉะเชิงเทรา')",1
"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')","('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')",1
"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')","('บางปะกง', 'ฉะเชิงเทรา')",1
"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')","('บ้านโพธิ์', 'ฉะเชิงเทรา')",1
"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')","('คลองเขื่อน', 'ฉะเชิงเทรา')",1
"('บางคล้า', 'ฉะเชิงเทรา')","('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",1
"('บางคล้า', 'ฉะเชิงเทรา')","('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')",1
"('บางคล้า', 'ฉะเชิงเทรา')","('บ้านโพธิ์', 'ฉะเชิงเทรา')",1
"('บางคล้า', 'ฉะเชิงเทรา')","('พนมสารคาม', 'ฉะเชิงเทรา')",1
"('บางคล้า', 'ฉะเชิงเทรา')","('ราชสาส์น', 'ฉะเชิงเทรา')",1
"('บางคล้า', 'ฉะเชิงเทรา')","('แปลงยาว', 'ฉะเชิงเทรา')",1
"('บางคล้า', 'ฉะเชิงเทรา')","('บ้านสร้าง', 'ปราจีนบุรี')",1
"('บางคล้า', 'ฉะเชิงเทรา')","('คลองเขื่อน', 'ฉะเชิงเทรา')",1
"('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')","('องครักษ์', 'นครนายก')",1
"('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')","('หนองจอก', 'กรุงเทพมหานคร')",1
"('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')","('ลำลูกกา', 'ปทุมธานี')",1
"('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')","('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",1
"('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')","('บางคล้า', 'ฉะเชิงเทรา')",1
"('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')","('บ้านสร้าง', 'ปราจีนบุรี')",1
"('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')","('คลองเขื่อน', 'ฉะเชิงเทรา')",1
"('บางปะกง', 'ฉะเชิงเทรา')","('บางบ่อ', 'สมุทรปราการ')",1
"('บางปะกง', 'ฉะเชิงเทรา')","('เมืองชลบุรี', 'ชลบุรี')",1
"('บางปะกง', 'ฉะเชิงเทรา')","('พานทอง', 'ชลบุรี')",1
"('บางปะกง', 'ฉะเชิงเทรา')","('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",1
"('บางปะกง', 'ฉะเชิงเทรา')","('บ้านโพธิ์', 'ฉะเชิงเทรา')",1
"('บ้านโพธิ์', 'ฉะเชิงเทรา')","('บางบ่อ', 'สมุทรปราการ')",1
"('บ้านโพธิ์', 'ฉะเชิงเทรา')","('พานทอง', 'ชลบุรี')",1
"('บ้านโพธิ์', 'ฉะเชิงเทรา')","('พนัสนิคม', 'ชลบุรี')",1
"('บ้านโพธิ์', 'ฉะเชิงเทรา')","('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",1
"('บ้านโพธิ์', 'ฉะเชิงเทรา')","('บางคล้า', 'ฉะเชิงเทรา')",1
"('บ้านโพธิ์', 'ฉะเชิงเทรา')","('บางปะกง', 'ฉะเชิงเทรา')",1
"('บ้านโพธิ์', 'ฉะเชิงเทรา')","('แปลงยาว', 'ฉะเชิงเทรา')",1
"('บ้านโพธิ์', 'ฉะเชิงเทรา')","('คลองเขื่อน', 'ฉะเชิงเทรา')",1
"('พนมสารคาม', 'ฉะเชิงเทรา')","('บางคล้า', 'ฉะเชิงเทรา')",1
"('พนมสารคาม', 'ฉะเชิงเทรา')","('ราชสาส์น', 'ฉะเชิงเทรา')",1
"('พนมสารคาม', 'ฉะเชิงเทรา')","('สนามชัยเขต', 'ฉะเชิงเทรา')",1
"('พนมสารคาม', 'ฉะเชิงเทรา')","('แปลงยาว', 'ฉะเชิงเทรา')",1
"('พนมสารคาม', 'ฉะเชิงเทรา')","('บ้านสร้าง', 'ปราจีนบุรี')",1
"('พนมสารคาม', 'ฉะเชิงเทรา')","('ศรีมหาโพธิ', 'ปราจีนบุรี')",1
"('พนมสารคาม', 'ฉะเชิงเทรา')","('ศรีมโหสถ', 'ปราจีนบุรี')",1
"('ราชสาส์น', 'ฉะเชิงเทรา')","('บางคล้า', 'ฉะเชิงเทรา')",1
"('ราชสาส์น', 'ฉะเชิงเทรา')","('พนมสารคาม', 'ฉะเชิงเทรา')",1
"('ราชสาส์น', 'ฉะเชิงเทรา')","('แปลงยาว', 'ฉะเชิงเทรา')",1
"('ราชสาส์น', 'ฉะเชิงเทรา')","('บ้านสร้าง', 'ปราจีนบุรี')",1
"('ราชสาส์น', 'ฉะเชิงเทรา')","('ศรีมโหสถ', 'ปราจีนบุรี')",1
"('สนามชัยเขต', 'ฉะเชิงเทรา')","('เขาฉกรรจ์', 'สระแก้ว')",1
"('สนามชัยเขต', 'ฉะเชิงเทรา')","('พนมสารคาม', 'ฉะเชิงเทรา')",1
"('สนามชัยเขต', 'ฉะเชิงเทรา')","('แปลงยาว', 'ฉะเชิงเทรา')",1
