Amper1,Amper2,Adjacent
"('บ้านสร้าง', 'ปราจีนบุรี')","('องครักษ์', 'นครนายก')",1
"('บ้านสร้าง', 'ปราจีนบุรี')","('เมืองนครนายก', 'นครนายก')",1
"('บ้านสร้าง', 'ปราจีนบุรี')","('ปากพลี', 'นครนายก')",1
"('บ้านสร้าง', 'ปราจีนบุรี')","('บางคล้า', 'ฉะเชิงเทรา')",1
"('บ้านสร้าง', 'ปราจีนบุรี')","('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')",1
"('บ้านสร้าง', 'ปราจีนบุรี')","('พนมสารคาม', 'ฉะเชิงเทรา')",1
"('บ้านสร้าง', 'ปราจีนบุรี')","('ราชสาส์น', 'ฉะเชิงเทรา')",1
"('บ้านสร้าง', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')",1
"('บ้านสร้าง', 'ปราจีนบุรี')","('คลองเขื่อน', 'ฉะเชิงเทรา')",1
"('บ้านสร้าง', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')",1
"('บ้านสร้าง', 'ปราจีนบุรี')","('ศรีมโหสถ', 'ปราจีนบุรี')",1
"('ประจันตคาม', 'ปราจีนบุรี')","('เมืองนครนายก', 'นครนายก')",1
"('ประจันตคาม', 'ปราจีนบุรี')","('ปากพลี', 'นครนายก')",1
"('ประจันตคาม', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')",1
"('ประจันตคาม', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')",1
"('ประจันตคาม', 'ปราจีนบุรี')","('กบินทร์บุรี', 'ปราจีนบุรี')",1
"('ประจันตคาม', 'ปราจีนบุรี')","('นาดี', 'ปราจีนบุรี')",1
"('ประจันตคาม', 'ปราจีนบุรี')","('ปากช่อง', 'นครราชสีมา')",1
"('ประจันตคาม', 'ปราจีนบุรี')","('วังน้ำเขียว', 'นครราชสีมา')",1
"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('พนมสารคาม', 'ฉะเชิงเทรา')",1
"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('สนามชัยเขต', 'ฉะเชิงเทรา')",1
"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('บ้านสร้าง', 'ปราจีนบุรี')",1
"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('ประจันตคาม', 'ปราจีนบุรี')",1
"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')",1
"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('กบินทร์บุรี', 'ปราจีนบุรี')",1
"('ศรีมหาโพธิ', 'ปราจีนบุรี')","('ศรีมโหสถ', 'ปราจีนบุรี')",1
"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('เมืองนครนายก', 'นครนายก')",1
"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('ปากพลี', 'นครนายก')",1
"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('บ้านสร้าง', 'ปราจีนบุรี')",1
"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('ประจันตคาม', 'ปราจีนบุรี')",1
"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')",1
"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","('ศรีมโหสถ', 'ปราจีนบุรี')",1
"('กบินทร์บุรี', 'ปราจีนบุรี')","('เมืองสระแก้ว', 'สระแก้ว')",1
"('กบินทร์บุรี', 'ปราจีนบุรี')","('เขาฉกรรจ์', 'สระแก้ว')",1
"('กบินทร์บุรี', 'ปราจีนบุรี')","('สนามชัยเขต', 'ฉะเชิงเทรา')",1
"('กบินทร์บุรี', 'ปราจีนบุรี')","('ประจันตคาม', 'ปราจีนบุรี')",1
"('กบินทร์บุรี', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')",1
"('กบินทร์บุรี', 'ปราจีนบุรี')","('นาดี', 'ปราจีนบุรี')",1
"('นาดี', 'ปราจีนบุรี')","('เมืองสระแก้ว', 'สระแก้ว')",1
"('นาดี', 'ปราจีนบุรี')","('ประจันตคาม', 'ปราจีนบุรี')",1
"('นาดี', 'ปราจีนบุรี')","('กบินทร์บุรี', 'ปราจีนบุรี')",1
"('นาดี', 'ปราจีนบุรี')","('ครบุรี', 'นครราชสีมา')",1
"('นาดี', 'ปราจีนบุรี')","('ปากช่อง', 'นครราชสีมา')",1
"('นาดี', 'ปราจีนบุรี')","('วังน้ำเขียว', 'นครราชสีมา')",1
"('ศรีมโหสถ', 'ปราจีนบุรี')","('พนมสารคาม', 'ฉะเชิงเทรา')",1
"('ศรีมโหสถ', 'ปราจีนบุรี')","('ราชสาส์น', 'ฉะเชิงเทรา')",1
"('ศรีมโหสถ', 'ปราจีนบุรี')","('บ้านสร้าง', 'ปราจีนบุรี')",1
"('ศรีมโหสถ', 'ปราจีนบุรี')","('ศรีมหาโพธิ', 'ปราจีนบุรี')",1
"('ศรีมโหสถ', 'ปราจีนบุรี')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')",1
