Amper1,Amper2,Adjacent
"('พระนคร', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('บางกอกใหญ่', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('ตลิ่งชัน', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('ภาษีเจริญ', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
"('พระนคร', 'กรุงเทพมหานคร')","('บางกรวย', 'นนทบุรี')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('บางกอกใหญ่', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('ดินแดง', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('บางซื่อ', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('จตุจักร', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('เมืองนนทบุรี', 'นนทบุรี')",1
"('ดุสิต', 'กรุงเทพมหานคร')","('บางกรวย', 'นนทบุรี')",1
"('บางรัก', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('ห้วยขวาง', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('ดินแดง', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
"('บางรัก', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
"('พญาไท', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
"('พญาไท', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
"('พญาไท', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
"('พญาไท', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
"('พญาไท', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
