Amper1,Amper2,Adjacent
"('เมืองศรีสะเกษ', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",1
"('เมืองศรีสะเกษ', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",1
"('เมืองศรีสะเกษ', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",1
"('เมืองศรีสะเกษ', 'ศรีสะเกษ')","('ยางชุมน้อย', 'ศรีสะเกษ')",1
"('เมืองศรีสะเกษ', 'ศรีสะเกษ')","('กันทรารมย์', 'ศรีสะเกษ')",1
"('เมืองศรีสะเกษ', 'ศรีสะเกษ')","('ราษีไศล', 'ศรีสะเกษ')",1
"('เมืองศรีสะเกษ', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",1
"('น้ำเกลี้ยง', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",1
"('น้ำเกลี้ยง', 'ศรีสะเกษ')","('เบญจลักษ์', 'ศรีสะเกษ')",1
"('น้ำเกลี้ยง', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",1
"('น้ำเกลี้ยง', 'ศรีสะเกษ')","('กันทรารมย์', 'ศรีสะเกษ')",1
"('น้ำเกลี้ยง', 'ศรีสะเกษ')","('กันทรลักษ์', 'ศรีสะเกษ')",1
"('น้ำเกลี้ยง', 'ศรีสะเกษ')","('ไพรบึง', 'ศรีสะเกษ')",1
"('น้ำเกลี้ยง', 'ศรีสะเกษ')","('โนนคูณ', 'ศรีสะเกษ')",1
"('น้ำเกลี้ยง', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",1
"('วังหิน', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",1
"('วังหิน', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",1
"('วังหิน', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",1
"('วังหิน', 'ศรีสะเกษ')","('ไพรบึง', 'ศรีสะเกษ')",1
"('วังหิน', 'ศรีสะเกษ')","('ปรางค์กู่', 'ศรีสะเกษ')",1
"('วังหิน', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",1
"('วังหิน', 'ศรีสะเกษ')","('ห้วยทับทัน', 'ศรีสะเกษ')",1
"('ภูสิงห์', 'ศรีสะเกษ')","('บัวเชด', 'สุรินทร์')",1
"('ภูสิงห์', 'ศรีสะเกษ')","('สังขะ', 'สุรินทร์')",1
"('ภูสิงห์', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",1
"('ภูสิงห์', 'ศรีสะเกษ')","('ขุนหาญ', 'ศรีสะเกษ')",1
"('เมืองจันทร์', 'ศรีสะเกษ')","('สำโรงทาบ', 'สุรินทร์')",1
"('เมืองจันทร์', 'ศรีสะเกษ')","('โนนนารายณ์', 'สุรินทร์')",1
"('เมืองจันทร์', 'ศรีสะเกษ')","('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')",1
"('เมืองจันทร์', 'ศรีสะเกษ')","('รัตนบุรี', 'สุรินทร์')",1
"('เมืองจันทร์', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",1
"('เมืองจันทร์', 'ศรีสะเกษ')","('บึงบูรพ์', 'ศรีสะเกษ')",1
"('เมืองจันทร์', 'ศรีสะเกษ')","('ห้วยทับทัน', 'ศรีสะเกษ')",1
"('เบญจลักษ์', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",1
"('เบญจลักษ์', 'ศรีสะเกษ')","('เดชอุดม', 'อุบลราชธานี')",1
"('เบญจลักษ์', 'ศรีสะเกษ')","('สำโรง', 'อุบลราชธานี')",1
"('เบญจลักษ์', 'ศรีสะเกษ')","('ทุ่งศรีอุดม', 'อุบลราชธานี')",1
"('เบญจลักษ์', 'ศรีสะเกษ')","('กันทรลักษ์', 'ศรีสะเกษ')",1
"('เบญจลักษ์', 'ศรีสะเกษ')","('โนนคูณ', 'ศรีสะเกษ')",1
"('เบญจลักษ์', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",1
"('พยุห์', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",1
"('พยุห์', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",1
"('พยุห์', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",1
"('พยุห์', 'ศรีสะเกษ')","('กันทรารมย์', 'ศรีสะเกษ')",1
"('พยุห์', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",1
"('พยุห์', 'ศรีสะเกษ')","('ไพรบึง', 'ศรีสะเกษ')",1
"('พยุห์', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",1
"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('โนนนารายณ์', 'สุรินทร์')",1
"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('เมืองจันทร์', 'ศรีสะเกษ')",1
"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('รัตนบุรี', 'สุรินทร์')",1
"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('ราษีไศล', 'ศรีสะเกษ')",1
"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",1
"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('บึงบูรพ์', 'ศรีสะเกษ')",1
"('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')","('ห้วยทับทัน', 'ศรีสะเกษ')",1
"('ศิลาลาด', 'ศรีสะเกษ')","('พนมไพร', 'ร้อยเอ็ด')",1
"('ศิลาลาด', 'ศรีสะเกษ')","('รัตนบุรี', 'สุรินทร์')",1
"('ศิลาลาด', 'ศรีสะเกษ')","('ราษีไศล', 'ศรีสะเกษ')",1
"('ศิลาลาด', 'ศรีสะเกษ')","('มหาชนะชัย', 'ยโสธร')",1
"('ศิลาลาด', 'ศรีสะเกษ')","('โพนทราย', 'ร้อยเอ็ด')",1
"('ศิลาลาด', 'ศรีสะเกษ')","('หนองฮี', 'ร้อยเอ็ด')",1
"('ยางชุมน้อย', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",1
"('ยางชุมน้อย', 'ศรีสะเกษ')","('เขื่องใน', 'อุบลราชธานี')",1
"('ยางชุมน้อย', 'ศรีสะเกษ')","('กันทรารมย์', 'ศรีสะเกษ')",1
"('ยางชุมน้อย', 'ศรีสะเกษ')","('ราษีไศล', 'ศรีสะเกษ')",1
"('ยางชุมน้อย', 'ศรีสะเกษ')","('ค้อวัง', 'ยโสธร')",1
"('กันทรารมย์', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",1
"('กันทรารมย์', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",1
"('กันทรารมย์', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",1
"('กันทรารมย์', 'ศรีสะเกษ')","('เมืองอุบลราชธานี', 'อุบลราชธานี')",1
"('กันทรารมย์', 'ศรีสะเกษ')","('เขื่องใน', 'อุบลราชธานี')",1
"('กันทรารมย์', 'ศรีสะเกษ')","('วารินชำราบ', 'อุบลราชธานี')",1
"('กันทรารมย์', 'ศรีสะเกษ')","('สำโรง', 'อุบลราชธานี')",1
"('กันทรารมย์', 'ศรีสะเกษ')","('ยางชุมน้อย', 'ศรีสะเกษ')",1
"('กันทรารมย์', 'ศรีสะเกษ')","('โนนคูณ', 'ศรีสะเกษ')",1
"('กันทรลักษ์', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",1
"('กันทรลักษ์', 'ศรีสะเกษ')","('เบญจลักษ์', 'ศรีสะเกษ')",1
"('กันทรลักษ์', 'ศรีสะเกษ')","('เดชอุดม', 'อุบลราชธานี')",1
"('กันทรลักษ์', 'ศรีสะเกษ')","('น้ำยืน', 'อุบลราชธานี')",1
"('กันทรลักษ์', 'ศรีสะเกษ')","('ทุ่งศรีอุดม', 'อุบลราชธานี')",1
"('กันทรลักษ์', 'ศรีสะเกษ')","('น้ำขุ่น', 'อุบลราชธานี')",1
"('กันทรลักษ์', 'ศรีสะเกษ')","('ขุนหาญ', 'ศรีสะเกษ')",1
"('กันทรลักษ์', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",1
"('ขุขันธ์', 'ศรีสะเกษ')","('บัวเชด', 'สุรินทร์')",1
"('ขุขันธ์', 'ศรีสะเกษ')","('ศรีณรงค์', 'สุรินทร์')",1
"('ขุขันธ์', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",1
"('ขุขันธ์', 'ศรีสะเกษ')","('ภูสิงห์', 'ศรีสะเกษ')",1
"('ขุขันธ์', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",1
"('ขุขันธ์', 'ศรีสะเกษ')","('สังขะ', 'สุรินทร์')",1
"('ขุขันธ์', 'ศรีสะเกษ')","('ไพรบึง', 'ศรีสะเกษ')",1
"('ขุขันธ์', 'ศรีสะเกษ')","('ปรางค์กู่', 'ศรีสะเกษ')",1
"('ขุขันธ์', 'ศรีสะเกษ')","('ขุนหาญ', 'ศรีสะเกษ')",1
"('ไพรบึง', 'ศรีสะเกษ')","('น้ำเกลี้ยง', 'ศรีสะเกษ')",1
"('ไพรบึง', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",1
"('ไพรบึง', 'ศรีสะเกษ')","('พยุห์', 'ศรีสะเกษ')",1
"('ไพรบึง', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",1
"('ไพรบึง', 'ศรีสะเกษ')","('ขุนหาญ', 'ศรีสะเกษ')",1
"('ไพรบึง', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",1
"('ปรางค์กู่', 'ศรีสะเกษ')","('สำโรงทาบ', 'สุรินทร์')",1
"('ปรางค์กู่', 'ศรีสะเกษ')","('ศรีณรงค์', 'สุรินทร์')",1
"('ปรางค์กู่', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",1
"('ปรางค์กู่', 'ศรีสะเกษ')","('ศีขรภูมิ', 'สุรินทร์')",1
"('ปรางค์กู่', 'ศรีสะเกษ')","('สังขะ', 'สุรินทร์')",1
"('ปรางค์กู่', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",1
"('ปรางค์กู่', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",1
"('ปรางค์กู่', 'ศรีสะเกษ')","('ห้วยทับทัน', 'ศรีสะเกษ')",1
"('ขุนหาญ', 'ศรีสะเกษ')","('ภูสิงห์', 'ศรีสะเกษ')",1
"('ขุนหาญ', 'ศรีสะเกษ')","('กันทรลักษ์', 'ศรีสะเกษ')",1
"('ขุนหาญ', 'ศรีสะเกษ')","('ขุขันธ์', 'ศรีสะเกษ')",1
"('ขุนหาญ', 'ศรีสะเกษ')","('ไพรบึง', 'ศรีสะเกษ')",1
"('ขุนหาญ', 'ศรีสะเกษ')","('ศรีรัตนะ', 'ศรีสะเกษ')",1
"('ราษีไศล', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",1
"('ราษีไศล', 'ศรีสะเกษ')","('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')",1
"('ราษีไศล', 'ศรีสะเกษ')","('ศิลาลาด', 'ศรีสะเกษ')",1
"('ราษีไศล', 'ศรีสะเกษ')","('รัตนบุรี', 'สุรินทร์')",1
"('ราษีไศล', 'ศรีสะเกษ')","('ยางชุมน้อย', 'ศรีสะเกษ')",1
"('ราษีไศล', 'ศรีสะเกษ')","('อุทุมพรพิสัย', 'ศรีสะเกษ')",1
"('ราษีไศล', 'ศรีสะเกษ')","('บึงบูรพ์', 'ศรีสะเกษ')",1
"('ราษีไศล', 'ศรีสะเกษ')","('มหาชนะชัย', 'ยโสธร')",1
"('ราษีไศล', 'ศรีสะเกษ')","('ค้อวัง', 'ยโสธร')",1
"('ราษีไศล', 'ศรีสะเกษ')","('โพนทราย', 'ร้อยเอ็ด')",1
"('อุทุมพรพิสัย', 'ศรีสะเกษ')","('เมืองศรีสะเกษ', 'ศรีสะเกษ')",1
"('อุทุมพรพิสัย', 'ศรีสะเกษ')","('วังหิน', 'ศรีสะเกษ')",1
