Amper1,Amper2,Adjacent
"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('พระโขนง', 'กรุงเทพมหานคร')",1
"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('ยานนาวา', 'กรุงเทพมหานคร')",1
"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('ประเวศ', 'กรุงเทพมหานคร')",1
"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('บางนา', 'กรุงเทพมหานคร')",1
"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('บางบ่อ', 'สมุทรปราการ')",1
"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('บางพลี', 'สมุทรปราการ')",1
"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('พระประแดง', 'สมุทรปราการ')",1
"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('พระสมุทรเจดีย์', 'สมุทรปราการ')",1
"('เมืองสมุทรปราการ', 'สมุทรปราการ')","('บางเสาธง', 'สมุทรปราการ')",1
"('บางบ่อ', 'สมุทรปราการ')","('ลาดกระบัง', 'กรุงเทพมหานคร')",1
"('บางบ่อ', 'สมุทรปราการ')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",1
"('บางบ่อ', 'สมุทรปราการ')","('บางพลี', 'สมุทรปราการ')",1
"('บางบ่อ', 'สมุทรปราการ')","('บางเสาธง', 'สมุทรปราการ')",1
"('บางบ่อ', 'สมุทรปราการ')","('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",1
"('บางบ่อ', 'สมุทรปราการ')","('บางปะกง', 'ฉะเชิงเทรา')",1
"('บางบ่อ', 'สมุทรปราการ')","('บ้านโพธิ์', 'ฉะเชิงเทรา')",1
"('บางพลี', 'สมุทรปราการ')","('พระโขนง', 'กรุงเทพมหานคร')",1
"('บางพลี', 'สมุทรปราการ')","('บางกะปิ', 'กรุงเทพมหานคร')",1
"('บางพลี', 'สมุทรปราการ')","('ลาดกระบัง', 'กรุงเทพมหานคร')",1
"('บางพลี', 'สมุทรปราการ')","('ประเวศ', 'กรุงเทพมหานคร')",1
"('บางพลี', 'สมุทรปราการ')","('สวนหลวง', 'กรุงเทพมหานคร')",1
"('บางพลี', 'สมุทรปราการ')","('สะพานสูง', 'กรุงเทพมหานคร')",1
"('บางพลี', 'สมุทรปราการ')","('บางนา', 'กรุงเทพมหานคร')",1
"('บางพลี', 'สมุทรปราการ')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",1
"('บางพลี', 'สมุทรปราการ')","('บางบ่อ', 'สมุทรปราการ')",1
"('บางพลี', 'สมุทรปราการ')","('บางเสาธง', 'สมุทรปราการ')",1
"('พระประแดง', 'สมุทรปราการ')","('บางรัก', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('คลองเตย', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('พระโขนง', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('ยานนาวา', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('ธนบุรี', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('คลองสาน', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('ราษฎร์บูรณะ', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('สาทร', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('สวนหลวง', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('วัฒนา', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('บางนา', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('ทุ่งครุ', 'กรุงเทพมหานคร')",1
"('พระประแดง', 'สมุทรปราการ')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",1
"('พระประแดง', 'สมุทรปราการ')","('พระสมุทรเจดีย์', 'สมุทรปราการ')",1
"('พระสมุทรเจดีย์', 'สมุทรปราการ')","('บางขุนเทียน', 'กรุงเทพมหานคร')",1
"('พระสมุทรเจดีย์', 'สมุทรปราการ')","('ทุ่งครุ', 'กรุงเทพมหานคร')",1
"('พระสมุทรเจดีย์', 'สมุทรปราการ')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",1
"('พระสมุทรเจดีย์', 'สมุทรปราการ')","('พระประแดง', 'สมุทรปราการ')",1
"('บางเสาธง', 'สมุทรปราการ')","('ลาดกระบัง', 'กรุงเทพมหานคร')",1
"('บางเสาธง', 'สมุทรปราการ')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",1
"('บางเสาธง', 'สมุทรปราการ')","('บางบ่อ', 'สมุทรปราการ')",1
"('บางเสาธง', 'สมุทรปราการ')","('บางพลี', 'สมุทรปราการ')",1
"('บางเสาธง', 'สมุทรปราการ')","('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",1
