Amper1,Amper2,Adjacent
"('เมืองนครพนม', 'นครพนม')","('กุสุมาลย์', 'สกลนคร')",1
"('เมืองนครพนม', 'นครพนม')","('โพนนาแก้ว', 'สกลนคร')",1
"('เมืองนครพนม', 'นครพนม')","('ปลาปาก', 'นครพนม')",1
"('เมืองนครพนม', 'นครพนม')","('ท่าอุเทน', 'นครพนม')",1
"('เมืองนครพนม', 'นครพนม')","('ธาตุพนม', 'นครพนม')",1
"('เมืองนครพนม', 'นครพนม')","('เรณูนคร', 'นครพนม')",1
"('เมืองนครพนม', 'นครพนม')","('โพนสวรรค์', 'นครพนม')",1
"('ปลาปาก', 'นครพนม')","('กุสุมาลย์', 'สกลนคร')",1
"('ปลาปาก', 'นครพนม')","('โคกศรีสุพรรณ', 'สกลนคร')",1
"('ปลาปาก', 'นครพนม')","('โพนนาแก้ว', 'สกลนคร')",1
"('ปลาปาก', 'นครพนม')","('เมืองนครพนม', 'นครพนม')",1
"('ปลาปาก', 'นครพนม')","('ธาตุพนม', 'นครพนม')",1
"('ปลาปาก', 'นครพนม')","('เรณูนคร', 'นครพนม')",1
"('ปลาปาก', 'นครพนม')","('นาแก', 'นครพนม')",1
"('ปลาปาก', 'นครพนม')","('วังยาง', 'นครพนม')",1
"('ท่าอุเทน', 'นครพนม')","('เมืองนครพนม', 'นครพนม')",1
"('ท่าอุเทน', 'นครพนม')","('บ้านแพง', 'นครพนม')",1
"('ท่าอุเทน', 'นครพนม')","('ศรีสงคราม', 'นครพนม')",1
"('ท่าอุเทน', 'นครพนม')","('โพนสวรรค์', 'นครพนม')",1
"('บ้านแพง', 'นครพนม')","('บึงโขงหลง', 'บึงกาฬ')",1
"('บ้านแพง', 'นครพนม')","('ท่าอุเทน', 'นครพนม')",1
"('บ้านแพง', 'นครพนม')","('ศรีสงคราม', 'นครพนม')",1
"('บ้านแพง', 'นครพนม')","('นาทม', 'นครพนม')",1
"('ธาตุพนม', 'นครพนม')","('เมืองนครพนม', 'นครพนม')",1
"('ธาตุพนม', 'นครพนม')","('ปลาปาก', 'นครพนม')",1
"('ธาตุพนม', 'นครพนม')","('เรณูนคร', 'นครพนม')",1
"('ธาตุพนม', 'นครพนม')","('นาแก', 'นครพนม')",1
"('ธาตุพนม', 'นครพนม')","('เมืองมุกดาหาร', 'มุกดาหาร')",1
"('ธาตุพนม', 'นครพนม')","('ดงหลวง', 'มุกดาหาร')",1
"('ธาตุพนม', 'นครพนม')","('ว่านใหญ่', 'มุกดาหาร')",1
"('เรณูนคร', 'นครพนม')","('เมืองนครพนม', 'นครพนม')",1
"('เรณูนคร', 'นครพนม')","('ปลาปาก', 'นครพนม')",1
"('เรณูนคร', 'นครพนม')","('ธาตุพนม', 'นครพนม')",1
"('เรณูนคร', 'นครพนม')","('นาแก', 'นครพนม')",1
"('นาแก', 'นครพนม')","('เต่างอย', 'สกลนคร')",1
"('นาแก', 'นครพนม')","('โคกศรีสุพรรณ', 'สกลนคร')",1
"('นาแก', 'นครพนม')","('ปลาปาก', 'นครพนม')",1
"('นาแก', 'นครพนม')","('ธาตุพนม', 'นครพนม')",1
"('นาแก', 'นครพนม')","('เรณูนคร', 'นครพนม')",1
"('นาแก', 'นครพนม')","('วังยาง', 'นครพนม')",1
"('นาแก', 'นครพนม')","('ดงหลวง', 'มุกดาหาร')",1
"('ศรีสงคราม', 'นครพนม')","('อากาศอำนวย', 'สกลนคร')",1
"('ศรีสงคราม', 'นครพนม')","('ท่าอุเทน', 'นครพนม')",1
"('ศรีสงคราม', 'นครพนม')","('บ้านแพง', 'นครพนม')",1
"('ศรีสงคราม', 'นครพนม')","('นาหว้า', 'นครพนม')",1
"('ศรีสงคราม', 'นครพนม')","('โพนสวรรค์', 'นครพนม')",1
"('ศรีสงคราม', 'นครพนม')","('นาทม', 'นครพนม')",1
"('นาหว้า', 'นครพนม')","('เมืองสกลนคร', 'สกลนคร')",1
"('นาหว้า', 'นครพนม')","('กุสุมาลย์', 'สกลนคร')",1
"('นาหว้า', 'นครพนม')","('พรรณานิคม', 'สกลนคร')",1
"('นาหว้า', 'นครพนม')","('อากาศอำนวย', 'สกลนคร')",1
"('นาหว้า', 'นครพนม')","('ศรีสงคราม', 'นครพนม')",1
"('นาหว้า', 'นครพนม')","('โพนสวรรค์', 'นครพนม')",1
"('โพนสวรรค์', 'นครพนม')","('กุสุมาลย์', 'สกลนคร')",1
"('โพนสวรรค์', 'นครพนม')","('เมืองนครพนม', 'นครพนม')",1
"('โพนสวรรค์', 'นครพนม')","('ท่าอุเทน', 'นครพนม')",1
"('โพนสวรรค์', 'นครพนม')","('ศรีสงคราม', 'นครพนม')",1
"('โพนสวรรค์', 'นครพนม')","('นาหว้า', 'นครพนม')",1
"('นาทม', 'นครพนม')","('เซกา', 'บึงกาฬ')",1
"('นาทม', 'นครพนม')","('บึงโขงหลง', 'บึงกาฬ')",1
"('นาทม', 'นครพนม')","('อากาศอำนวย', 'สกลนคร')",1
"('นาทม', 'นครพนม')","('บ้านแพง', 'นครพนม')",1
"('นาทม', 'นครพนม')","('ศรีสงคราม', 'นครพนม')",1
"('วังยาง', 'นครพนม')","('โคกศรีสุพรรณ', 'สกลนคร')",1
"('วังยาง', 'นครพนม')","('โพนนาแก้ว', 'สกลนคร')",1
"('วังยาง', 'นครพนม')","('ปลาปาก', 'นครพนม')",1
"('วังยาง', 'นครพนม')","('นาแก', 'นครพนม')",1
