Amper1,Amper2,Adjacent
"('เมืองอุทัยธานี', 'อุทัยธานี')","('เมืองชัยนาท', 'ชัยนาท')",1
"('เมืองอุทัยธานี', 'อุทัยธานี')","('มโนรมย์', 'ชัยนาท')",1
"('เมืองอุทัยธานี', 'อุทัยธานี')","('วัดสิงห์', 'ชัยนาท')",1
"('เมืองอุทัยธานี', 'อุทัยธานี')","('โกรกพระ', 'นครสวรรค์')",1
"('เมืองอุทัยธานี', 'อุทัยธานี')","('พยุหะคีรี', 'นครสวรรค์')",1
"('เมืองอุทัยธานี', 'อุทัยธานี')","('ทัพทัน', 'อุทัยธานี')",1
"('เมืองอุทัยธานี', 'อุทัยธานี')","('หนองขาหย่าง', 'อุทัยธานี')",1
"('ทัพทัน', 'อุทัยธานี')","('โกรกพระ', 'นครสวรรค์')",1
"('ทัพทัน', 'อุทัยธานี')","('ลาดยาว', 'นครสวรรค์')",1
"('ทัพทัน', 'อุทัยธานี')","('เมืองอุทัยธานี', 'อุทัยธานี')",1
"('ทัพทัน', 'อุทัยธานี')","('สว่างอารมณ์', 'อุทัยธานี')",1
"('ทัพทัน', 'อุทัยธานี')","('หนองฉาง', 'อุทัยธานี')",1
"('ทัพทัน', 'อุทัยธานี')","('หนองขาหย่าง', 'อุทัยธานี')",1
"('ทัพทัน', 'อุทัยธานี')","('ลานสัก', 'อุทัยธานี')",1
"('สว่างอารมณ์', 'อุทัยธานี')","('เมืองนครสวรรค์', 'นครสวรรค์')",1
"('สว่างอารมณ์', 'อุทัยธานี')","('โกรกพระ', 'นครสวรรค์')",1
"('สว่างอารมณ์', 'อุทัยธานี')","('ลาดยาว', 'นครสวรรค์')",1
"('สว่างอารมณ์', 'อุทัยธานี')","('ชุมตาบง', 'นครสวรรค์')",1
"('สว่างอารมณ์', 'อุทัยธานี')","('ทัพทัน', 'อุทัยธานี')",1
"('สว่างอารมณ์', 'อุทัยธานี')","('ลานสัก', 'อุทัยธานี')",1
"('หนองฉาง', 'อุทัยธานี')","('หนองมะโมง', 'ชัยนาท')",1
"('หนองฉาง', 'อุทัยธานี')","('ทัพทัน', 'อุทัยธานี')",1
"('หนองฉาง', 'อุทัยธานี')","('หนองขาหย่าง', 'อุทัยธานี')",1
"('หนองฉาง', 'อุทัยธานี')","('บ้านไร่', 'อุทัยธานี')",1
"('หนองฉาง', 'อุทัยธานี')","('ลานสัก', 'อุทัยธานี')",1
"('หนองฉาง', 'อุทัยธานี')","('ห้วยคต', 'อุทัยธานี')",1
"('หนองขาหย่าง', 'อุทัยธานี')","('หนองมะโมง', 'ชัยนาท')",1
"('หนองขาหย่าง', 'อุทัยธานี')","('เมืองชัยนาท', 'ชัยนาท')",1
"('หนองขาหย่าง', 'อุทัยธานี')","('มโนรมย์', 'ชัยนาท')",1
"('หนองขาหย่าง', 'อุทัยธานี')","('วัดสิงห์', 'ชัยนาท')",1
"('หนองขาหย่าง', 'อุทัยธานี')","('เมืองอุทัยธานี', 'อุทัยธานี')",1
"('หนองขาหย่าง', 'อุทัยธานี')","('ทัพทัน', 'อุทัยธานี')",1
"('หนองขาหย่าง', 'อุทัยธานี')","('หนองฉาง', 'อุทัยธานี')",1
"('บ้านไร่', 'อุทัยธานี')","('หันคา', 'ชัยนาท')",1
"('บ้านไร่', 'อุทัยธานี')","('หนองมะโมง', 'ชัยนาท')",1
"('บ้านไร่', 'อุทัยธานี')","('เนินขาม', 'ชัยนาท')",1
"('บ้านไร่', 'อุทัยธานี')","('วัดสิงห์', 'ชัยนาท')",1
"('บ้านไร่', 'อุทัยธานี')","('แม่วงก์', 'นครสวรรค์')",1
"('บ้านไร่', 'อุทัยธานี')","('แม่เปิน', 'นครสวรรค์')",1
"('บ้านไร่', 'อุทัยธานี')","('หนองฉาง', 'อุทัยธานี')",1
"('บ้านไร่', 'อุทัยธานี')","('ลานสัก', 'อุทัยธานี')",1
"('บ้านไร่', 'อุทัยธานี')","('ห้วยคต', 'อุทัยธานี')",1
"('บ้านไร่', 'อุทัยธานี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('บ้านไร่', 'อุทัยธานี')","('ด่านช้าง', 'สุพรรณบุรี')",1
"('บ้านไร่', 'อุทัยธานี')","('อุ้มผาง', 'ตาก')",1
"('บ้านไร่', 'อุทัยธานี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",1
"('บ้านไร่', 'อุทัยธานี')","('ทองผาภูมิ', 'กาญจนบุรี')",1
"('ลานสัก', 'อุทัยธานี')","('แม่วงก์', 'นครสวรรค์')",1
"('ลานสัก', 'อุทัยธานี')","('แม่เปิน', 'นครสวรรค์')",1
"('ลานสัก', 'อุทัยธานี')","('ชุมตาบง', 'นครสวรรค์')",1
"('ลานสัก', 'อุทัยธานี')","('ทัพทัน', 'อุทัยธานี')",1
"('ลานสัก', 'อุทัยธานี')","('สว่างอารมณ์', 'อุทัยธานี')",1
"('ลานสัก', 'อุทัยธานี')","('หนองฉาง', 'อุทัยธานี')",1
"('ลานสัก', 'อุทัยธานี')","('บ้านไร่', 'อุทัยธานี')",1
"('ลานสัก', 'อุทัยธานี')","('ห้วยคต', 'อุทัยธานี')",1
"('ห้วยคต', 'อุทัยธานี')","('หนองฉาง', 'อุทัยธานี')",1
"('ห้วยคต', 'อุทัยธานี')","('บ้านไร่', 'อุทัยธานี')",1
"('ห้วยคต', 'อุทัยธานี')","('ลานสัก', 'อุทัยธานี')",1
