Amper1,Amper2,Adjacent
"('หนองเสือ', 'ปทุมธานี')","('บ้านนา', 'นครนายก')",1
"('หนองเสือ', 'ปทุมธานี')","('องครักษ์', 'นครนายก')",1
"('หนองเสือ', 'ปทุมธานี')","('วังน้อย', 'พระนครศรีอยุธยา')",1
"('หนองเสือ', 'ปทุมธานี')","('หนองแค', 'สระบุรี')",1
"('หนองเสือ', 'ปทุมธานี')","('คลองหลวง', 'ปทุมธานี')",1
"('หนองเสือ', 'ปทุมธานี')","('ธัญบุรี', 'ปทุมธานี')",1
"('หนองเสือ', 'ปทุมธานี')","('ลำลูกกา', 'ปทุมธานี')",1
"('หนองเสือ', 'ปทุมธานี')","('วิหารแดง', 'สระบุรี')",1
"('เมืองปทุมธานี', 'ปทุมธานี')","('ดอนเมือง', 'กรุงเทพมหานคร')",1
"('เมืองปทุมธานี', 'ปทุมธานี')","('สายไหม', 'กรุงเทพมหานคร')",1
"('เมืองปทุมธานี', 'ปทุมธานี')","('บางบัวทอง', 'นนทบุรี')",1
"('เมืองปทุมธานี', 'ปทุมธานี')","('ปากเกร็ด', 'นนทบุรี')",1
"('เมืองปทุมธานี', 'ปทุมธานี')","('คลองหลวง', 'ปทุมธานี')",1
"('เมืองปทุมธานี', 'ปทุมธานี')","('ธัญบุรี', 'ปทุมธานี')",1
"('เมืองปทุมธานี', 'ปทุมธานี')","('ลาดหลุมแก้ว', 'ปทุมธานี')",1
"('เมืองปทุมธานี', 'ปทุมธานี')","('ลำลูกกา', 'ปทุมธานี')",1
"('เมืองปทุมธานี', 'ปทุมธานี')","('สามโคก', 'ปทุมธานี')",1
"('คลองหลวง', 'ปทุมธานี')","('หนองเสือ', 'ปทุมธานี')",1
"('คลองหลวง', 'ปทุมธานี')","('วังน้อย', 'พระนครศรีอยุธยา')",1
"('คลองหลวง', 'ปทุมธานี')","('เมืองปทุมธานี', 'ปทุมธานี')",1
"('คลองหลวง', 'ปทุมธานี')","('ธัญบุรี', 'ปทุมธานี')",1
"('คลองหลวง', 'ปทุมธานี')","('ลำลูกกา', 'ปทุมธานี')",1
"('คลองหลวง', 'ปทุมธานี')","('สามโคก', 'ปทุมธานี')",1
"('คลองหลวง', 'ปทุมธานี')","('บางไทร', 'พระนครศรีอยุธยา')",1
"('คลองหลวง', 'ปทุมธานี')","('บางปะอิน', 'พระนครศรีอยุธยา')",1
"('ธัญบุรี', 'ปทุมธานี')","('องครักษ์', 'นครนายก')",1
"('ธัญบุรี', 'ปทุมธานี')","('ดอนเมือง', 'กรุงเทพมหานคร')",1
"('ธัญบุรี', 'ปทุมธานี')","('หนองเสือ', 'ปทุมธานี')",1
"('ธัญบุรี', 'ปทุมธานี')","('เมืองปทุมธานี', 'ปทุมธานี')",1
"('ธัญบุรี', 'ปทุมธานี')","('คลองหลวง', 'ปทุมธานี')",1
"('ธัญบุรี', 'ปทุมธานี')","('ลำลูกกา', 'ปทุมธานี')",1
"('ธัญบุรี', 'ปทุมธานี')","('สามโคก', 'ปทุมธานี')",1
"('ลาดหลุมแก้ว', 'ปทุมธานี')","('ลาดบัวหลวง', 'พระนครศรีอยุธยา')",1
"('ลาดหลุมแก้ว', 'ปทุมธานี')","('บางบัวทอง', 'นนทบุรี')",1
"('ลาดหลุมแก้ว', 'ปทุมธานี')","('ไทรน้อย', 'นนทบุรี')",1
"('ลาดหลุมแก้ว', 'ปทุมธานี')","('ปากเกร็ด', 'นนทบุรี')",1
"('ลาดหลุมแก้ว', 'ปทุมธานี')","('เมืองปทุมธานี', 'ปทุมธานี')",1
"('ลาดหลุมแก้ว', 'ปทุมธานี')","('สามโคก', 'ปทุมธานี')",1
"('ลาดหลุมแก้ว', 'ปทุมธานี')","('บางไทร', 'พระนครศรีอยุธยา')",1
"('ลำลูกกา', 'ปทุมธานี')","('องครักษ์', 'นครนายก')",1
"('ลำลูกกา', 'ปทุมธานี')","('หนองจอก', 'กรุงเทพมหานคร')",1
"('ลำลูกกา', 'ปทุมธานี')","('บางเขน', 'กรุงเทพมหานคร')",1
"('ลำลูกกา', 'ปทุมธานี')","('ดอนเมือง', 'กรุงเทพมหานคร')",1
"('ลำลูกกา', 'ปทุมธานี')","('สายไหม', 'กรุงเทพมหานคร')",1
"('ลำลูกกา', 'ปทุมธานี')","('คลองสามวา', 'กรุงเทพมหานคร')",1
"('ลำลูกกา', 'ปทุมธานี')","('หนองเสือ', 'ปทุมธานี')",1
"('ลำลูกกา', 'ปทุมธานี')","('เมืองปทุมธานี', 'ปทุมธานี')",1
"('ลำลูกกา', 'ปทุมธานี')","('คลองหลวง', 'ปทุมธานี')",1
"('ลำลูกกา', 'ปทุมธานี')","('ธัญบุรี', 'ปทุมธานี')",1
"('ลำลูกกา', 'ปทุมธานี')","('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')",1
"('สามโคก', 'ปทุมธานี')","('ลาดบัวหลวง', 'พระนครศรีอยุธยา')",1
"('สามโคก', 'ปทุมธานี')","('เมืองปทุมธานี', 'ปทุมธานี')",1
"('สามโคก', 'ปทุมธานี')","('คลองหลวง', 'ปทุมธานี')",1
"('สามโคก', 'ปทุมธานี')","('ธัญบุรี', 'ปทุมธานี')",1
"('สามโคก', 'ปทุมธานี')","('ลาดหลุมแก้ว', 'ปทุมธานี')",1
"('สามโคก', 'ปทุมธานี')","('บางไทร', 'พระนครศรีอยุธยา')",1
"('สามโคก', 'ปทุมธานี')","('บางปะอิน', 'พระนครศรีอยุธยา')",1
