Amper1,Amper2,Adjacent
"('ศรีนคร', 'สุโขทัย')","('ศรีสัชนาลัย', 'สุโขทัย')",1
"('ศรีนคร', 'สุโขทัย')","('สวรรคโลก', 'สุโขทัย')",1
"('ศรีนคร', 'สุโขทัย')","('ตรอน', 'อุตรดิตถ์')",1
"('ศรีนคร', 'สุโขทัย')","('พิชัย', 'อุตรดิตถ์')",1
"('ศรีนคร', 'สุโขทัย')","('ลับแล', 'อุตรดิตถ์')",1
"('ทุ่งเสลี่ยม', 'สุโขทัย')","('บ้านด่านลานหอย', 'สุโขทัย')",1
"('ทุ่งเสลี่ยม', 'สุโขทัย')","('ศรีสัชนาลัย', 'สุโขทัย')",1
"('ทุ่งเสลี่ยม', 'สุโขทัย')","('ศรีสำโรง', 'สุโขทัย')",1
"('ทุ่งเสลี่ยม', 'สุโขทัย')","('สวรรคโลก', 'สุโขทัย')",1
"('ทุ่งเสลี่ยม', 'สุโขทัย')","('เถิน', 'ลำปาง')",1
"('เมืองสุโขทัย', 'สุโขทัย')","('พรหมพิราม', 'พิษณุโลก')",1
"('เมืองสุโขทัย', 'สุโขทัย')","('บ้านด่านลานหอย', 'สุโขทัย')",1
"('เมืองสุโขทัย', 'สุโขทัย')","('คีรีมาศ', 'สุโขทัย')",1
"('เมืองสุโขทัย', 'สุโขทัย')","('กงไกรลาศ', 'สุโขทัย')",1
"('เมืองสุโขทัย', 'สุโขทัย')","('ศรีสำโรง', 'สุโขทัย')",1
"('เมืองสุโขทัย', 'สุโขทัย')","('สวรรคโลก', 'สุโขทัย')",1
"('บ้านด่านลานหอย', 'สุโขทัย')","('พรานกระต่าย', 'กำแพงเพชร')",1
"('บ้านด่านลานหอย', 'สุโขทัย')","('ทุ่งเสลี่ยม', 'สุโขทัย')",1
"('บ้านด่านลานหอย', 'สุโขทัย')","('เมืองสุโขทัย', 'สุโขทัย')",1
"('บ้านด่านลานหอย', 'สุโขทัย')","('คีรีมาศ', 'สุโขทัย')",1
"('บ้านด่านลานหอย', 'สุโขทัย')","('ศรีสำโรง', 'สุโขทัย')",1
"('บ้านด่านลานหอย', 'สุโขทัย')","('เถิน', 'ลำปาง')",1
"('บ้านด่านลานหอย', 'สุโขทัย')","('เมืองตาก', 'ตาก')",1
"('บ้านด่านลานหอย', 'สุโขทัย')","('บ้านตาก', 'ตาก')",1
"('คีรีมาศ', 'สุโขทัย')","('พรานกระต่าย', 'กำแพงเพชร')",1
"('คีรีมาศ', 'สุโขทัย')","('ลานกระบือ', 'กำแพงเพชร')",1
"('คีรีมาศ', 'สุโขทัย')","('บางระกำ', 'พิษณุโลก')",1
