Amper1,Amper2,Adjacent
"('เมืองพิษณุโลก', 'พิษณุโลก')","('บางระกำ', 'พิษณุโลก')",1
"('เมืองพิษณุโลก', 'พิษณุโลก')","('บางกระทุ่ม', 'พิษณุโลก')",1
"('เมืองพิษณุโลก', 'พิษณุโลก')","('พรหมพิราม', 'พิษณุโลก')",1
"('เมืองพิษณุโลก', 'พิษณุโลก')","('วัดโบสถ์', 'พิษณุโลก')",1
"('เมืองพิษณุโลก', 'พิษณุโลก')","('วังทอง', 'พิษณุโลก')",1
"('เมืองพิษณุโลก', 'พิษณุโลก')","('สามง่าม', 'พิจิตร')",1
"('เมืองพิษณุโลก', 'พิษณุโลก')","('กงไกรลาศ', 'สุโขทัย')",1
"('นครไทย', 'พิษณุโลก')","('ชาติตระการ', 'พิษณุโลก')",1
"('นครไทย', 'พิษณุโลก')","('วังทอง', 'พิษณุโลก')",1
"('นครไทย', 'พิษณุโลก')","('หล่มเก่า', 'เพชรบูรณ์')",1
"('นครไทย', 'พิษณุโลก')","('เขาค้อ', 'เพชรบูรณ์')",1
"('นครไทย', 'พิษณุโลก')","('นาแห้ว', 'เลย')",1
"('นครไทย', 'พิษณุโลก')","('ด่านซ้าย', 'เลย')",1
"('ชาติตระการ', 'พิษณุโลก')","('นครไทย', 'พิษณุโลก')",1
"('ชาติตระการ', 'พิษณุโลก')","('วัดโบสถ์', 'พิษณุโลก')",1
"('ชาติตระการ', 'พิษณุโลก')","('วังทอง', 'พิษณุโลก')",1
"('ชาติตระการ', 'พิษณุโลก')","('น้ำปาด', 'อุตรดิตถ์')",1
"('ชาติตระการ', 'พิษณุโลก')","('ทองแสนขัน', 'อุตรดิตถ์')",1
"('ชาติตระการ', 'พิษณุโลก')","('นาแห้ว', 'เลย')",1
"('บางระกำ', 'พิษณุโลก')","('ลานกระบือ', 'กำแพงเพชร')",1
"('บางระกำ', 'พิษณุโลก')","('เมืองพิษณุโลก', 'พิษณุโลก')",1
"('บางระกำ', 'พิษณุโลก')","('บางกระทุ่ม', 'พิษณุโลก')",1
"('บางระกำ', 'พิษณุโลก')","('พรหมพิราม', 'พิษณุโลก')",1
"('บางระกำ', 'พิษณุโลก')","('สามง่าม', 'พิจิตร')",1
"('บางระกำ', 'พิษณุโลก')","('วชิรบารมี', 'พิจิตร')",1
"('บางระกำ', 'พิษณุโลก')","('คีรีมาศ', 'สุโขทัย')",1
"('บางระกำ', 'พิษณุโลก')","('กงไกรลาศ', 'สุโขทัย')",1
"('บางกระทุ่ม', 'พิษณุโลก')","('เมืองพิษณุโลก', 'พิษณุโลก')",1
"('บางกระทุ่ม', 'พิษณุโลก')","('บางระกำ', 'พิษณุโลก')",1
"('บางกระทุ่ม', 'พิษณุโลก')","('วังทอง', 'พิษณุโลก')",1
"('บางกระทุ่ม', 'พิษณุโลก')","('เมืองพิจิตร', 'พิจิตร')",1
"('บางกระทุ่ม', 'พิษณุโลก')","('สามง่าม', 'พิจิตร')",1
"('บางกระทุ่ม', 'พิษณุโลก')","('สากเหล็ก', 'พิจิตร')",1
"('บางกระทุ่ม', 'พิษณุโลก')","('วชิรบารมี', 'พิจิตร')",1
"('พรหมพิราม', 'พิษณุโลก')","('เมืองพิษณุโลก', 'พิษณุโลก')",1
"('พรหมพิราม', 'พิษณุโลก')","('บางระกำ', 'พิษณุโลก')",1
"('พรหมพิราม', 'พิษณุโลก')","('วัดโบสถ์', 'พิษณุโลก')",1
"('พรหมพิราม', 'พิษณุโลก')","('เมืองสุโขทัย', 'สุโขทัย')",1
"('พรหมพิราม', 'พิษณุโลก')","('กงไกรลาศ', 'สุโขทัย')",1
"('พรหมพิราม', 'พิษณุโลก')","('ศรีสำโรง', 'สุโขทัย')",1
"('พรหมพิราม', 'พิษณุโลก')","('สวรรคโลก', 'สุโขทัย')",1
"('พรหมพิราม', 'พิษณุโลก')","('พิชัย', 'อุตรดิตถ์')",1
"('วัดโบสถ์', 'พิษณุโลก')","('เมืองพิษณุโลก', 'พิษณุโลก')",1
"('วัดโบสถ์', 'พิษณุโลก')","('ชาติตระการ', 'พิษณุโลก')",1
"('วัดโบสถ์', 'พิษณุโลก')","('พรหมพิราม', 'พิษณุโลก')",1
"('วัดโบสถ์', 'พิษณุโลก')","('วังทอง', 'พิษณุโลก')",1
"('วัดโบสถ์', 'พิษณุโลก')","('ตรอน', 'อุตรดิตถ์')",1
"('วัดโบสถ์', 'พิษณุโลก')","('พิชัย', 'อุตรดิตถ์')",1
"('วัดโบสถ์', 'พิษณุโลก')","('ทองแสนขัน', 'อุตรดิตถ์')",1
"('วังทอง', 'พิษณุโลก')","('เมืองพิษณุโลก', 'พิษณุโลก')",1
"('วังทอง', 'พิษณุโลก')","('นครไทย', 'พิษณุโลก')",1
"('วังทอง', 'พิษณุโลก')","('ชาติตระการ', 'พิษณุโลก')",1
"('วังทอง', 'พิษณุโลก')","('บางกระทุ่ม', 'พิษณุโลก')",1
"('วังทอง', 'พิษณุโลก')","('วัดโบสถ์', 'พิษณุโลก')",1
"('วังทอง', 'พิษณุโลก')","('เนินมะปราง', 'พิษณุโลก')",1
"('วังทอง', 'พิษณุโลก')","('สากเหล็ก', 'พิจิตร')",1
"('วังทอง', 'พิษณุโลก')","('เขาค้อ', 'เพชรบูรณ์')",1
"('เนินมะปราง', 'พิษณุโลก')","('วังทอง', 'พิษณุโลก')",1
"('เนินมะปราง', 'พิษณุโลก')","('วังทรายพูน', 'พิจิตร')",1
"('เนินมะปราง', 'พิษณุโลก')","('ทับคล้อ', 'พิจิตร')",1
"('เนินมะปราง', 'พิษณุโลก')","('สากเหล็ก', 'พิจิตร')",1
"('เนินมะปราง', 'พิษณุโลก')","('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",1
"('เนินมะปราง', 'พิษณุโลก')","('วังโป่ง', 'เพชรบูรณ์')",1
"('เนินมะปราง', 'พิษณุโลก')","('เขาค้อ', 'เพชรบูรณ์')",1
