Amper1,Amper2,Adjacent
"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')","('เนินมะปราง', 'พิษณุโลก')",1
"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')","('ชนแดน', 'เพชรบูรณ์')",1
"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')","('หล่มสัก', 'เพชรบูรณ์')",1
"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')","('หนองไผ่', 'เพชรบูรณ์')",1
"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')","('วังโป่ง', 'เพชรบูรณ์')",1
"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')","('เขาค้อ', 'เพชรบูรณ์')",1
"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')","('หนองบัวแดง', 'ชัยภูมิ')",1
"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')","('ภักดีชุมพล', 'ชัยภูมิ')",1
"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')","('คอนสาร', 'ชัยภูมิ')",1
"('ชนแดน', 'เพชรบูรณ์')","('หนองบัว', 'นครสวรรค์')",1
"('ชนแดน', 'เพชรบูรณ์')","('ทับคล้อ', 'พิจิตร')",1
"('ชนแดน', 'เพชรบูรณ์')","('ดงเจริญ', 'พิจิตร')",1
"('ชนแดน', 'เพชรบูรณ์')","('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",1
"('ชนแดน', 'เพชรบูรณ์')","('หนองไผ่', 'เพชรบูรณ์')",1
"('ชนแดน', 'เพชรบูรณ์')","('บึงสามพัน', 'เพชรบูรณ์')",1
"('ชนแดน', 'เพชรบูรณ์')","('วังโป่ง', 'เพชรบูรณ์')",1
"('หล่มสัก', 'เพชรบูรณ์')","('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",1
"('หล่มสัก', 'เพชรบูรณ์')","('หล่มเก่า', 'เพชรบูรณ์')",1
"('หล่มสัก', 'เพชรบูรณ์')","('น้ำหนาว', 'เพชรบูรณ์')",1
"('หล่มสัก', 'เพชรบูรณ์')","('เขาค้อ', 'เพชรบูรณ์')",1
"('หล่มสัก', 'เพชรบูรณ์')","('คอนสาร', 'ชัยภูมิ')",1
"('หล่มเก่า', 'เพชรบูรณ์')","('นครไทย', 'พิษณุโลก')",1
"('หล่มเก่า', 'เพชรบูรณ์')","('หล่มสัก', 'เพชรบูรณ์')",1
"('หล่มเก่า', 'เพชรบูรณ์')","('น้ำหนาว', 'เพชรบูรณ์')",1
"('หล่มเก่า', 'เพชรบูรณ์')","('เขาค้อ', 'เพชรบูรณ์')",1
"('หล่มเก่า', 'เพชรบูรณ์')","('วังสะพุง', 'เลย')",1
"('หล่มเก่า', 'เพชรบูรณ์')","('ภูหลวง', 'เลย')",1
"('หล่มเก่า', 'เพชรบูรณ์')","('ด่านซ้าย', 'เลย')",1
"('วิเชียรบุรี', 'เพชรบูรณ์')","('โคกเจริญ', 'ลพบุรี')",1
"('วิเชียรบุรี', 'เพชรบูรณ์')","('ลำสนธิ', 'ลพบุรี')",1
"('วิเชียรบุรี', 'เพชรบูรณ์')","('ไพศาลี', 'นครสวรรค์')",1
"('วิเชียรบุรี', 'เพชรบูรณ์')","('ศรีเทพ', 'เพชรบูรณ์')",1
"('วิเชียรบุรี', 'เพชรบูรณ์')","('หนองไผ่', 'เพชรบูรณ์')",1
"('วิเชียรบุรี', 'เพชรบูรณ์')","('บึงสามพัน', 'เพชรบูรณ์')",1
"('วิเชียรบุรี', 'เพชรบูรณ์')","('เทพสถิต', 'ชัยภูมิ')",1
"('วิเชียรบุรี', 'เพชรบูรณ์')","('ภักดีชุมพล', 'ชัยภูมิ')",1
"('ศรีเทพ', 'เพชรบูรณ์')","('ชัยบาดาล', 'ลพบุรี')",1
"('ศรีเทพ', 'เพชรบูรณ์')","('สระโบสถ์', 'ลพบุรี')",1
"('ศรีเทพ', 'เพชรบูรณ์')","('โคกเจริญ', 'ลพบุรี')",1
"('ศรีเทพ', 'เพชรบูรณ์')","('ลำสนธิ', 'ลพบุรี')",1
"('ศรีเทพ', 'เพชรบูรณ์')","('วิเชียรบุรี', 'เพชรบูรณ์')",1
"('หนองไผ่', 'เพชรบูรณ์')","('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",1
"('หนองไผ่', 'เพชรบูรณ์')","('ชนแดน', 'เพชรบูรณ์')",1
"('หนองไผ่', 'เพชรบูรณ์')","('วิเชียรบุรี', 'เพชรบูรณ์')",1
"('หนองไผ่', 'เพชรบูรณ์')","('บึงสามพัน', 'เพชรบูรณ์')",1
"('หนองไผ่', 'เพชรบูรณ์')","('หนองบัวแดง', 'ชัยภูมิ')",1
"('หนองไผ่', 'เพชรบูรณ์')","('ภักดีชุมพล', 'ชัยภูมิ')",1
"('บึงสามพัน', 'เพชรบูรณ์')","('หนองบัว', 'นครสวรรค์')",1
"('บึงสามพัน', 'เพชรบูรณ์')","('ไพศาลี', 'นครสวรรค์')",1
"('บึงสามพัน', 'เพชรบูรณ์')","('ดงเจริญ', 'พิจิตร')",1
"('บึงสามพัน', 'เพชรบูรณ์')","('ชนแดน', 'เพชรบูรณ์')",1
"('บึงสามพัน', 'เพชรบูรณ์')","('วิเชียรบุรี', 'เพชรบูรณ์')",1
"('บึงสามพัน', 'เพชรบูรณ์')","('หนองไผ่', 'เพชรบูรณ์')",1
"('บึงสามพัน', 'เพชรบูรณ์')","('ภักดีชุมพล', 'ชัยภูมิ')",1
"('น้ำหนาว', 'เพชรบูรณ์')","('หล่มสัก', 'เพชรบูรณ์')",1
"('น้ำหนาว', 'เพชรบูรณ์')","('หล่มเก่า', 'เพชรบูรณ์')",1
"('น้ำหนาว', 'เพชรบูรณ์')","('ภูผาม่าน', 'ขอนแก่น')",1
"('น้ำหนาว', 'เพชรบูรณ์')","('ภูกระดึง', 'เลย')",1
"('น้ำหนาว', 'เพชรบูรณ์')","('ภูหลวง', 'เลย')",1
"('น้ำหนาว', 'เพชรบูรณ์')","('หนองหิน', 'เลย')",1
"('น้ำหนาว', 'เพชรบูรณ์')","('คอนสาร', 'ชัยภูมิ')",1
"('วังโป่ง', 'เพชรบูรณ์')","('เนินมะปราง', 'พิษณุโลก')",1
"('วังโป่ง', 'เพชรบูรณ์')","('วังทรายพูน', 'พิจิตร')",1
"('วังโป่ง', 'เพชรบูรณ์')","('ทับคล้อ', 'พิจิตร')",1
"('วังโป่ง', 'เพชรบูรณ์')","('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",1
"('วังโป่ง', 'เพชรบูรณ์')","('ชนแดน', 'เพชรบูรณ์')",1
"('วังโป่ง', 'เพชรบูรณ์')","('เขาค้อ', 'เพชรบูรณ์')",1
"('เขาค้อ', 'เพชรบูรณ์')","('นครไทย', 'พิษณุโลก')",1
"('เขาค้อ', 'เพชรบูรณ์')","('วังทอง', 'พิษณุโลก')",1
"('เขาค้อ', 'เพชรบูรณ์')","('เนินมะปราง', 'พิษณุโลก')",1
"('เขาค้อ', 'เพชรบูรณ์')","('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",1
