Amper1,Amper2,Adjacent
"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('สวนผึ้ง', 'ราชบุรี')",1
"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('ไทรโยค', 'กาญจนบุรี')",1
"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('บ่อพลอย', 'กาญจนบุรี')",1
"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",1
"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('ท่าม่วง', 'กาญจนบุรี')",1
"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('พนมทวน', 'กาญจนบุรี')",1
"('เมืองกาญจนบุรี', 'กาญจนบุรี')","('ด่านมะขามเตี้ย', 'กาญจนบุรี')",1
"('ไทรโยค', 'กาญจนบุรี')","('เมืองกาญจนบุรี', 'กาญจนบุรี')",1
"('ไทรโยค', 'กาญจนบุรี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",1
"('ไทรโยค', 'กาญจนบุรี')","('ทองผาภูมิ', 'กาญจนบุรี')",1
"('ไทรโยค', 'กาญจนบุรี')","('ด่านมะขามเตี้ย', 'กาญจนบุรี')",1
"('บ่อพลอย', 'กาญจนบุรี')","('เมืองกาญจนบุรี', 'กาญจนบุรี')",1
"('บ่อพลอย', 'กาญจนบุรี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",1
"('บ่อพลอย', 'กาญจนบุรี')","('ท่าม่วง', 'กาญจนบุรี')",1
"('บ่อพลอย', 'กาญจนบุรี')","('พนมทวน', 'กาญจนบุรี')",1
"('บ่อพลอย', 'กาญจนบุรี')","('เลาขวัญ', 'กาญจนบุรี')",1
"('บ่อพลอย', 'กาญจนบุรี')","('หนองปรือ', 'กาญจนบุรี')",1
"('บ่อพลอย', 'กาญจนบุรี')","('ห้วยกระเจา', 'กาญจนบุรี')",1
"('ศรีสวัสดิ์', 'กาญจนบุรี')","('บ้านไร่', 'อุทัยธานี')",1
"('ศรีสวัสดิ์', 'กาญจนบุรี')","('ด่านช้าง', 'สุพรรณบุรี')",1
"('ศรีสวัสดิ์', 'กาญจนบุรี')","('เมืองกาญจนบุรี', 'กาญจนบุรี')",1
"('ศรีสวัสดิ์', 'กาญจนบุรี')","('ไทรโยค', 'กาญจนบุรี')",1
"('ศรีสวัสดิ์', 'กาญจนบุรี')","('บ่อพลอย', 'กาญจนบุรี')",1
"('ศรีสวัสดิ์', 'กาญจนบุรี')","('ทองผาภูมิ', 'กาญจนบุรี')",1
"('ศรีสวัสดิ์', 'กาญจนบุรี')","('หนองปรือ', 'กาญจนบุรี')",1
"('ท่ามะกา', 'กาญจนบุรี')","('สองพี่น้อง', 'สุพรรณบุรี')",1
"('ท่ามะกา', 'กาญจนบุรี')","('เมืองนครปฐม', 'นครปฐม')",1
"('ท่ามะกา', 'กาญจนบุรี')","('กำแพงแสน', 'นครปฐม')",1
"('ท่ามะกา', 'กาญจนบุรี')","('บ้านโป่ง', 'ราชบุรี')",1
"('ท่ามะกา', 'กาญจนบุรี')","('โพธาราม', 'ราชบุรี')",1
"('ท่ามะกา', 'กาญจนบุรี')","('ท่าม่วง', 'กาญจนบุรี')",1
"('ท่ามะกา', 'กาญจนบุรี')","('พนมทวน', 'กาญจนบุรี')",1
"('ท่าม่วง', 'กาญจนบุรี')","('จอมบึง', 'ราชบุรี')",1
