Amper1,Amper2,Adjacent
"('เมืองนครปฐม', 'นครปฐม')","('กำแพงแสน', 'นครปฐม')",1
"('เมืองนครปฐม', 'นครปฐม')","('นครชัยศรี', 'นครปฐม')",1
"('เมืองนครปฐม', 'นครปฐม')","('บ้านแพ้ว', 'สมุทรสาคร')",1
"('เมืองนครปฐม', 'นครปฐม')","('ดอนตูม', 'นครปฐม')",1
"('เมืองนครปฐม', 'นครปฐม')","('สามพราน', 'นครปฐม')",1
"('เมืองนครปฐม', 'นครปฐม')","('บ้านโป่ง', 'ราชบุรี')",1
"('เมืองนครปฐม', 'นครปฐม')","('บางแพ', 'ราชบุรี')",1
"('เมืองนครปฐม', 'นครปฐม')","('โพธาราม', 'ราชบุรี')",1
"('เมืองนครปฐม', 'นครปฐม')","('ท่ามะกา', 'กาญจนบุรี')",1
"('กำแพงแสน', 'นครปฐม')","('สองพี่น้อง', 'สุพรรณบุรี')",1
"('กำแพงแสน', 'นครปฐม')","('เมืองนครปฐม', 'นครปฐม')",1
"('กำแพงแสน', 'นครปฐม')","('ดอนตูม', 'นครปฐม')",1
"('กำแพงแสน', 'นครปฐม')","('บางเลน', 'นครปฐม')",1
"('กำแพงแสน', 'นครปฐม')","('บ้านโป่ง', 'ราชบุรี')",1
"('กำแพงแสน', 'นครปฐม')","('ท่ามะกา', 'กาญจนบุรี')",1
"('กำแพงแสน', 'นครปฐม')","('พนมทวน', 'กาญจนบุรี')",1
"('นครชัยศรี', 'นครปฐม')","('ไทรน้อย', 'นนทบุรี')",1
"('นครชัยศรี', 'นครปฐม')","('เมืองนครปฐม', 'นครปฐม')",1
"('นครชัยศรี', 'นครปฐม')","('กระทุ่มแบน', 'สมุทรสาคร')",1
"('นครชัยศรี', 'นครปฐม')","('ดอนตูม', 'นครปฐม')",1
"('นครชัยศรี', 'นครปฐม')","('บางเลน', 'นครปฐม')",1
"('นครชัยศรี', 'นครปฐม')","('สามพราน', 'นครปฐม')",1
"('นครชัยศรี', 'นครปฐม')","('พุทธมณฑล', 'นครปฐม')",1
"('ดอนตูม', 'นครปฐม')","('เมืองนครปฐม', 'นครปฐม')",1
"('ดอนตูม', 'นครปฐม')","('กำแพงแสน', 'นครปฐม')",1
"('ดอนตูม', 'นครปฐม')","('นครชัยศรี', 'นครปฐม')",1
"('ดอนตูม', 'นครปฐม')","('บางเลน', 'นครปฐม')",1
"('บางเลน', 'นครปฐม')","('ลาดบัวหลวง', 'พระนครศรีอยุธยา')",1
"('บางเลน', 'นครปฐม')","('บางซ้าย', 'พระนครศรีอยุธยา')",1
"('บางเลน', 'นครปฐม')","('บางใหญ่', 'นนทบุรี')",1
"('บางเลน', 'นครปฐม')","('ไทรน้อย', 'นนทบุรี')",1
"('บางเลน', 'นครปฐม')","('สองพี่น้อง', 'สุพรรณบุรี')",1
"('บางเลน', 'นครปฐม')","('กำแพงแสน', 'นครปฐม')",1
"('บางเลน', 'นครปฐม')","('นครชัยศรี', 'นครปฐม')",1
"('บางเลน', 'นครปฐม')","('ดอนตูม', 'นครปฐม')",1
"('บางเลน', 'นครปฐม')","('พุทธมณฑล', 'นครปฐม')",1
"('สามพราน', 'นครปฐม')","('หนองแขม', 'กรุงเทพมหานคร')",1
"('สามพราน', 'นครปฐม')","('บางแค', 'กรุงเทพมหานคร')",1
"('สามพราน', 'นครปฐม')","('ทวีวัฒนา', 'กรุงเทพมหานคร')",1
"('สามพราน', 'นครปฐม')","('บางกรวย', 'นนทบุรี')",1
"('สามพราน', 'นครปฐม')","('บางใหญ่', 'นนทบุรี')",1
"('สามพราน', 'นครปฐม')","('เมืองนครปฐม', 'นครปฐม')",1
"('สามพราน', 'นครปฐม')","('นครชัยศรี', 'นครปฐม')",1
"('สามพราน', 'นครปฐม')","('กระทุ่มแบน', 'สมุทรสาคร')",1
"('สามพราน', 'นครปฐม')","('บ้านแพ้ว', 'สมุทรสาคร')",1
"('สามพราน', 'นครปฐม')","('พุทธมณฑล', 'นครปฐม')",1
"('สามพราน', 'นครปฐม')","('บางแพ', 'ราชบุรี')",1
"('พุทธมณฑล', 'นครปฐม')","('ทวีวัฒนา', 'กรุงเทพมหานคร')",1
"('พุทธมณฑล', 'นครปฐม')","('บางกรวย', 'นนทบุรี')",1
"('พุทธมณฑล', 'นครปฐม')","('บางใหญ่', 'นนทบุรี')",1
"('พุทธมณฑล', 'นครปฐม')","('บางบัวทอง', 'นนทบุรี')",1
"('พุทธมณฑล', 'นครปฐม')","('ไทรน้อย', 'นนทบุรี')",1
"('พุทธมณฑล', 'นครปฐม')","('นครชัยศรี', 'นครปฐม')",1
"('พุทธมณฑล', 'นครปฐม')","('บางเลน', 'นครปฐม')",1
"('พุทธมณฑล', 'นครปฐม')","('สามพราน', 'นครปฐม')",1
