Amper1,Amper2,Adjacent
"('เกาะยาว', 'พังงา')","('อ่าวลึก', 'กระบี่')",1
"('เกาะยาว', 'พังงา')","('ตะกั่วทุ่ง', 'พังงา')",1
"('เมืองพังงา', 'พังงา')","('อ่าวลึก', 'กระบี่')",1
"('เมืองพังงา', 'พังงา')","('กะปง', 'พังงา')",1
"('เมืองพังงา', 'พังงา')","('ตะกั่วทุ่ง', 'พังงา')",1
"('เมืองพังงา', 'พังงา')","('ทับปุด', 'พังงา')",1
"('เมืองพังงา', 'พังงา')","('ท้ายเหมือง', 'พังงา')",1
"('เมืองพังงา', 'พังงา')","('พนม', 'สุราษฎร์ธานี')",1
"('กะปง', 'พังงา')","('เมืองพังงา', 'พังงา')",1
"('กะปง', 'พังงา')","('ตะกั่วป่า', 'พังงา')",1
"('กะปง', 'พังงา')","('คุระบุรี', 'พังงา')",1
"('กะปง', 'พังงา')","('ท้ายเหมือง', 'พังงา')",1
"('กะปง', 'พังงา')","('พนม', 'สุราษฎร์ธานี')",1
"('ตะกั่วทุ่ง', 'พังงา')","('เกาะยาว', 'พังงา')",1
"('ตะกั่วทุ่ง', 'พังงา')","('เมืองพังงา', 'พังงา')",1
"('ตะกั่วทุ่ง', 'พังงา')","('ท้ายเหมือง', 'พังงา')",1
"('ตะกั่วทุ่ง', 'พังงา')","('ถลาง', 'ภูเก็ต')",1
"('ตะกั่วป่า', 'พังงา')","('กะปง', 'พังงา')",1
"('ตะกั่วป่า', 'พังงา')","('คุระบุรี', 'พังงา')",1
"('ตะกั่วป่า', 'พังงา')","('ท้ายเหมือง', 'พังงา')",1
"('ตะกั่วป่า', 'พังงา')","('พนม', 'สุราษฎร์ธานี')",1
"('คุระบุรี', 'พังงา')","('กะปง', 'พังงา')",1
"('คุระบุรี', 'พังงา')","('ตะกั่วป่า', 'พังงา')",1
"('คุระบุรี', 'พังงา')","('บ้านตาขุน', 'สุราษฎร์ธานี')",1
"('คุระบุรี', 'พังงา')","('พนม', 'สุราษฎร์ธานี')",1
"('คุระบุรี', 'พังงา')","('สุขสำราญ', 'ระนอง')",1
"('ทับปุด', 'พังงา')","('อ่าวลึก', 'กระบี่')",1
"('ทับปุด', 'พังงา')","('ปลายพระยา', 'กระบี่')",1
"('ทับปุด', 'พังงา')","('เมืองพังงา', 'พังงา')",1
"('ทับปุด', 'พังงา')","('พนม', 'สุราษฎร์ธานี')",1
"('ท้ายเหมือง', 'พังงา')","('เมืองพังงา', 'พังงา')",1
"('ท้ายเหมือง', 'พังงา')","('กะปง', 'พังงา')",1
"('ท้ายเหมือง', 'พังงา')","('ตะกั่วทุ่ง', 'พังงา')",1
"('ท้ายเหมือง', 'พังงา')","('ตะกั่วป่า', 'พังงา')",1
