Amper1,Amper2,Adjacent
"('ละงู', 'สตูล')","('ทุ่งหว้า', 'สตูล')",1
"('ละงู', 'สตูล')","('มะนัง', 'สตูล')",1
"('ละงู', 'สตูล')","('เมืองสตูล', 'สตูล')",1
"('ละงู', 'สตูล')","('ควนกาหลง', 'สตูล')",1
"('ละงู', 'สตูล')","('ท่าแพ', 'สตูล')",1
"('ทุ่งหว้า', 'สตูล')","('ละงู', 'สตูล')",1
"('ทุ่งหว้า', 'สตูล')","('มะนัง', 'สตูล')",1
"('ทุ่งหว้า', 'สตูล')","('ปะเหลียน', 'ตรัง')",1
"('ทุ่งหว้า', 'สตูล')","('ตะโหมด', 'พัทลุง')",1
"('ทุ่งหว้า', 'สตูล')","('ควนกาหลง', 'สตูล')",1
"('ทุ่งหว้า', 'สตูล')","('ป่าบอน', 'พัทลุง')",1
"('มะนัง', 'สตูล')","('ละงู', 'สตูล')",1
"('มะนัง', 'สตูล')","('ทุ่งหว้า', 'สตูล')",1
"('มะนัง', 'สตูล')","('ควนกาหลง', 'สตูล')",1
"('มะนัง', 'สตูล')","('ป่าบอน', 'พัทลุง')",1
"('เมืองสตูล', 'สตูล')","('ละงู', 'สตูล')",1
"('เมืองสตูล', 'สตูล')","('สะเดา', 'สงขลา')",1
"('เมืองสตูล', 'สตูล')","('ควนโดน', 'สตูล')",1
"('เมืองสตูล', 'สตูล')","('ควนกาหลง', 'สตูล')",1
"('เมืองสตูล', 'สตูล')","('ท่าแพ', 'สตูล')",1
"('ควนโดน', 'สตูล')","('สะเดา', 'สงขลา')",1
"('ควนโดน', 'สตูล')","('หาดใหญ่', 'สงขลา')",1
"('ควนโดน', 'สตูล')","('คลองหอยโข่ง', 'สงขลา')",1
"('ควนโดน', 'สตูล')","('เมืองสตูล', 'สตูล')",1
"('ควนโดน', 'สตูล')","('ควนกาหลง', 'สตูล')",1
"('ควนโดน', 'สตูล')","('ท่าแพ', 'สตูล')",1
"('ควนกาหลง', 'สตูล')","('ละงู', 'สตูล')",1
"('ควนกาหลง', 'สตูล')","('ทุ่งหว้า', 'สตูล')",1
"('ควนกาหลง', 'สตูล')","('มะนัง', 'สตูล')",1
"('ควนกาหลง', 'สตูล')","('รัตภูมิ', 'สงขลา')",1
"('ควนกาหลง', 'สตูล')","('สะเดา', 'สงขลา')",1
"('ควนกาหลง', 'สตูล')","('หาดใหญ่', 'สงขลา')",1
"('ควนกาหลง', 'สตูล')","('คลองหอยโข่ง', 'สงขลา')",1
"('ควนกาหลง', 'สตูล')","('เมืองสตูล', 'สตูล')",1
"('ควนกาหลง', 'สตูล')","('ควนโดน', 'สตูล')",1
"('ควนกาหลง', 'สตูล')","('ท่าแพ', 'สตูล')",1
"('ควนกาหลง', 'สตูล')","('ป่าบอน', 'พัทลุง')",1
"('ท่าแพ', 'สตูล')","('ละงู', 'สตูล')",1
"('ท่าแพ', 'สตูล')","('เมืองสตูล', 'สตูล')",1
"('ท่าแพ', 'สตูล')","('ควนโดน', 'สตูล')",1
"('ท่าแพ', 'สตูล')","('ควนกาหลง', 'สตูล')",1
