Amper1,Amper2,Adjacent
"('เมืองปัตตานี', 'ปัตตานี')","('หนองจิก', 'ปัตตานี')",1
"('เมืองปัตตานี', 'ปัตตานี')","('ยะหริ่ง', 'ปัตตานี')",1
"('เมืองปัตตานี', 'ปัตตานี')","('ยะรัง', 'ปัตตานี')",1
"('โคกโพธิ์', 'ปัตตานี')","('เทพา', 'สงขลา')",1
"('โคกโพธิ์', 'ปัตตานี')","('สะบ้าย้อย', 'สงขลา')",1
"('โคกโพธิ์', 'ปัตตานี')","('หนองจิก', 'ปัตตานี')",1
"('โคกโพธิ์', 'ปัตตานี')","('ยะรัง', 'ปัตตานี')",1
"('โคกโพธิ์', 'ปัตตานี')","('แม่ลาน', 'ปัตตานี')",1
"('โคกโพธิ์', 'ปัตตานี')","('เมืองยะลา', 'ยะลา')",1
"('โคกโพธิ์', 'ปัตตานี')","('ยะหา', 'ยะลา')",1
"('หนองจิก', 'ปัตตานี')","('เทพา', 'สงขลา')",1
"('หนองจิก', 'ปัตตานี')","('เมืองปัตตานี', 'ปัตตานี')",1
"('หนองจิก', 'ปัตตานี')","('โคกโพธิ์', 'ปัตตานี')",1
"('หนองจิก', 'ปัตตานี')","('ยะรัง', 'ปัตตานี')",1
"('หนองจิก', 'ปัตตานี')","('แม่ลาน', 'ปัตตานี')",1
"('หนองจิก', 'ปัตตานี')","('เมืองยะลา', 'ยะลา')",1
"('ปะนาเระ', 'ปัตตานี')","('มายอ', 'ปัตตานี')",1
"('ปะนาเระ', 'ปัตตานี')","('ทุ่งยางแดง', 'ปัตตานี')",1
"('ปะนาเระ', 'ปัตตานี')","('สายบุรี', 'ปัตตานี')",1
"('ปะนาเระ', 'ปัตตานี')","('ยะหริ่ง', 'ปัตตานี')",1
"('มายอ', 'ปัตตานี')","('ปะนาเระ', 'ปัตตานี')",1
"('มายอ', 'ปัตตานี')","('ทุ่งยางแดง', 'ปัตตานี')",1
"('มายอ', 'ปัตตานี')","('สายบุรี', 'ปัตตานี')",1
"('มายอ', 'ปัตตานี')","('ยะหริ่ง', 'ปัตตานี')",1
"('มายอ', 'ปัตตานี')","('ยะรัง', 'ปัตตานี')",1
"('มายอ', 'ปัตตานี')","('กะพ้อ', 'ปัตตานี')",1
"('มายอ', 'ปัตตานี')","('เมืองยะลา', 'ยะลา')",1
