Amper1,Amper2,Adjacent
"('เมืองลพบุรี', 'ลพบุรี')","('พัฒนานิคม', 'ลพบุรี')",1
"('เมืองลพบุรี', 'ลพบุรี')","('โคกสำโรง', 'ลพบุรี')",1
"('เมืองลพบุรี', 'ลพบุรี')","('ท่าวุ้ง', 'ลพบุรี')",1
"('เมืองลพบุรี', 'ลพบุรี')","('พรหมบุรี', 'สิงห์บุรี')",1
"('เมืองลพบุรี', 'ลพบุรี')","('มหาราช', 'พระนครศรีอยุธยา')",1
"('เมืองลพบุรี', 'ลพบุรี')","('บ้านแพรก', 'พระนครศรีอยุธยา')",1
"('เมืองลพบุรี', 'ลพบุรี')","('เมืองอ่างทอง', 'อ่างทอง')",1
"('เมืองลพบุรี', 'ลพบุรี')","('ไชโย', 'อ่างทอง')",1
"('เมืองลพบุรี', 'ลพบุรี')","('บ้านหมี่', 'ลพบุรี')",1
"('เมืองลพบุรี', 'ลพบุรี')","('บ้านหมอ', 'สระบุรี')",1
"('เมืองลพบุรี', 'ลพบุรี')","('ดอนพุด', 'สระบุรี')",1
"('เมืองลพบุรี', 'ลพบุรี')","('หนองโดน', 'สระบุรี')",1
"('เมืองลพบุรี', 'ลพบุรี')","('พระพุทธบาท', 'สระบุรี')",1
"('พัฒนานิคม', 'ลพบุรี')","('เมืองลพบุรี', 'ลพบุรี')",1
"('พัฒนานิคม', 'ลพบุรี')","('โคกสำโรง', 'ลพบุรี')",1
"('พัฒนานิคม', 'ลพบุรี')","('ชัยบาดาล', 'ลพบุรี')",1
"('พัฒนานิคม', 'ลพบุรี')","('แก่งคอย', 'สระบุรี')",1
"('พัฒนานิคม', 'ลพบุรี')","('เฉลิมพระเกียรติ', 'สระบุรี')",1
"('พัฒนานิคม', 'ลพบุรี')","('ท่าหลวง', 'ลพบุรี')",1
"('พัฒนานิคม', 'ลพบุรี')","('พระพุทธบาท', 'สระบุรี')",1
"('พัฒนานิคม', 'ลพบุรี')","('มวกเหล็ก', 'สระบุรี')",1
"('พัฒนานิคม', 'ลพบุรี')","('วังม่วง', 'สระบุรี')",1
"('โคกสำโรง', 'ลพบุรี')","('เมืองลพบุรี', 'ลพบุรี')",1
"('โคกสำโรง', 'ลพบุรี')","('พัฒนานิคม', 'ลพบุรี')",1
"('โคกสำโรง', 'ลพบุรี')","('ชัยบาดาล', 'ลพบุรี')",1
"('โคกสำโรง', 'ลพบุรี')","('หนองม่วง', 'ลพบุรี')",1
"('โคกสำโรง', 'ลพบุรี')","('บ้านหมี่', 'ลพบุรี')",1
"('โคกสำโรง', 'ลพบุรี')","('สระโบสถ์', 'ลพบุรี')",1
"('ชัยบาดาล', 'ลพบุรี')","('พัฒนานิคม', 'ลพบุรี')",1
"('ชัยบาดาล', 'ลพบุรี')","('โคกสำโรง', 'ลพบุรี')",1
"('ชัยบาดาล', 'ลพบุรี')","('ท่าหลวง', 'ลพบุรี')",1
"('ชัยบาดาล', 'ลพบุรี')","('สระโบสถ์', 'ลพบุรี')",1
"('ชัยบาดาล', 'ลพบุรี')","('โคกเจริญ', 'ลพบุรี')",1
"('ชัยบาดาล', 'ลพบุรี')","('ลำสนธิ', 'ลพบุรี')",1
"('ชัยบาดาล', 'ลพบุรี')","('มวกเหล็ก', 'สระบุรี')",1
"('ชัยบาดาล', 'ลพบุรี')","('ศรีเทพ', 'เพชรบูรณ์')",1
"('ท่าวุ้ง', 'ลพบุรี')","('โพธิ์ทอง', 'อ่างทอง')",1
"('ท่าวุ้ง', 'ลพบุรี')","('เมืองลพบุรี', 'ลพบุรี')",1
"('ท่าวุ้ง', 'ลพบุรี')","('พรหมบุรี', 'สิงห์บุรี')",1
"('ท่าวุ้ง', 'ลพบุรี')","('บ้านแพรก', 'พระนครศรีอยุธยา')",1
"('ท่าวุ้ง', 'ลพบุรี')","('ไชโย', 'อ่างทอง')",1
"('ท่าวุ้ง', 'ลพบุรี')","('บ้านหมี่', 'ลพบุรี')",1
"('ท่าวุ้ง', 'ลพบุรี')","('เมืองสิงห์บุรี', 'สิงห์บุรี')",1
"('ท่าวุ้ง', 'ลพบุรี')","('ท่าช้าง', 'สิงห์บุรี')",1
"('ท่าวุ้ง', 'ลพบุรี')","('อินทร์บุรี', 'สิงห์บุรี')",1
"('หนองม่วง', 'ลพบุรี')","('โคกสำโรง', 'ลพบุรี')",1
"('หนองม่วง', 'ลพบุรี')","('บ้านหมี่', 'ลพบุรี')",1
"('หนองม่วง', 'ลพบุรี')","('สระโบสถ์', 'ลพบุรี')",1
"('หนองม่วง', 'ลพบุรี')","('โคกเจริญ', 'ลพบุรี')",1
"('หนองม่วง', 'ลพบุรี')","('ตาคลี', 'นครสวรรค์')",1
"('หนองม่วง', 'ลพบุรี')","('ไพศาลี', 'นครสวรรค์')",1
"('หนองม่วง', 'ลพบุรี')","('ตากฟ้า', 'นครสวรรค์')",1
"('บ้านหมี่', 'ลพบุรี')","('เมืองลพบุรี', 'ลพบุรี')",1
"('บ้านหมี่', 'ลพบุรี')","('โคกสำโรง', 'ลพบุรี')",1
"('บ้านหมี่', 'ลพบุรี')","('ท่าวุ้ง', 'ลพบุรี')",1
"('บ้านหมี่', 'ลพบุรี')","('หนองม่วง', 'ลพบุรี')",1
"('บ้านหมี่', 'ลพบุรี')","('เมืองสิงห์บุรี', 'สิงห์บุรี')",1
"('บ้านหมี่', 'ลพบุรี')","('อินทร์บุรี', 'สิงห์บุรี')",1
"('บ้านหมี่', 'ลพบุรี')","('ตาคลี', 'นครสวรรค์')",1
"('บ้านหมี่', 'ลพบุรี')","('ตากฟ้า', 'นครสวรรค์')",1
"('ท่าหลวง', 'ลพบุรี')","('พัฒนานิคม', 'ลพบุรี')",1
"('ท่าหลวง', 'ลพบุรี')","('ชัยบาดาล', 'ลพบุรี')",1
"('ท่าหลวง', 'ลพบุรี')","('ลำสนธิ', 'ลพบุรี')",1
"('ท่าหลวง', 'ลพบุรี')","('มวกเหล็ก', 'สระบุรี')",1
"('สระโบสถ์', 'ลพบุรี')","('โคกสำโรง', 'ลพบุรี')",1
"('สระโบสถ์', 'ลพบุรี')","('ชัยบาดาล', 'ลพบุรี')",1
"('สระโบสถ์', 'ลพบุรี')","('หนองม่วง', 'ลพบุรี')",1
