Amper1,Amper2,Adjacent
"('ค่ายบางระจัน', 'สิงห์บุรี')","('แสวงหา', 'อ่างทอง')",1
"('ค่ายบางระจัน', 'สิงห์บุรี')","('พรหมบุรี', 'สิงห์บุรี')",1
"('ค่ายบางระจัน', 'สิงห์บุรี')","('เมืองสิงห์บุรี', 'สิงห์บุรี')",1
"('ค่ายบางระจัน', 'สิงห์บุรี')","('บางระจัน', 'สิงห์บุรี')",1
"('ค่ายบางระจัน', 'สิงห์บุรี')","('ท่าช้าง', 'สิงห์บุรี')",1
"('ค่ายบางระจัน', 'สิงห์บุรี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('ค่ายบางระจัน', 'สิงห์บุรี')","('ศรีประจันต์', 'สุพรรณบุรี')",1
"('ค่ายบางระจัน', 'สิงห์บุรี')","('สามชุก', 'สุพรรณบุรี')",1
"('พรหมบุรี', 'สิงห์บุรี')","('โพธิ์ทอง', 'อ่างทอง')",1
"('พรหมบุรี', 'สิงห์บุรี')","('เมืองลพบุรี', 'ลพบุรี')",1
"('พรหมบุรี', 'สิงห์บุรี')","('ท่าวุ้ง', 'ลพบุรี')",1
"('พรหมบุรี', 'สิงห์บุรี')","('ค่ายบางระจัน', 'สิงห์บุรี')",1
"('พรหมบุรี', 'สิงห์บุรี')","('ไชโย', 'อ่างทอง')",1
"('พรหมบุรี', 'สิงห์บุรี')","('เมืองสิงห์บุรี', 'สิงห์บุรี')",1
"('พรหมบุรี', 'สิงห์บุรี')","('ท่าช้าง', 'สิงห์บุรี')",1
"('เมืองสิงห์บุรี', 'สิงห์บุรี')","('ท่าวุ้ง', 'ลพบุรี')",1
"('เมืองสิงห์บุรี', 'สิงห์บุรี')","('ค่ายบางระจัน', 'สิงห์บุรี')",1
"('เมืองสิงห์บุรี', 'สิงห์บุรี')","('พรหมบุรี', 'สิงห์บุรี')",1
"('เมืองสิงห์บุรี', 'สิงห์บุรี')","('บ้านหมี่', 'ลพบุรี')",1
"('เมืองสิงห์บุรี', 'สิงห์บุรี')","('บางระจัน', 'สิงห์บุรี')",1
"('เมืองสิงห์บุรี', 'สิงห์บุรี')","('ท่าช้าง', 'สิงห์บุรี')",1
"('เมืองสิงห์บุรี', 'สิงห์บุรี')","('อินทร์บุรี', 'สิงห์บุรี')",1
"('บางระจัน', 'สิงห์บุรี')","('ค่ายบางระจัน', 'สิงห์บุรี')",1
"('บางระจัน', 'สิงห์บุรี')","('สรรคบุรี', 'ชัยนาท')",1
"('บางระจัน', 'สิงห์บุรี')","('เมืองสิงห์บุรี', 'สิงห์บุรี')",1
"('บางระจัน', 'สิงห์บุรี')","('ท่าช้าง', 'สิงห์บุรี')",1
"('บางระจัน', 'สิงห์บุรี')","('อินทร์บุรี', 'สิงห์บุรี')",1
"('บางระจัน', 'สิงห์บุรี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('ท่าช้าง', 'สิงห์บุรี')","('โพธิ์ทอง', 'อ่างทอง')",1
"('ท่าช้าง', 'สิงห์บุรี')","('แสวงหา', 'อ่างทอง')",1
"('ท่าช้าง', 'สิงห์บุรี')","('ท่าวุ้ง', 'ลพบุรี')",1
"('ท่าช้าง', 'สิงห์บุรี')","('ค่ายบางระจัน', 'สิงห์บุรี')",1
"('ท่าช้าง', 'สิงห์บุรี')","('พรหมบุรี', 'สิงห์บุรี')",1
"('ท่าช้าง', 'สิงห์บุรี')","('ไชโย', 'อ่างทอง')",1
"('ท่าช้าง', 'สิงห์บุรี')","('เมืองสิงห์บุรี', 'สิงห์บุรี')",1
"('ท่าช้าง', 'สิงห์บุรี')","('บางระจัน', 'สิงห์บุรี')",1
"('อินทร์บุรี', 'สิงห์บุรี')","('ท่าวุ้ง', 'ลพบุรี')",1
"('อินทร์บุรี', 'สิงห์บุรี')","('สรรคบุรี', 'ชัยนาท')",1
"('อินทร์บุรี', 'สิงห์บุรี')","('บ้านหมี่', 'ลพบุรี')",1
"('อินทร์บุรี', 'สิงห์บุรี')","('เมืองสิงห์บุรี', 'สิงห์บุรี')",1
"('อินทร์บุรี', 'สิงห์บุรี')","('บางระจัน', 'สิงห์บุรี')",1
"('อินทร์บุรี', 'สิงห์บุรี')","('สรรพยา', 'ชัยนาท')",1
"('อินทร์บุรี', 'สิงห์บุรี')","('ตาคลี', 'นครสวรรค์')",1
