province1,province2,Adjacent
กรุงเทพมหานคร,สมุทรปราการ,1
กรุงเทพมหานคร,นนทบุรี,1
กรุงเทพมหานคร,ปทุมธานี,1
กรุงเทพมหานคร,ฉะเชิงเทรา,1
กรุงเทพมหานคร,นครนายก,1
กรุงเทพมหานคร,นครปฐม,1
กรุงเทพมหานคร,สมุทรสาคร,1
สมุทรปราการ,กรุงเทพมหานคร,1
สมุทรปราการ,ฉะเชิงเทรา,1
นนทบุรี,กรุงเทพมหานคร,1
นนทบุรี,ปทุมธานี,1
นนทบุรี,พระนครศรีอยุธยา,1
นนทบุรี,นครปฐม,1
ปทุมธานี,กรุงเทพมหานคร,1
ปทุมธานี,นนทบุรี,1
ปทุมธานี,พระนครศรีอยุธยา,1
ปทุมธานี,สระบุรี,1
ปทุมธานี,ฉะเชิงเทรา,1
ปทุมธานี,นครนายก,1
พระนครศรีอยุธยา,นนทบุรี,1
พระนครศรีอยุธยา,ปทุมธานี,1
พระนครศรีอยุธยา,อ่างทอง,1
พระนครศรีอยุธยา,ลพบุรี,1
พระนครศรีอยุธยา,สระบุรี,1
พระนครศรีอยุธยา,สุพรรณบุรี,1
พระนครศรีอยุธยา,นครปฐม,1
อ่างทอง,พระนครศรีอยุธยา,1
อ่างทอง,ลพบุรี,1
อ่างทอง,สิงห์บุรี,1
อ่างทอง,สุพรรณบุรี,1
ลพบุรี,พระนครศรีอยุธยา,1
ลพบุรี,อ่างทอง,1
ลพบุรี,สิงห์บุรี,1
ลพบุรี,สระบุรี,1
ลพบุรี,นครราชสีมา,1
ลพบุรี,ชัยภูมิ,1
ลพบุรี,นครสวรรค์,1
ลพบุรี,เพชรบูรณ์,1
สิงห์บุรี,อ่างทอง,1
สิงห์บุรี,ลพบุรี,1
สิงห์บุรี,ชัยนาท,1
สิงห์บุรี,นครสวรรค์,1
สิงห์บุรี,สุพรรณบุรี,1
ชัยนาท,สิงห์บุรี,1
ชัยนาท,นครสวรรค์,1
ชัยนาท,อุทัยธานี,1
ชัยนาท,สุพรรณบุรี,1
สระบุรี,ปทุมธานี,1
สระบุรี,พระนครศรีอยุธยา,1
