,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองสระบุรี,"('เมืองสระบุรี', 'สระบุรี')",แก่งคอย,"('แก่งคอย', 'สระบุรี')","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['อาคารที่ว่าการอำเภอแก่งคอย, ถนนพระพายัพ, ตำบลแก่งคอย อำเภอแก่งคอย จังหวัดสระบุรี, 18110 Tambon Kaeng Khoi, Amphoe Kaeng Khoi, Chang Wat Saraburi 18110, Thailand']",14.3 km,18 mins
1,เมืองสระบุรี,"('เมืองสระบุรี', 'สระบุรี')",หนองแค,"('หนองแค', 'สระบุรี')","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['67 ถนน Raphiphat, Tambon Nong Khae, Amphoe Nong Khae, Chang Wat Saraburi 18140, Thailand']",23.2 km,22 mins
2,เมืองสระบุรี,"('เมืองสระบุรี', 'สระบุรี')",เฉลิมพระเกียรติ,"('เฉลิมพระเกียรติ', 'สระบุรี')","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['JW65+H9J, Khao Din Phatthana, Chaloem Phra Kiat District, Saraburi 18000, Thailand']",11.4 km,17 mins
3,เมืองสระบุรี,"('เมืองสระบุรี', 'สระบุรี')",วิหารแดง,"('วิหารแดง', 'สระบุรี')","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['64 หมู่ 1, ถนนสุวรรณศร, ตำบลหนองสรวง อำเภอวิหารแดง จังหวัดสระบุรี, 18150 Tambon Nong Sruang, Amphoe Wihan Daeng, Chang Wat Saraburi 18150, Thailand']",28.2 km,29 mins
4,เมืองสระบุรี,"('เมืองสระบุรี', 'สระบุรี')",หนองแซง,"('หนองแซง', 'สระบุรี')","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['FQRM+QQP, Nong Saeng, Nong Saeng District, Saraburi 18170, Thailand']",15.5 km,19 mins
5,เมืองสระบุรี,"('เมืองสระบุรี', 'สระบุรี')",เสาไห้,"('เสาไห้', 'สระบุรี')","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['HR2V+8PM, Muang Kao, Sao Hai District, Saraburi 18160, Thailand']",7.9 km,13 mins
6,แก่งคอย,"('แก่งคอย', 'สระบุรี')",บ้านนา,"('บ้านนา', 'นครนายก')","['อาคารที่ว่าการอำเภอแก่งคอย, ถนนพระพายัพ, ตำบลแก่งคอย อำเภอแก่งคอย จังหวัดสระบุรี, 18110 Tambon Kaeng Khoi, Amphoe Kaeng Khoi, Chang Wat Saraburi 18110, Thailand']","['หมู่ที่ 2, อาคารที่ว่าการอำเภอบ้านนา, ถนนสุวรรณศร, ตำบลบ้านนา อำเภอบ้านนา จังหวัดนครนายก, 26110 Amphoe Ban Na, Chang Wat Nakhon Nayok 26110, Thailand']",42.4 km,39 mins
7,แก่งคอย,"('แก่งคอย', 'สระบุรี')",พัฒนานิคม,"('พัฒนานิคม', 'ลพบุรี')","['อาคารที่ว่าการอำเภอแก่งคอย, ถนนพระพายัพ, ตำบลแก่งคอย อำเภอแก่งคอย จังหวัดสระบุรี, 18110 Tambon Kaeng Khoi, Amphoe Kaeng Khoi, Chang Wat Saraburi 18110, Thailand']","['VX4R+922, Phatthana Nikhom, Phatthana Nikhom District, Lopburi 15140, Thailand']",42.0 km,48 mins
8,แก่งคอย,"('แก่งคอย', 'สระบุรี')",เมืองสระบุรี,"('เมืองสระบุรี', 'สระบุรี')","['อาคารที่ว่าการอำเภอแก่งคอย, ถนนพระพายัพ, ตำบลแก่งคอย อำเภอแก่งคอย จังหวัดสระบุรี, 18110 Tambon Kaeng Khoi, Amphoe Kaeng Khoi, Chang Wat Saraburi 18110, Thailand']","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']",17.2 km,19 mins
9,แก่งคอย,"('แก่งคอย', 'สระบุรี')",หนองแค,"('หนองแค', 'สระบุรี')","['อาคารที่ว่าการอำเภอแก่งคอย, ถนนพระพายัพ, ตำบลแก่งคอย อำเภอแก่งคอย จังหวัดสระบุรี, 18110 Tambon Kaeng Khoi, Amphoe Kaeng Khoi, Chang Wat Saraburi 18110, Thailand']","['67 ถนน Raphiphat, Tambon Nong Khae, Amphoe Nong Khae, Chang Wat Saraburi 18140, Thailand']",37.6 km,33 mins
