,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองชลบุรี,"('เมืองชลบุรี', 'ชลบุรี')",บ้านบึง,"('บ้านบึง', 'ชลบุรี')","['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']","['353 Chon Buri-Ban Bueng Rd, Tambon Ban Bueng, Amphoe Ban Bueng, Chang Wat Chon Buri 20170, Thailand']",16.5 km,25 mins
1,เมืองชลบุรี,"('เมืองชลบุรี', 'ชลบุรี')",พานทอง,"('พานทอง', 'ชลบุรี')","['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']","['F3CW+7PG, Phan Thong, Phan Thong District, Chon Buri 20160, Thailand']",26.4 km,34 mins
2,เมืองชลบุรี,"('เมืองชลบุรี', 'ชลบุรี')",ศรีราชา,"('ศรีราชา', 'ชลบุรี')","['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']","['UNIT R/L 1-21st Fl. ROBINSON Sriracha Department Store90/1, Sukhumvit Road, Sriracha, District Si RachaProvince Chon Buri, 20110, อำเภอศรีราชา ชลบุรี 20110, Thailand']",24.1 km,34 mins
3,เมืองชลบุรี,"('เมืองชลบุรี', 'ชลบุรี')",บางปะกง,"('บางปะกง', 'ฉะเชิงเทรา')","['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']","['หมู่ 6, อาคารที่ว่าการอำเภอบางปะกง, ตำบลท่าสะอ้าน อำเภอบางปะกง จังหวัดฉะเชิงเทรา, 24130 Tambon Tha Sa An, Amphoe Bang Pakong, Chang Wat Chachoengsao 24130, Thailand']",24.7 km,29 mins
4,บ้านบึง,"('บ้านบึง', 'ชลบุรี')",เมืองชลบุรี,"('เมืองชลบุรี', 'ชลบุรี')","['353 Chon Buri-Ban Bueng Rd, Tambon Ban Bueng, Amphoe Ban Bueng, Chang Wat Chon Buri 20170, Thailand']","['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']",16.5 km,25 mins
5,บ้านบึง,"('บ้านบึง', 'ชลบุรี')",หนองใหญ่,"('หนองใหญ่', 'ชลบุรี')","['353 Chon Buri-Ban Bueng Rd, Tambon Ban Bueng, Amphoe Ban Bueng, Chang Wat Chon Buri 20170, Thailand']","['5948+GCC, Nong Yai, Nong Yai District, Chon Buri 20190, Thailand']",35.8 km,30 mins
6,บ้านบึง,"('บ้านบึง', 'ชลบุรี')",พานทอง,"('พานทอง', 'ชลบุรี')","['353 Chon Buri-Ban Bueng Rd, Tambon Ban Bueng, Amphoe Ban Bueng, Chang Wat Chon Buri 20170, Thailand']","['F3CW+7PG, Phan Thong, Phan Thong District, Chon Buri 20160, Thailand']",19.7 km,27 mins
7,บ้านบึง,"('บ้านบึง', 'ชลบุรี')",พนัสนิคม,"('พนัสนิคม', 'ชลบุรี')","['353 Chon Buri-Ban Bueng Rd, Tambon Ban Bueng, Amphoe Ban Bueng, Chang Wat Chon Buri 20170, Thailand']","['F52G+VWH, Phanat Nikhom, Phanat Nikhom District, Chon Buri 20140, Thailand']",26.3 km,29 mins
8,บ้านบึง,"('บ้านบึง', 'ชลบุรี')",ศรีราชา,"('ศรีราชา', 'ชลบุรี')","['353 Chon Buri-Ban Bueng Rd, Tambon Ban Bueng, Amphoe Ban Bueng, Chang Wat Chon Buri 20170, Thailand']","['UNIT R/L 1-21st Fl. ROBINSON Sriracha Department Store90/1, Sukhumvit Road, Sriracha, District Si RachaProvince Chon Buri, 20110, อำเภอศรีราชา ชลบุรี 20110, Thailand']",38.5 km,42 mins
9,บ้านบึง,"('บ้านบึง', 'ชลบุรี')",บ่อทอง,"('บ่อทอง', 'ชลบุรี')","['353 Chon Buri-Ban Bueng Rd, Tambon Ban Bueng, Amphoe Ban Bueng, Chang Wat Chon Buri 20170, Thailand']","['460/15, Moo 1, Sukkhaphan Thavorn Road Tambon Bo Thong, Amphoe Bo Thong, Chang Wat Chon Buri 20270, Thailand']",41.3 km,44 mins
