,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองระยอง,"('เมืองระยอง', 'ระยอง')",บางละมุง,"('บางละมุง', 'ชลบุรี')","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']","['XWG7+PGG, Sukhumvit Rd, Muang Pattaya, Amphoe Bang Lamung, Chang Wat Chon Buri 20150, Thailand']",61.0 km,54 mins
1,เมืองระยอง,"('เมืองระยอง', 'ระยอง')",บ้านฉาง,"('บ้านฉาง', 'ระยอง')","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']","['136/17-18 Sukhumvit Rd, Tambon Ban Chang, Amphoe Ban Chang, Chang Wat Rayong 21130, Thailand']",27.3 km,38 mins
2,เมืองระยอง,"('เมืองระยอง', 'ระยอง')",แกลง,"('แกลง', 'ระยอง')","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']","['อาคารที่ว่าการอำเภอแกลง, ถนนมาบใหญ่, ตำบลทางเกวียน อำเภอแกลง จังหวัดระยอง, 21110 Tambon Thang Kwian, Amphoe Klaeng, Chang Wat Rayong 21110, Thailand']",50.9 km,50 mins
3,เมืองระยอง,"('เมืองระยอง', 'ระยอง')",วังจันทร์,"('วังจันทร์', 'ระยอง')","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']","['WGMC+W3R, Chum Saeng, Wang Chan District, Rayong 21210, Thailand']",47.2 km,50 mins
4,เมืองระยอง,"('เมืองระยอง', 'ระยอง')",บ้านค่าย,"('บ้านค่าย', 'ระยอง')","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']","['146/7, Tumbon Bankai, Amphoe Bankai, Rayong, 21120, ตำบล บ้านค่าย อำเภอบ้านค่าย ระยอง 21120, Thailand']",14.2 km,23 mins
5,เมืองระยอง,"('เมืองระยอง', 'ระยอง')",นิคมพัฒนา,"('นิคมพัฒนา', 'ระยอง')","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']","['58 หมู่ที่ 7, ตำบลนิคมพัฒนา อำเภอนิคมพัฒนา จังหวัดระยอง, 21180 Tambon Nikhom Phatthana, Amphoe Nikhom Phatthana, Chang Wat Rayong 21180, Thailand']",27.5 km,32 mins
6,บ้านฉาง,"('บ้านฉาง', 'ระยอง')",บางละมุง,"('บางละมุง', 'ชลบุรี')","['136/17-18 Sukhumvit Rd, Tambon Ban Chang, Amphoe Ban Chang, Chang Wat Rayong 21130, Thailand']","['XWG7+PGG, Sukhumvit Rd, Muang Pattaya, Amphoe Bang Lamung, Chang Wat Chon Buri 20150, Thailand']",44.1 km,40 mins
7,บ้านฉาง,"('บ้านฉาง', 'ระยอง')",สัตหีบ,"('สัตหีบ', 'ชลบุรี')","['136/17-18 Sukhumvit Rd, Tambon Ban Chang, Amphoe Ban Chang, Chang Wat Rayong 21130, Thailand']","['2184 86 ม.2, Tambon Sattahip, Amphoe Sattahip, Chang Wat Chon Buri 20180, Thailand']",21.1 km,25 mins
8,บ้านฉาง,"('บ้านฉาง', 'ระยอง')",เมืองระยอง,"('เมืองระยอง', 'ระยอง')","['136/17-18 Sukhumvit Rd, Tambon Ban Chang, Amphoe Ban Chang, Chang Wat Rayong 21130, Thailand']","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']",27.3 km,38 mins
9,บ้านฉาง,"('บ้านฉาง', 'ระยอง')",นิคมพัฒนา,"('นิคมพัฒนา', 'ระยอง')","['136/17-18 Sukhumvit Rd, Tambon Ban Chang, Amphoe Ban Chang, Chang Wat Rayong 21130, Thailand']","['58 หมู่ที่ 7, ตำบลนิคมพัฒนา อำเภอนิคมพัฒนา จังหวัดระยอง, 21180 Tambon Nikhom Phatthana, Amphoe Nikhom Phatthana, Chang Wat Rayong 21180, Thailand']",24.0 km,31 mins
10,แกลง,"('แกลง', 'ระยอง')",แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')","['อาคารที่ว่าการอำเภอแกลง, ถนนมาบใหญ่, ตำบลทางเกวียน อำเภอแกลง จังหวัดระยอง, 21110 Tambon Thang Kwian, Amphoe Klaeng, Chang Wat Rayong 21110, Thailand']","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']",50.6 km,54 mins
11,แกลง,"('แกลง', 'ระยอง')",นายายอาม,"('นายายอาม', 'จันทบุรี')","['อาคารที่ว่าการอำเภอแกลง, ถนนมาบใหญ่, ตำบลทางเกวียน อำเภอแกลง จังหวัดระยอง, 21110 Tambon Thang Kwian, Amphoe Klaeng, Chang Wat Rayong 21110, Thailand']","['500 หมู่ 12, ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี, 22160 Tambon Na Yai Am, Amphoe Na Yai Am, Chang Wat Chanthaburi 22160, Thailand']",26.0 km,29 mins
12,แกลง,"('แกลง', 'ระยอง')",เมืองระยอง,"('เมืองระยอง', 'ระยอง')","['อาคารที่ว่าการอำเภอแกลง, ถนนมาบใหญ่, ตำบลทางเกวียน อำเภอแกลง จังหวัดระยอง, 21110 Tambon Thang Kwian, Amphoe Klaeng, Chang Wat Rayong 21110, Thailand']","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']",50.3 km,51 mins
13,แกลง,"('แกลง', 'ระยอง')",วังจันทร์,"('วังจันทร์', 'ระยอง')","['อาคารที่ว่าการอำเภอแกลง, ถนนมาบใหญ่, ตำบลทางเกวียน อำเภอแกลง จังหวัดระยอง, 21110 Tambon Thang Kwian, Amphoe Klaeng, Chang Wat Rayong 21110, Thailand']","['WGMC+W3R, Chum Saeng, Wang Chan District, Rayong 21210, Thailand']",23.5 km,22 mins
