,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')",วังสมบูรณ์,"('วังสมบูรณ์', 'สระแก้ว')","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']","['95WX+RF9, Wang Mai, Wang Sombun District, Sa Kaeo 27250, Thailand']",149 km,2 hours 10 mins
1,แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')",นายายอาม,"('นายายอาม', 'จันทบุรี')","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']","['500 หมู่ 12, ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี, 22160 Tambon Na Yai Am, Amphoe Na Yai Am, Chang Wat Chanthaburi 22160, Thailand']",34.2 km,35 mins
2,แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')",เขาคิชฌกูฏ,"('เขาคิชฌกูฏ', 'จันทบุรี')","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']","['ที่ว่าการอำเภอ, R437+PWP ตำบล พลวง อำเภอ เขาคิชฌกูฏ จันทบุรี 22210, Thailand']",44.9 km,43 mins
3,แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')",ท่าตะเกียบ,"('ท่าตะเกียบ', 'ฉะเชิงเทรา')","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']","['หมู่ 15, ตำบลท่าตะเกียบ อำเภอท่าตะเกียบ จังหวัดฉะเชิงเทรา, 24160 Tambon Tha Takiap, Amphoe Tha Takiap, Chang Wat Chachoengsao 24160, Thailand']",125 km,2 hours 13 mins
4,แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')",บ่อทอง,"('บ่อทอง', 'ชลบุรี')","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']","['460/15, Moo 1, Sukkhaphan Thavorn Road Tambon Bo Thong, Amphoe Bo Thong, Chang Wat Chon Buri 20270, Thailand']",83.5 km,1 hour 26 mins
5,แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')",แกลง,"('แกลง', 'ระยอง')","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']","['อาคารที่ว่าการอำเภอแกลง, ถนนมาบใหญ่, ตำบลทางเกวียน อำเภอแกลง จังหวัดระยอง, 21110 Tambon Thang Kwian, Amphoe Klaeng, Chang Wat Rayong 21110, Thailand']",50.8 km,55 mins
6,แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')",เขาชะเมา,"('เขาชะเมา', 'ระยอง')","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']","['105 ม.1 ต Tambon Huai Thap Mon, Amphoe Khao Chamao, Chang Wat Rayong 21110, Thailand']",33.6 km,40 mins
7,แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')",ท่าใหม่,"('ท่าใหม่', 'จันทบุรี')","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']","['ถนนเทศบาลสาย 1, ตำบลขลุง อำเภอขลุง จังหวัดจันทบุรี, 22150 Tambon Khlung, Amphoe Khlung, Chang Wat Chanthaburi 22110, Thailand']",91.0 km,1 hour 26 mins
8,แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')",สอยดาว,"('สอยดาว', 'จันทบุรี')","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']","['46P9+VF4, Pa Tong, Soi Dao District, Chanthaburi 22180, Thailand']",115 km,1 hour 43 mins
9,นายายอาม,"('นายายอาม', 'จันทบุรี')",แก่งหางแมว,"('แก่งหางแมว', 'จันทบุรี')","['500 หมู่ 12, ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี, 22160 Tambon Na Yai Am, Amphoe Na Yai Am, Chang Wat Chanthaburi 22160, Thailand']","['เลขที่1 หมู่1 Tambon Khun Chong, Amphoe Kaeng Hang Maeo, Chang Wat Chanthaburi 22160, Thailand']",35.1 km,38 mins
10,นายายอาม,"('นายายอาม', 'จันทบุรี')",แกลง,"('แกลง', 'ระยอง')","['500 หมู่ 12, ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี, 22160 Tambon Na Yai Am, Amphoe Na Yai Am, Chang Wat Chanthaburi 22160, Thailand']","['อาคารที่ว่าการอำเภอแกลง, ถนนมาบใหญ่, ตำบลทางเกวียน อำเภอแกลง จังหวัดระยอง, 21110 Tambon Thang Kwian, Amphoe Klaeng, Chang Wat Rayong 21110, Thailand']",26.3 km,31 mins
11,นายายอาม,"('นายายอาม', 'จันทบุรี')",เขาชะเมา,"('เขาชะเมา', 'ระยอง')","['500 หมู่ 12, ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี, 22160 Tambon Na Yai Am, Amphoe Na Yai Am, Chang Wat Chanthaburi 22160, Thailand']","['105 ม.1 ต Tambon Huai Thap Mon, Amphoe Khao Chamao, Chang Wat Rayong 21110, Thailand']",39.6 km,41 mins
12,นายายอาม,"('นายายอาม', 'จันทบุรี')",ท่าใหม่,"('ท่าใหม่', 'จันทบุรี')","['500 หมู่ 12, ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี, 22160 Tambon Na Yai Am, Amphoe Na Yai Am, Chang Wat Chanthaburi 22160, Thailand']","['ถนนเทศบาลสาย 1, ตำบลขลุง อำเภอขลุง จังหวัดจันทบุรี, 22150 Tambon Khlung, Amphoe Khlung, Chang Wat Chanthaburi 22110, Thailand']",67.5 km,1 hour 2 mins
