,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองตราด,"('เมืองตราด', 'ตราด')",คลองใหญ่,"('คลองใหญ่', 'ตราด')","['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']","['QVGP+G88, Khlong Yai, Khlong Yai District, Trat 23110, Thailand']",77.5 km,1 hour 5 mins
1,เมืองตราด,"('เมืองตราด', 'ตราด')",เขาสมิง,"('เขาสมิง', 'ตราด')","['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']","['9C3M+CXW, Khao Saming, Khao Saming District, Trat 23130, Thailand']",18.1 km,19 mins
2,เมืองตราด,"('เมืองตราด', 'ตราด')",บ่อไร่,"('บ่อไร่', 'ตราด')","['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']","['999 ม.3 ถ.บ่อไร่-แสนตุ้ง Tambon Bo Phloi, Amphoe Bo Rai, Chang Wat Trat 23140, Thailand']",48.2 km,46 mins
3,เมืองตราด,"('เมืองตราด', 'ตราด')",แหลมงอบ,"('แหลมงอบ', 'ตราด')","['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']","['15,15/2 หมู่ที่ 1, ต.แหลมงอบ อ.แหลมงอบ จ.ตราด, 23120 Tambon Laem Ngop, Amphoe Laem Ngop, Chang Wat Trat 23120, Thailand']",16.5 km,19 mins
4,คลองใหญ่,"('คลองใหญ่', 'ตราด')",เมืองตราด,"('เมืองตราด', 'ตราด')","['QVGP+G88, Khlong Yai, Khlong Yai District, Trat 23110, Thailand']","['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']",77.8 km,1 hour 5 mins
5,เขาสมิง,"('เขาสมิง', 'ตราด')",เมืองตราด,"('เมืองตราด', 'ตราด')","['9C3M+CXW, Khao Saming, Khao Saming District, Trat 23130, Thailand']","['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']",17.4 km,18 mins
6,เขาสมิง,"('เขาสมิง', 'ตราด')",บ่อไร่,"('บ่อไร่', 'ตราด')","['9C3M+CXW, Khao Saming, Khao Saming District, Trat 23130, Thailand']","['999 ม.3 ถ.บ่อไร่-แสนตุ้ง Tambon Bo Phloi, Amphoe Bo Rai, Chang Wat Trat 23140, Thailand']",30.6 km,29 mins
7,เขาสมิง,"('เขาสมิง', 'ตราด')",แหลมงอบ,"('แหลมงอบ', 'ตราด')","['9C3M+CXW, Khao Saming, Khao Saming District, Trat 23130, Thailand']","['15,15/2 หมู่ที่ 1, ต.แหลมงอบ อ.แหลมงอบ จ.ตราด, 23120 Tambon Laem Ngop, Amphoe Laem Ngop, Chang Wat Trat 23120, Thailand']",32.2 km,33 mins
8,เขาสมิง,"('เขาสมิง', 'ตราด')",ขลุง,"('ขลุง', 'จันทบุรี')","['9C3M+CXW, Khao Saming, Khao Saming District, Trat 23130, Thailand']","['หมู่ 1, อาคารสำนักงานสาธารณสุขอำเภอขลุง, ตำบลขลุง อำเภอขลุง จังหวัดจันทบุรี, 22110 Tambon Khlung, Amphoe Khlung, Chang Wat Chanthaburi 22110, Thailand']",28.9 km,26 mins
9,บ่อไร่,"('บ่อไร่', 'ตราด')",เมืองตราด,"('เมืองตราด', 'ตราด')","['999 ม.3 ถ.บ่อไร่-แสนตุ้ง Tambon Bo Phloi, Amphoe Bo Rai, Chang Wat Trat 23140, Thailand']","['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']",48.3 km,47 mins
