,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองฉะเชิงเทรา,"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",หนองจอก,"('หนองจอก', 'กรุงเทพมหานคร')","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['140, ถนนเชื่อมสัมพันธ์, ตำบลกระทุ่มลาย อำเภอหนองจอก กรุงเทพมหานคร, 10530 Khwaeng Krathum Rai, Khet Nong Chok, Krung Thep Maha Nakhon 10530, Thailand']",32.5 km,38 mins
1,เมืองฉะเชิงเทรา,"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",ลาดกระบัง,"('ลาดกระบัง', 'กรุงเทพมหานคร')","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['Lat Krabang District office, Lat Krabang Road, Lat Krabang, Khet Lat Krabang, Bangkok, 10520, แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520, Thailand']",44.9 km,49 mins
2,เมืองฉะเชิงเทรา,"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",บางบ่อ,"('บางบ่อ', 'สมุทรปราการ')","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['180 Rattanarat Rd, Tambon Bang Bo, Amphoe Bang Bo, Chang Wat Samut Prakan 10560, Thailand']",43.7 km,50 mins
3,เมืองฉะเชิงเทรา,"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",บางเสาธง,"('บางเสาธง', 'สมุทรปราการ')","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['HRVJ+X23, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand']",50.2 km,56 mins
4,เมืองฉะเชิงเทรา,"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",บางคล้า,"('บางคล้า', 'ฉะเชิงเทรา')","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['ที่ว่าการอำเภอบางคล้า เลขที่ 48 ถนน Thetsaban Phatthana 1 Alley, Tambon Bang Khla, Amphoe Bang Khla, Chang Wat Chachoengsao 24110, Thailand']",25.6 km,27 mins
5,เมืองฉะเชิงเทรา,"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",บางน้ำเปรี้ยว,"('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['231 หมู่ที่ 5, ถนนทางหลวงหมายเลข 3124, ต.โพรงอากาศ อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา, 24150 Tambon Monthong, Amphoe Bang Nam Priao, Chang Wat Chachoengsao 24150, Thailand']",20.5 km,27 mins
6,เมืองฉะเชิงเทรา,"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",บางปะกง,"('บางปะกง', 'ฉะเชิงเทรา')","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['หมู่ 6, อาคารที่ว่าการอำเภอบางปะกง, ตำบลท่าสะอ้าน อำเภอบางปะกง จังหวัดฉะเชิงเทรา, 24130 Tambon Tha Sa An, Amphoe Bang Pakong, Chang Wat Chachoengsao 24130, Thailand']",19.9 km,30 mins
7,เมืองฉะเชิงเทรา,"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",บ้านโพธิ์,"('บ้านโพธิ์', 'ฉะเชิงเทรา')","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['333 ม.1 ตำบล บ้านโพธิ์ Tambon Ban Pho, Amphoe Ban Pho, Chang Wat Chachoengsao 24140, Thailand']",16.0 km,21 mins
8,เมืองฉะเชิงเทรา,"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')",คลองเขื่อน,"('คลองเขื่อน', 'ฉะเชิงเทรา')","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']","['หมู่ 3, ตําบลคลองเขื่อน อําเภอคลองเขื่อน จังหวัดฉะเชิงเทรา, 24000 Tambon Khlong Khuean, Amphoe Khlong Khuean, Chang Wat Chachoengsao 24000, Thailand']",20.2 km,26 mins
9,บางคล้า,"('บางคล้า', 'ฉะเชิงเทรา')",เมืองฉะเชิงเทรา,"('เมืองฉะเชิงเทรา', 'ฉะเชิงเทรา')","['ที่ว่าการอำเภอบางคล้า เลขที่ 48 ถนน Thetsaban Phatthana 1 Alley, Tambon Bang Khla, Amphoe Bang Khla, Chang Wat Chachoengsao 24110, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",25.7 km,28 mins
