,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,บ้านสร้าง,"('บ้านสร้าง', 'ปราจีนบุรี')",องครักษ์,"('องครักษ์', 'นครนายก')","['X6VC+WGC, Ban Sang, Ban Sang District, Prachin Buri 25150, Thailand']","['Sukhaphiban 11 Rd, Tambon Ongkharak, Amphoe Ongkharak, Chang Wat Nakhon Nayok 26120, Thailand']",38.9 km,43 mins
1,บ้านสร้าง,"('บ้านสร้าง', 'ปราจีนบุรี')",เมืองนครนายก,"('เมืองนครนายก', 'นครนายก')","['X6VC+WGC, Ban Sang, Ban Sang District, Prachin Buri 25150, Thailand']","['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']",28.7 km,34 mins
2,บ้านสร้าง,"('บ้านสร้าง', 'ปราจีนบุรี')",ปากพลี,"('ปากพลี', 'นครนายก')","['X6VC+WGC, Ban Sang, Ban Sang District, Prachin Buri 25150, Thailand']","['220 Suwannason Rd, Tambon Ko Wai, Amphoe Pak Phli, Chang Wat Nakhon Nayok 26130, Thailand']",26.3 km,32 mins
3,บ้านสร้าง,"('บ้านสร้าง', 'ปราจีนบุรี')",บางคล้า,"('บางคล้า', 'ฉะเชิงเทรา')","['X6VC+WGC, Ban Sang, Ban Sang District, Prachin Buri 25150, Thailand']","['ที่ว่าการอำเภอบางคล้า เลขที่ 48 ถนน Thetsaban Phatthana 1 Alley, Tambon Bang Khla, Amphoe Bang Khla, Chang Wat Chachoengsao 24110, Thailand']",34.7 km,42 mins
4,บ้านสร้าง,"('บ้านสร้าง', 'ปราจีนบุรี')",บางน้ำเปรี้ยว,"('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')","['X6VC+WGC, Ban Sang, Ban Sang District, Prachin Buri 25150, Thailand']","['231 หมู่ที่ 5, ถนนทางหลวงหมายเลข 3124, ต.โพรงอากาศ อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา, 24150 Tambon Monthong, Amphoe Bang Nam Priao, Chang Wat Chachoengsao 24150, Thailand']",29.4 km,32 mins
5,บ้านสร้าง,"('บ้านสร้าง', 'ปราจีนบุรี')",พนมสารคาม,"('พนมสารคาม', 'ฉะเชิงเทรา')","['X6VC+WGC, Ban Sang, Ban Sang District, Prachin Buri 25150, Thailand']","['ที่ว่าการอำเภอ P8VW+RJH, Chachoengsao-Kabinburi Rd, Tha Than, Amphoe Phanom Sarakham, Chang Wat Chachoengsao 24120, Thailand']",33.1 km,34 mins
6,บ้านสร้าง,"('บ้านสร้าง', 'ปราจีนบุรี')",ราชสาส์น,"('ราชสาส์น', 'ฉะเชิงเทรา')","['X6VC+WGC, Ban Sang, Ban Sang District, Prachin Buri 25150, Thailand']","['Q7JJ+QHH, Bang Kha, Ratchasan District, Chachoengsao 24120, Thailand']",29.0 km,29 mins
7,บ้านสร้าง,"('บ้านสร้าง', 'ปราจีนบุรี')",ศรีมหาโพธิ,"('ศรีมหาโพธิ', 'ปราจีนบุรี')","['X6VC+WGC, Ban Sang, Ban Sang District, Prachin Buri 25150, Thailand']","['XG87+J57, Si Maha Phot, Si Maha Phot District, Prachin Buri 25140, Thailand']",45.0 km,49 mins
8,บ้านสร้าง,"('บ้านสร้าง', 'ปราจีนบุรี')",คลองเขื่อน,"('คลองเขื่อน', 'ฉะเชิงเทรา')","['X6VC+WGC, Ban Sang, Ban Sang District, Prachin Buri 25150, Thailand']","['หมู่ 3, ตําบลคลองเขื่อน อําเภอคลองเขื่อน จังหวัดฉะเชิงเทรา, 24000 Tambon Khlong Khuean, Amphoe Khlong Khuean, Chang Wat Chachoengsao 24000, Thailand']",29.5 km,32 mins
9,บ้านสร้าง,"('บ้านสร้าง', 'ปราจีนบุรี')",เมืองปราจีนบุรี,"('เมืองปราจีนบุรี', 'ปราจีนบุรี')","['X6VC+WGC, Ban Sang, Ban Sang District, Prachin Buri 25150, Thailand']","['306/9 Prachin Anuson, Tambon Na Muang, Amphoe Mueang Prachin Buri, Chang Wat Prachin Buri 25000, Thailand']",23.0 km,25 mins
