,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,บ้านนา,"('บ้านนา', 'นครนายก')",องครักษ์,"('องครักษ์', 'นครนายก')","['หมู่ที่ 2, อาคารที่ว่าการอำเภอบ้านนา, ถนนสุวรรณศร, ตำบลบ้านนา อำเภอบ้านนา จังหวัดนครนายก, 26110 Amphoe Ban Na, Chang Wat Nakhon Nayok 26110, Thailand']","['Sukhaphiban 11 Rd, Tambon Ongkharak, Amphoe Ongkharak, Chang Wat Nakhon Nayok 26120, Thailand']",23.6 km,27 mins
1,บ้านนา,"('บ้านนา', 'นครนายก')",หนองเสือ,"('หนองเสือ', 'ปทุมธานี')","['หมู่ที่ 2, อาคารที่ว่าการอำเภอบ้านนา, ถนนสุวรรณศร, ตำบลบ้านนา อำเภอบ้านนา จังหวัดนครนายก, 26110 Amphoe Ban Na, Chang Wat Nakhon Nayok 26110, Thailand']","['180 หมู่ที่ 6 ถนน เลียบคลองสิบตะวันออก Tambon Bung Ba, Amphoe Nong Suea, Chang Wat Pathum Thani 12170, Thailand']",44.5 km,46 mins
2,บ้านนา,"('บ้านนา', 'นครนายก')",แก่งคอย,"('แก่งคอย', 'สระบุรี')","['หมู่ที่ 2, อาคารที่ว่าการอำเภอบ้านนา, ถนนสุวรรณศร, ตำบลบ้านนา อำเภอบ้านนา จังหวัดนครนายก, 26110 Amphoe Ban Na, Chang Wat Nakhon Nayok 26110, Thailand']","['อาคารที่ว่าการอำเภอแก่งคอย, ถนนพระพายัพ, ตำบลแก่งคอย อำเภอแก่งคอย จังหวัดสระบุรี, 18110 Tambon Kaeng Khoi, Amphoe Kaeng Khoi, Chang Wat Saraburi 18110, Thailand']",44.7 km,43 mins
3,บ้านนา,"('บ้านนา', 'นครนายก')",หนองแค,"('หนองแค', 'สระบุรี')","['หมู่ที่ 2, อาคารที่ว่าการอำเภอบ้านนา, ถนนสุวรรณศร, ตำบลบ้านนา อำเภอบ้านนา จังหวัดนครนายก, 26110 Amphoe Ban Na, Chang Wat Nakhon Nayok 26110, Thailand']","['67 ถนน Raphiphat, Tambon Nong Khae, Amphoe Nong Khae, Chang Wat Saraburi 18140, Thailand']",33.4 km,32 mins
4,บ้านนา,"('บ้านนา', 'นครนายก')",วิหารแดง,"('วิหารแดง', 'สระบุรี')","['หมู่ที่ 2, อาคารที่ว่าการอำเภอบ้านนา, ถนนสุวรรณศร, ตำบลบ้านนา อำเภอบ้านนา จังหวัดนครนายก, 26110 Amphoe Ban Na, Chang Wat Nakhon Nayok 26110, Thailand']","['64 หมู่ 1, ถนนสุวรรณศร, ตำบลหนองสรวง อำเภอวิหารแดง จังหวัดสระบุรี, 18150 Tambon Nong Sruang, Amphoe Wihan Daeng, Chang Wat Saraburi 18150, Thailand']",12.0 km,12 mins
5,บ้านนา,"('บ้านนา', 'นครนายก')",เมืองนครนายก,"('เมืองนครนายก', 'นครนายก')","['หมู่ที่ 2, อาคารที่ว่าการอำเภอบ้านนา, ถนนสุวรรณศร, ตำบลบ้านนา อำเภอบ้านนา จังหวัดนครนายก, 26110 Amphoe Ban Na, Chang Wat Nakhon Nayok 26110, Thailand']","['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']",20.1 km,26 mins
6,องครักษ์,"('องครักษ์', 'นครนายก')",บ้านนา,"('บ้านนา', 'นครนายก')","['Sukhaphiban 11 Rd, Tambon Ongkharak, Amphoe Ongkharak, Chang Wat Nakhon Nayok 26120, Thailand']","['หมู่ที่ 2, อาคารที่ว่าการอำเภอบ้านนา, ถนนสุวรรณศร, ตำบลบ้านนา อำเภอบ้านนา จังหวัดนครนายก, 26110 Amphoe Ban Na, Chang Wat Nakhon Nayok 26110, Thailand']",22.9 km,24 mins
7,องครักษ์,"('องครักษ์', 'นครนายก')",หนองจอก,"('หนองจอก', 'กรุงเทพมหานคร')","['Sukhaphiban 11 Rd, Tambon Ongkharak, Amphoe Ongkharak, Chang Wat Nakhon Nayok 26120, Thailand']","['140, ถนนเชื่อมสัมพันธ์, ตำบลกระทุ่มลาย อำเภอหนองจอก กรุงเทพมหานคร, 10530 Khwaeng Krathum Rai, Khet Nong Chok, Krung Thep Maha Nakhon 10530, Thailand']",39.5 km,44 mins
8,องครักษ์,"('องครักษ์', 'นครนายก')",หนองเสือ,"('หนองเสือ', 'ปทุมธานี')","['Sukhaphiban 11 Rd, Tambon Ongkharak, Amphoe Ongkharak, Chang Wat Nakhon Nayok 26120, Thailand']","['180 หมู่ที่ 6 ถนน เลียบคลองสิบตะวันออก Tambon Bung Ba, Amphoe Nong Suea, Chang Wat Pathum Thani 12170, Thailand']",27.6 km,30 mins
9,องครักษ์,"('องครักษ์', 'นครนายก')",ธัญบุรี,"('ธัญบุรี', 'ปทุมธานี')","['Sukhaphiban 11 Rd, Tambon Ongkharak, Amphoe Ongkharak, Chang Wat Nakhon Nayok 26120, Thailand']","['130 Moo 2 Rangsit - Nakhon Nayok Rd, Tambon Rangsit, Amphoe Thanyaburi, Chang Wat Pathum Thani 12110, Thailand']",34.5 km,37 mins
