,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองสระแก้ว,"('เมืองสระแก้ว', 'สระแก้ว')",วังน้ำเย็น,"('วังน้ำเย็น', 'สระแก้ว')","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['F5XJ+WRQ, Wang Nam Yen, Wang Nam Yen District, Sa Kaeo 27210, Thailand']",43.0 km,44 mins
1,เมืองสระแก้ว,"('เมืองสระแก้ว', 'สระแก้ว')",วัฒนานคร,"('วัฒนานคร', 'สระแก้ว')","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['P8X5+328, Watthana Nakhon, Watthana Nakhon District, Sa Kaeo 27160, Thailand']",31.6 km,30 mins
2,เมืองสระแก้ว,"('เมืองสระแก้ว', 'สระแก้ว')",เขาฉกรรจ์,"('เขาฉกรรจ์', 'สระแก้ว')","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['M32W+7M4, Khao Chakan, Khao Chakan District, Sa Kaeo 27000, Thailand']",21.7 km,25 mins
3,เมืองสระแก้ว,"('เมืองสระแก้ว', 'สระแก้ว')",กบินทร์บุรี,"('กบินทร์บุรี', 'ปราจีนบุรี')","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['WPW7+F32, Kabin, Kabin Buri District, Prachin Buri 25110, Thailand']",47.6 km,43 mins
4,เมืองสระแก้ว,"('เมืองสระแก้ว', 'สระแก้ว')",นาดี,"('นาดี', 'ปราจีนบุรี')","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['4Q5M+WXM, Sam Phan Ta, Na Di District, Prachin Buri 25220, Thailand']",60.4 km,58 mins
5,เมืองสระแก้ว,"('เมืองสระแก้ว', 'สระแก้ว')",ครบุรี,"('ครบุรี', 'นครราชสีมา')","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']","['G6FX+HC7, Chae, Khon Buri District, Nakhon Ratchasima 30250, Thailand']",158 km,2 hours 25 mins
6,คลองหาด,"('คลองหาด', 'สระแก้ว')",วังน้ำเย็น,"('วังน้ำเย็น', 'สระแก้ว')","['C7XX+HX4, Khlong Hat, Khlong Hat District, Sa Kaeo 27260, Thailand']","['F5XJ+WRQ, Wang Nam Yen, Wang Nam Yen District, Sa Kaeo 27210, Thailand']",20.5 km,20 mins
7,คลองหาด,"('คลองหาด', 'สระแก้ว')",วัฒนานคร,"('วัฒนานคร', 'สระแก้ว')","['C7XX+HX4, Khlong Hat, Khlong Hat District, Sa Kaeo 27260, Thailand']","['P8X5+328, Watthana Nakhon, Watthana Nakhon District, Sa Kaeo 27160, Thailand']",36.1 km,34 mins
8,คลองหาด,"('คลองหาด', 'สระแก้ว')",อรัญประเทศ,"('อรัญประเทศ', 'สระแก้ว')","['C7XX+HX4, Khlong Hat, Khlong Hat District, Sa Kaeo 27260, Thailand']","['PG26+7QF, Ban Mai Nong Sai, Aranyaprathet District, Sa Kaeo 27120, Thailand']",47.2 km,50 mins
9,คลองหาด,"('คลองหาด', 'สระแก้ว')",เขาฉกรรจ์,"('เขาฉกรรจ์', 'สระแก้ว')","['C7XX+HX4, Khlong Hat, Khlong Hat District, Sa Kaeo 27260, Thailand']","['M32W+7M4, Khao Chakan, Khao Chakan District, Sa Kaeo 27000, Thailand']",41.8 km,36 mins
10,คลองหาด,"('คลองหาด', 'สระแก้ว')",วังสมบูรณ์,"('วังสมบูรณ์', 'สระแก้ว')","['C7XX+HX4, Khlong Hat, Khlong Hat District, Sa Kaeo 27260, Thailand']","['95WX+RF9, Wang Mai, Wang Sombun District, Sa Kaeo 27250, Thailand']",17.2 km,17 mins
11,คลองหาด,"('คลองหาด', 'สระแก้ว')",สอยดาว,"('สอยดาว', 'จันทบุรี')","['C7XX+HX4, Khlong Hat, Khlong Hat District, Sa Kaeo 27260, Thailand']","['46P9+VF4, Pa Tong, Soi Dao District, Chanthaburi 22180, Thailand']",40.6 km,39 mins
12,ตาพระยา,"('ตาพระยา', 'สระแก้ว')",วัฒนานคร,"('วัฒนานคร', 'สระแก้ว')","['2R44+97G, Ta Phraya, Ta Phraya District, Sa Kaeo 27180, Thailand']","['P8X5+328, Watthana Nakhon, Watthana Nakhon District, Sa Kaeo 27160, Thailand']",69.1 km,1 hour 0 mins
13,ตาพระยา,"('ตาพระยา', 'สระแก้ว')",โคกสูง,"('โคกสูง', 'สระแก้ว')","['2R44+97G, Ta Phraya, Ta Phraya District, Sa Kaeo 27180, Thailand']","['RJM7+4M5, Nong Muang, Khok Sung District, Sa Kaeo 27180, Thailand']",29.4 km,26 mins
14,ตาพระยา,"('ตาพระยา', 'สระแก้ว')",เสิงสาง,"('เสิงสาง', 'นครราชสีมา')","['2R44+97G, Ta Phraya, Ta Phraya District, Sa Kaeo 27180, Thailand']","['CFG6+F5G, Soeng Sang, Soeng Sang District, Nakhon Ratchasima 30330, Thailand']",97.1 km,1 hour 32 mins
15,ตาพระยา,"('ตาพระยา', 'สระแก้ว')",ละหานทราย,"('ละหานทราย', 'บุรีรัมย์')","['2R44+97G, Ta Phraya, Ta Phraya District, Sa Kaeo 27180, Thailand']","['อาคารที่ว่าการอำเภอละหานทราย, ถนนละหานทราย-บ้านกรวด, ตำบลละหานทราย อำเภอละหานทราย จังหวัดบุรีรัมย์, 31170 Tambon Lahan Sai, Amphoe Lahan Sai, Chang Wat Buri Ram 31170, Thailand']",69.3 km,1 hour 5 mins
16,ตาพระยา,"('ตาพระยา', 'สระแก้ว')",โนนดินแดง,"('โนนดินแดง', 'บุรีรัมย์')","['2R44+97G, Ta Phraya, Ta Phraya District, Sa Kaeo 27180, Thailand']","['อาคารที่ว่าการอำเภอโนนดินแดง, ตำบลโนนดินแดง อำเภอโนนดินแดง จังหวัดบุรีรัมย์, 31260 Tambon Non Din Daeng, Amphoe Non Din Daeng, Chang Wat Buri Ram 31260, Thailand']",52.0 km,49 mins
17,วังน้ำเย็น,"('วังน้ำเย็น', 'สระแก้ว')",เมืองสระแก้ว,"('เมืองสระแก้ว', 'สระแก้ว')","['F5XJ+WRQ, Wang Nam Yen, Wang Nam Yen District, Sa Kaeo 27210, Thailand']","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']",39.8 km,36 mins
18,วังน้ำเย็น,"('วังน้ำเย็น', 'สระแก้ว')",คลองหาด,"('คลองหาด', 'สระแก้ว')","['F5XJ+WRQ, Wang Nam Yen, Wang Nam Yen District, Sa Kaeo 27210, Thailand']","['C7XX+HX4, Khlong Hat, Khlong Hat District, Sa Kaeo 27260, Thailand']",21.9 km,21 mins
19,วังน้ำเย็น,"('วังน้ำเย็น', 'สระแก้ว')",วัฒนานคร,"('วัฒนานคร', 'สระแก้ว')","['F5XJ+WRQ, Wang Nam Yen, Wang Nam Yen District, Sa Kaeo 27210, Thailand']","['P8X5+328, Watthana Nakhon, Watthana Nakhon District, Sa Kaeo 27160, Thailand']",42.2 km,42 mins
20,วังน้ำเย็น,"('วังน้ำเย็น', 'สระแก้ว')",เขาฉกรรจ์,"('เขาฉกรรจ์', 'สระแก้ว')","['F5XJ+WRQ, Wang Nam Yen, Wang Nam Yen District, Sa Kaeo 27210, Thailand']","['M32W+7M4, Khao Chakan, Khao Chakan District, Sa Kaeo 27000, Thailand']",21.8 km,19 mins
21,วังน้ำเย็น,"('วังน้ำเย็น', 'สระแก้ว')",วังสมบูรณ์,"('วังสมบูรณ์', 'สระแก้ว')","['F5XJ+WRQ, Wang Nam Yen, Wang Nam Yen District, Sa Kaeo 27210, Thailand']","['95WX+RF9, Wang Mai, Wang Sombun District, Sa Kaeo 27250, Thailand']",14.1 km,13 mins
