,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองนครราชสีมา,"('เมืองนครราชสีมา', 'นครราชสีมา')",ปักธงชัย,"('ปักธงชัย', 'นครราชสีมา')","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['P29C+RGG, Sueb Siri Rd, Tambon Mueang Pak, Amphoe Pak Thong Chai, Chang Wat Nakhon Ratchasima 30150, Thailand']",34.3 km,40 mins
1,เมืองนครราชสีมา,"('เมืองนครราชสีมา', 'นครราชสีมา')",สูงเนิน,"('สูงเนิน', 'นครราชสีมา')","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['VRXC+J65, Sung Noen, Sung Noen District, Nakhon Ratchasima 30170, Thailand']",36.5 km,41 mins
2,เมืองนครราชสีมา,"('เมืองนครราชสีมา', 'นครราชสีมา')",โชคชัย,"('โชคชัย', 'นครราชสีมา')","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['P5J7+W8M, Chok Chai District, Nakhon Ratchasima 30190, Thailand']",31.4 km,39 mins
3,เมืองนครราชสีมา,"('เมืองนครราชสีมา', 'นครราชสีมา')",โนนไทย,"('โนนไทย', 'นครราชสีมา')","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['53X9+8XH, Non Thai, Non Thai District, Nakhon Ratchasima 30220, Thailand']",31.1 km,37 mins
4,เมืองนครราชสีมา,"('เมืองนครราชสีมา', 'นครราชสีมา')",โนนสูง,"('โนนสูง', 'นครราชสีมา')","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['ที่ว่าการ 57H4+WRM, Tambon Non Sung, Amphoe Non Sung, Chang Wat Nakhon Ratchasima 30160, Thailand']",39.3 km,43 mins
5,เมืองนครราชสีมา,"('เมืองนครราชสีมา', 'นครราชสีมา')",ขามทะเลสอ,"('ขามทะเลสอ', 'นครราชสีมา')","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['XW6X+828, Kham Thale So, Kham Thale So District, Nakhon Ratchasima 30280, Thailand']",25.4 km,30 mins
6,เมืองนครราชสีมา,"('เมืองนครราชสีมา', 'นครราชสีมา')",เฉลิมพระเกียรติ,"('เฉลิมพระเกียรติ', 'นครราชสีมา')","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']","['273C+VRX, Tha Chang, Chaloem Phra Kiat District, Nakhon Ratchasima 30230, Thailand']",21.9 km,25 mins
7,ครบุรี,"('ครบุรี', 'นครราชสีมา')",เมืองสระแก้ว,"('เมืองสระแก้ว', 'สระแก้ว')","['G6FX+HC7, Chae, Khon Buri District, Nakhon Ratchasima 30250, Thailand']","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']",155 km,2 hours 25 mins
8,ครบุรี,"('ครบุรี', 'นครราชสีมา')",วัฒนานคร,"('วัฒนานคร', 'สระแก้ว')","['G6FX+HC7, Chae, Khon Buri District, Nakhon Ratchasima 30250, Thailand']","['P8X5+328, Watthana Nakhon, Watthana Nakhon District, Sa Kaeo 27160, Thailand']",172 km,2 hours 43 mins
9,ครบุรี,"('ครบุรี', 'นครราชสีมา')",นาดี,"('นาดี', 'ปราจีนบุรี')","['G6FX+HC7, Chae, Khon Buri District, Nakhon Ratchasima 30250, Thailand']","['4Q5M+WXM, Sam Phan Ta, Na Di District, Prachin Buri 25220, Thailand']",115 km,1 hour 46 mins
10,ครบุรี,"('ครบุรี', 'นครราชสีมา')",ปักธงชัย,"('ปักธงชัย', 'นครราชสีมา')","['G6FX+HC7, Chae, Khon Buri District, Nakhon Ratchasima 30250, Thailand']","['P29C+RGG, Sueb Siri Rd, Tambon Mueang Pak, Amphoe Pak Thong Chai, Chang Wat Nakhon Ratchasima 30150, Thailand']",47.4 km,45 mins
11,ครบุรี,"('ครบุรี', 'นครราชสีมา')",เสิงสาง,"('เสิงสาง', 'นครราชสีมา')","['G6FX+HC7, Chae, Khon Buri District, Nakhon Ratchasima 30250, Thailand']","['CFG6+F5G, Soeng Sang, Soeng Sang District, Nakhon Ratchasima 30330, Thailand']",29.3 km,27 mins
12,ครบุรี,"('ครบุรี', 'นครราชสีมา')",โชคชัย,"('โชคชัย', 'นครราชสีมา')","['G6FX+HC7, Chae, Khon Buri District, Nakhon Ratchasima 30250, Thailand']","['P5J7+W8M, Chok Chai District, Nakhon Ratchasima 30190, Thailand']",29.1 km,28 mins
