,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,นางรอง,"('นางรอง', 'บุรีรัมย์')",เสิงสาง,"('เสิงสาง', 'นครราชสีมา')","['JQHV+F79, Nang Rong District, Buri Ram 31110, Thailand']","['CFG6+F5G, Soeng Sang, Soeng Sang District, Nakhon Ratchasima 30330, Thailand']",56.0 km,55 mins
1,นางรอง,"('นางรอง', 'บุรีรัมย์')",หนองหงส์,"('หนองหงส์', 'บุรีรัมย์')","['JQHV+F79, Nang Rong District, Buri Ram 31110, Thailand']","['อาคารที่ว่าการอำเภอหนองหงส์, ถนนศรีสง่า-โนนแดง, ตำบลสระแก้ว อำเภอหนองหงส์ จังหวัดบุรีรัมย์, 31240 Tambon Sa Kaeo, Amphoe Nong Hong, Chang Wat Buri Ram 31240, Thailand']",34.0 km,41 mins
2,นางรอง,"('นางรอง', 'บุรีรัมย์')",เมืองบุรีรัมย์,"('เมืองบุรีรัมย์', 'บุรีรัมย์')","['JQHV+F79, Nang Rong District, Buri Ram 31110, Thailand']","['234/6 Chira 13 Alley, Tambon Nai Mueang, Amphoe Mueang Buri Ram, Chang Wat Buri Ram 31000, Thailand']",55.7 km,52 mins
3,นางรอง,"('นางรอง', 'บุรีรัมย์')",หนองกี่,"('หนองกี่', 'บุรีรัมย์')","['JQHV+F79, Nang Rong District, Buri Ram 31110, Thailand']","['MGQM+5GJ, Thung Kratat Phatthana, Nong Ki District, Buri Ram 31210, Thailand']",30.6 km,32 mins
4,นางรอง,"('นางรอง', 'บุรีรัมย์')",ละหานทราย,"('ละหานทราย', 'บุรีรัมย์')","['JQHV+F79, Nang Rong District, Buri Ram 31110, Thailand']","['อาคารที่ว่าการอำเภอละหานทราย, ถนนละหานทราย-บ้านกรวด, ตำบลละหานทราย อำเภอละหานทราย จังหวัดบุรีรัมย์, 31170 Tambon Lahan Sai, Amphoe Lahan Sai, Chang Wat Buri Ram 31170, Thailand']",27.4 km,30 mins
5,นางรอง,"('นางรอง', 'บุรีรัมย์')",ประโคนชัย,"('ประโคนชัย', 'บุรีรัมย์')","['JQHV+F79, Nang Rong District, Buri Ram 31110, Thailand']","['J44C+9CX, Khok Makham, Prakhon Chai District, Buri Ram 31140, Thailand']",36.4 km,36 mins
6,นางรอง,"('นางรอง', 'บุรีรัมย์')",ปะคำ,"('ปะคำ', 'บุรีรัมย์')","['JQHV+F79, Nang Rong District, Buri Ram 31110, Thailand']","['หมู่ 9, อาคารที่ว่าการอำเภอปะคำ, ตำบลปะคำ อำเภอปะคำ จังหวัดบุรีรัมย์, 31220 Tambon Pakham, Amphoe Pakham, Chang Wat Buri Ram 31220, Thailand']",23.3 km,20 mins
7,นางรอง,"('นางรอง', 'บุรีรัมย์')",โนนสุวรรณ,"('โนนสุวรรณ', 'บุรีรัมย์')","['JQHV+F79, Nang Rong District, Buri Ram 31110, Thailand']","['หมู่ 15 บ้านโนนสุริยา, อาคารที่ว่าการอำเภอโนนสุวรรณ, ตำบลโนนสุวรรณ อำเภอโนนสุวรรณ จังหวัดบุรีรัมย์, 31110 Tambon Non Suwan, Amphoe Non Suwan, Chang Wat Buri Ram 31110, Thailand']",26.3 km,27 mins
8,นางรอง,"('นางรอง', 'บุรีรัมย์')",ชำนิ,"('ชำนิ', 'บุรีรัมย์')","['JQHV+F79, Nang Rong District, Buri Ram 31110, Thailand']","['49 หมู่8, ตำบลชำนิ อำเภอชำนิ จังหวัดบุรีรัมย์, 31110 Tambon Chamni, Amphoe Chamni, Chang Wat Buri Ram 31110, Thailand']",20.9 km,25 mins
9,นางรอง,"('นางรอง', 'บุรีรัมย์')",เฉลิมพระเกียรติ,"('เฉลิมพระเกียรติ', 'บุรีรัมย์')","['JQHV+F79, Nang Rong District, Buri Ram 31110, Thailand']","['88/1, Moo 3, Ban Don Nong Haen Phatthana, Tambon Ta Pak, Amphoe Chaloem Phra Kiat, Buri Ram, 31110, ตำบล ตาเป๊ก อำเภอ เฉลิมพระเกียรติ บุรีรัมย์ 31110, Thailand']",22.6 km,26 mins
10,บ้านกรวด,"('บ้านกรวด', 'บุรีรัมย์')",พนมดงรัก,"('พนมดงรัก', 'สุรินทร์')","['30 2445, Tambon Ban Kruat, Amphoe Ban Kruat, Chang Wat Buri Ram 31180, Thailand']","['C8W3+QVP, Bak Dai, Phanom Dong Rak District, Surin 32140, Thailand']",25.0 km,27 mins
11,บ้านกรวด,"('บ้านกรวด', 'บุรีรัมย์')",ละหานทราย,"('ละหานทราย', 'บุรีรัมย์')","['30 2445, Tambon Ban Kruat, Amphoe Ban Kruat, Chang Wat Buri Ram 31180, Thailand']","['อาคารที่ว่าการอำเภอละหานทราย, ถนนละหานทราย-บ้านกรวด, ตำบลละหานทราย อำเภอละหานทราย จังหวัดบุรีรัมย์, 31170 Tambon Lahan Sai, Amphoe Lahan Sai, Chang Wat Buri Ram 31170, Thailand']",29.0 km,33 mins
12,บ้านกรวด,"('บ้านกรวด', 'บุรีรัมย์')",ประโคนชัย,"('ประโคนชัย', 'บุรีรัมย์')","['30 2445, Tambon Ban Kruat, Amphoe Ban Kruat, Chang Wat Buri Ram 31180, Thailand']","['J44C+9CX, Khok Makham, Prakhon Chai District, Buri Ram 31140, Thailand']",26.5 km,28 mins
13,บ้านกรวด,"('บ้านกรวด', 'บุรีรัมย์')",ปราสาท,"('ปราสาท', 'สุรินทร์')","['30 2445, Tambon Ban Kruat, Amphoe Ban Kruat, Chang Wat Buri Ram 31180, Thailand']","['หมู่ ที่ 1, ตำบล กังแอน อำเภอปราสาท สุรินทร์ 32140, Thailand']",60.0 km,54 mins
14,พุทไธสง,"('พุทไธสง', 'บุรีรัมย์')",หนองสองห้อง,"('หนองสองห้อง', 'ขอนแก่น')","['G2XF+HRQ, Phutthaisong, Phutthaisong District, Buri Ram 31120, Thailand']","['PQMW+C4X ขก.3025 Tambon Nong Pai Lom, Amphoe Nong Song Hong, Chang Wat Khon Kaen 40190, Thailand']",40.5 km,40 mins
