,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,สำโรงทาบ,"('สำโรงทาบ', 'สุรินทร์')",ศรีณรงค์,"('ศรีณรงค์', 'สุรินทร์')","['หมู่ 1, อาคารที่ว่าการอำเภอสำโรงทาบ, ถนนบำรุงพัฒนา, ตำบลหนองไผ่ล้อม อำเภอสำโรงทาบ จังหวัดสุรินทร์, 32170 Tambon Nong Phai Lom, Amphoe Samrong Thap, Chang Wat Surin 32170, Thailand']","['QV8F+VXG, Narong, Si Narong District, Surin 32150, Thailand']",46.3 km,44 mins
1,สำโรงทาบ,"('สำโรงทาบ', 'สุรินทร์')",โนนนารายณ์,"('โนนนารายณ์', 'สุรินทร์')","['หมู่ 1, อาคารที่ว่าการอำเภอสำโรงทาบ, ถนนบำรุงพัฒนา, ตำบลหนองไผ่ล้อม อำเภอสำโรงทาบ จังหวัดสุรินทร์, 32170 Tambon Nong Phai Lom, Amphoe Samrong Thap, Chang Wat Surin 32170, Thailand']","['1 ถนน โนนนารายณ์ รัตนบุรี Tambon Ra Wiang, Amphoe Non Narai, Chang Wat Surin 32130, Thailand']",30.4 km,31 mins
2,สำโรงทาบ,"('สำโรงทาบ', 'สุรินทร์')",เมืองจันทร์,"('เมืองจันทร์', 'ศรีสะเกษ')","['หมู่ 1, อาคารที่ว่าการอำเภอสำโรงทาบ, ถนนบำรุงพัฒนา, ตำบลหนองไผ่ล้อม อำเภอสำโรงทาบ จังหวัดสุรินทร์, 32170 Tambon Nong Phai Lom, Amphoe Samrong Thap, Chang Wat Surin 32170, Thailand']","['53R3+G2F, Nong Yai, Mueang Chan District, Si Sa Ket 33120, Thailand']",31.2 km,35 mins
3,สำโรงทาบ,"('สำโรงทาบ', 'สุรินทร์')",สนม,"('สนม', 'สุรินทร์')","['หมู่ 1, อาคารที่ว่าการอำเภอสำโรงทาบ, ถนนบำรุงพัฒนา, ตำบลหนองไผ่ล้อม อำเภอสำโรงทาบ จังหวัดสุรินทร์, 32170 Tambon Nong Phai Lom, Amphoe Samrong Thap, Chang Wat Surin 32170, Thailand']","['5QX6+9M5, Sanom, Sanom District, Surin 32160, Thailand']",38.0 km,41 mins
4,สำโรงทาบ,"('สำโรงทาบ', 'สุรินทร์')",ศีขรภูมิ,"('ศีขรภูมิ', 'สุรินทร์')","['หมู่ 1, อาคารที่ว่าการอำเภอสำโรงทาบ, ถนนบำรุงพัฒนา, ตำบลหนองไผ่ล้อม อำเภอสำโรงทาบ จังหวัดสุรินทร์, 32170 Tambon Nong Phai Lom, Amphoe Samrong Thap, Chang Wat Surin 32170, Thailand']","['20/1 หมู่13, ตำบลกุดหวาย อำเอภศีขรภูมิ จังหวัดสุรินทร์, 32110 Tambon Ra Ngang, Amphoe Sikhoraphum, Chang Wat Surin 32110, Thailand']",20.2 km,20 mins
5,สำโรงทาบ,"('สำโรงทาบ', 'สุรินทร์')",ปรางค์กู่,"('ปรางค์กู่', 'ศรีสะเกษ')","['หมู่ 1, อาคารที่ว่าการอำเภอสำโรงทาบ, ถนนบำรุงพัฒนา, ตำบลหนองไผ่ล้อม อำเภอสำโรงทาบ จังหวัดสุรินทร์, 32170 Tambon Nong Phai Lom, Amphoe Samrong Thap, Chang Wat Surin 32170, Thailand']","['V24Q+XP7, Phimai, Prang Ku District, Si Sa Ket 33170, Thailand']",29.8 km,32 mins
6,สำโรงทาบ,"('สำโรงทาบ', 'สุรินทร์')",ห้วยทับทัน,"('ห้วยทับทัน', 'ศรีสะเกษ')","['หมู่ 1, อาคารที่ว่าการอำเภอสำโรงทาบ, ถนนบำรุงพัฒนา, ตำบลหนองไผ่ล้อม อำเภอสำโรงทาบ จังหวัดสุรินทร์, 32170 Tambon Nong Phai Lom, Amphoe Samrong Thap, Chang Wat Surin 32170, Thailand']","['322F+C8H, Huai Thap Than, Huai Thap Than District, Si Sa Ket 33210, Thailand']",12.5 km,13 mins
7,บัวเชด,"('บัวเชด', 'สุรินทร์')",ภูสิงห์,"('ภูสิงห์', 'ศรีสะเกษ')","['GWHW+573, Buachet, Buachet District, Surin 32230, Thailand']","['G4WJ+JHP, Huai Tik Chu, Phu Sing District, Si Sa Ket 33140, Thailand']",26.4 km,36 mins
8,บัวเชด,"('บัวเชด', 'สุรินทร์')",สังขะ,"('สังขะ', 'สุรินทร์')","['GWHW+573, Buachet, Buachet District, Surin 32230, Thailand']","['233/1 หมู่ 1, ถนนโลห์สุวรรณ, ตำบลสังขะ อำเภอสังขะ จังหวัดสุรินทร์, 32150 Tambon Sangkha, Amphoe Sangkha, Chang Wat Surin 32150, Thailand']",18.5 km,21 mins
9,บัวเชด,"('บัวเชด', 'สุรินทร์')",ขุขันธ์,"('ขุขันธ์', 'ศรีสะเกษ')","['GWHW+573, Buachet, Buachet District, Surin 32230, Thailand']","['P57X+F96, Huai Nuea, Khukhan District, Si Sa Ket 33140, Thailand']",40.2 km,49 mins
