,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองศรีสะเกษ,"('เมืองศรีสะเกษ', 'ศรีสะเกษ')",น้ำเกลี้ยง,"('น้ำเกลี้ยง', 'ศรีสะเกษ')","['เลขที่ 278 ชุมชนกุดหวาย เทศบาลเมืองศรีสะเกษ, ตำบลศรีเกษ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ, 33000 Tambon Mueang Nuea, Amphoe Mueang Si Sa Ket, Chang Wat Si Sa Ket 33000, Thailand']","['WGG7+V7C, Nam Kliang, Nam Kliang District, Si Sa Ket 33130, Thailand']",35.2 km,43 mins
1,เมืองศรีสะเกษ,"('เมืองศรีสะเกษ', 'ศรีสะเกษ')",วังหิน,"('วังหิน', 'ศรีสะเกษ')","['เลขที่ 278 ชุมชนกุดหวาย เทศบาลเมืองศรีสะเกษ, ตำบลศรีเกษ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ, 33000 Tambon Mueang Nuea, Amphoe Mueang Si Sa Ket, Chang Wat Si Sa Ket 33000, Thailand']","['หมู่ 19, อาคารที่ว่าการอำเภอวังหิน, ตำบลบุสูง อำเภอวังหิน จังหวัดศรีสะเกษ, 33270 Tambon Bu Sung, Amphoe Wang Hin, Chang Wat Si Sa Ket 33270, Thailand']",25.6 km,28 mins
2,เมืองศรีสะเกษ,"('เมืองศรีสะเกษ', 'ศรีสะเกษ')",พยุห์,"('พยุห์', 'ศรีสะเกษ')","['เลขที่ 278 ชุมชนกุดหวาย เทศบาลเมืองศรีสะเกษ, ตำบลศรีเกษ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ, 33000 Tambon Mueang Nuea, Amphoe Mueang Si Sa Ket, Chang Wat Si Sa Ket 33000, Thailand']","['W93R+GRW, Phayu, Phayu District, Si Sa Ket 33230, Thailand']",27.6 km,31 mins
3,เมืองศรีสะเกษ,"('เมืองศรีสะเกษ', 'ศรีสะเกษ')",ยางชุมน้อย,"('ยางชุมน้อย', 'ศรีสะเกษ')","['เลขที่ 278 ชุมชนกุดหวาย เทศบาลเมืองศรีสะเกษ, ตำบลศรีเกษ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ, 33000 Tambon Mueang Nuea, Amphoe Mueang Si Sa Ket, Chang Wat Si Sa Ket 33000, Thailand']","['7C62+PC6, Yang Chum Noi, Yang Chum Noi District, Si Sa Ket 33190, Thailand']",23.0 km,29 mins
4,เมืองศรีสะเกษ,"('เมืองศรีสะเกษ', 'ศรีสะเกษ')",กันทรารมย์,"('กันทรารมย์', 'ศรีสะเกษ')","['เลขที่ 278 ชุมชนกุดหวาย เทศบาลเมืองศรีสะเกษ, ตำบลศรีเกษ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ, 33000 Tambon Mueang Nuea, Amphoe Mueang Si Sa Ket, Chang Wat Si Sa Ket 33000, Thailand']","['4H4C+F47, Dun, Kanthararom District, Si Sa Ket 33130, Thailand']",28.1 km,30 mins
5,เมืองศรีสะเกษ,"('เมืองศรีสะเกษ', 'ศรีสะเกษ')",ราษีไศล,"('ราษีไศล', 'ศรีสะเกษ')","['เลขที่ 278 ชุมชนกุดหวาย เทศบาลเมืองศรีสะเกษ, ตำบลศรีเกษ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ, 33000 Tambon Mueang Nuea, Amphoe Mueang Si Sa Ket, Chang Wat Si Sa Ket 33000, Thailand']","['ที่ทำการปกครอง Borihan Rd, Tambon Mueang Khong, Amphoe Rasi Salai, Chang Wat Si Sa Ket 33160, Thailand']",39.5 km,38 mins
6,เมืองศรีสะเกษ,"('เมืองศรีสะเกษ', 'ศรีสะเกษ')",อุทุมพรพิสัย,"('อุทุมพรพิสัย', 'ศรีสะเกษ')","['เลขที่ 278 ชุมชนกุดหวาย เทศบาลเมืองศรีสะเกษ, ตำบลศรีเกษ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ, 33000 Tambon Mueang Nuea, Amphoe Mueang Si Sa Ket, Chang Wat Si Sa Ket 33000, Thailand']","['446Q+CXF, Kamphaeng, Uthumphon Phisai District, Si Sa Ket 33120, Thailand']",25.9 km,26 mins
7,น้ำเกลี้ยง,"('น้ำเกลี้ยง', 'ศรีสะเกษ')",เมืองศรีสะเกษ,"('เมืองศรีสะเกษ', 'ศรีสะเกษ')","['WGG7+V7C, Nam Kliang, Nam Kliang District, Si Sa Ket 33130, Thailand']","['เลขที่ 278 ชุมชนกุดหวาย เทศบาลเมืองศรีสะเกษ, ตำบลศรีเกษ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ, 33000 Tambon Mueang Nuea, Amphoe Mueang Si Sa Ket, Chang Wat Si Sa Ket 33000, Thailand']",35.2 km,44 mins
8,น้ำเกลี้ยง,"('น้ำเกลี้ยง', 'ศรีสะเกษ')",เบญจลักษ์,"('เบญจลักษ์', 'ศรีสะเกษ')","['WGG7+V7C, Nam Kliang, Nam Kliang District, Si Sa Ket 33130, Thailand']","['QMWC+825, Siao, Benchalak District, Si Sa Ket 33110, Thailand']",32.7 km,41 mins
9,น้ำเกลี้ยง,"('น้ำเกลี้ยง', 'ศรีสะเกษ')",พยุห์,"('พยุห์', 'ศรีสะเกษ')","['WGG7+V7C, Nam Kliang, Nam Kliang District, Si Sa Ket 33130, Thailand']","['W93R+GRW, Phayu, Phayu District, Si Sa Ket 33230, Thailand']",17.7 km,21 mins
10,น้ำเกลี้ยง,"('น้ำเกลี้ยง', 'ศรีสะเกษ')",กันทรารมย์,"('กันทรารมย์', 'ศรีสะเกษ')","['WGG7+V7C, Nam Kliang, Nam Kliang District, Si Sa Ket 33130, Thailand']","['4H4C+F47, Dun, Kanthararom District, Si Sa Ket 33130, Thailand']",27.0 km,28 mins
11,น้ำเกลี้ยง,"('น้ำเกลี้ยง', 'ศรีสะเกษ')",กันทรลักษ์,"('กันทรลักษ์', 'ศรีสะเกษ')","['WGG7+V7C, Nam Kliang, Nam Kliang District, Si Sa Ket 33130, Thailand']","['JMR2+GFJ, Nam Om, Kantharalak District, Si Sa Ket 33110, Thailand']",50.2 km,50 mins
12,น้ำเกลี้ยง,"('น้ำเกลี้ยง', 'ศรีสะเกษ')",ไพรบึง,"('ไพรบึง', 'ศรีสะเกษ')","['WGG7+V7C, Nam Kliang, Nam Kliang District, Si Sa Ket 33130, Thailand']","['P9X7+72P, Phrai Bueng, Phrai Bueng District, Si Sa Ket 33180, Thailand']",36.0 km,36 mins
13,น้ำเกลี้ยง,"('น้ำเกลี้ยง', 'ศรีสะเกษ')",โนนคูณ,"('โนนคูณ', 'ศรีสะเกษ')","['WGG7+V7C, Nam Kliang, Nam Kliang District, Si Sa Ket 33130, Thailand']","['1 หมู่ที่ 17, ตำบลโนนค้อ อำเภอโนนคูณ จังหวัดศรีสะเกษ, 33250 Tambon Non Kho, Amphoe Non Khun, Chang Wat Si Sa Ket 33250, Thailand']",28.9 km,37 mins
14,น้ำเกลี้ยง,"('น้ำเกลี้ยง', 'ศรีสะเกษ')",ศรีรัตนะ,"('ศรีรัตนะ', 'ศรีสะเกษ')","['WGG7+V7C, Nam Kliang, Nam Kliang District, Si Sa Ket 33130, Thailand']","['ที่ว่าการอำเภอศรีรัตนะ, Tambon Si Kaeo, Amphoe Si Rattana, Chang Wat Si Sa Ket 33240, Thailand']",23.5 km,24 mins
15,วังหิน,"('วังหิน', 'ศรีสะเกษ')",เมืองศรีสะเกษ,"('เมืองศรีสะเกษ', 'ศรีสะเกษ')","['หมู่ 19, อาคารที่ว่าการอำเภอวังหิน, ตำบลบุสูง อำเภอวังหิน จังหวัดศรีสะเกษ, 33270 Tambon Bu Sung, Amphoe Wang Hin, Chang Wat Si Sa Ket 33270, Thailand']","['เลขที่ 278 ชุมชนกุดหวาย เทศบาลเมืองศรีสะเกษ, ตำบลศรีเกษ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ, 33000 Tambon Mueang Nuea, Amphoe Mueang Si Sa Ket, Chang Wat Si Sa Ket 33000, Thailand']",26.3 km,28 mins
16,วังหิน,"('วังหิน', 'ศรีสะเกษ')",พยุห์,"('พยุห์', 'ศรีสะเกษ')","['หมู่ 19, อาคารที่ว่าการอำเภอวังหิน, ตำบลบุสูง อำเภอวังหิน จังหวัดศรีสะเกษ, 33270 Tambon Bu Sung, Amphoe Wang Hin, Chang Wat Si Sa Ket 33270, Thailand']","['W93R+GRW, Phayu, Phayu District, Si Sa Ket 33230, Thailand']",21.9 km,29 mins
17,วังหิน,"('วังหิน', 'ศรีสะเกษ')",ขุขันธ์,"('ขุขันธ์', 'ศรีสะเกษ')","['หมู่ 19, อาคารที่ว่าการอำเภอวังหิน, ตำบลบุสูง อำเภอวังหิน จังหวัดศรีสะเกษ, 33270 Tambon Bu Sung, Amphoe Wang Hin, Chang Wat Si Sa Ket 33270, Thailand']","['P57X+F96, Huai Nuea, Khukhan District, Si Sa Ket 33140, Thailand']",31.3 km,32 mins
18,วังหิน,"('วังหิน', 'ศรีสะเกษ')",ไพรบึง,"('ไพรบึง', 'ศรีสะเกษ')","['หมู่ 19, อาคารที่ว่าการอำเภอวังหิน, ตำบลบุสูง อำเภอวังหิน จังหวัดศรีสะเกษ, 33270 Tambon Bu Sung, Amphoe Wang Hin, Chang Wat Si Sa Ket 33270, Thailand']","['P9X7+72P, Phrai Bueng, Phrai Bueng District, Si Sa Ket 33180, Thailand']",37.1 km,38 mins
19,วังหิน,"('วังหิน', 'ศรีสะเกษ')",ปรางค์กู่,"('ปรางค์กู่', 'ศรีสะเกษ')","['หมู่ 19, อาคารที่ว่าการอำเภอวังหิน, ตำบลบุสูง อำเภอวังหิน จังหวัดศรีสะเกษ, 33270 Tambon Bu Sung, Amphoe Wang Hin, Chang Wat Si Sa Ket 33270, Thailand']","['V24Q+XP7, Phimai, Prang Ku District, Si Sa Ket 33170, Thailand']",31.8 km,33 mins
20,วังหิน,"('วังหิน', 'ศรีสะเกษ')",อุทุมพรพิสัย,"('อุทุมพรพิสัย', 'ศรีสะเกษ')","['หมู่ 19, อาคารที่ว่าการอำเภอวังหิน, ตำบลบุสูง อำเภอวังหิน จังหวัดศรีสะเกษ, 33270 Tambon Bu Sung, Amphoe Wang Hin, Chang Wat Si Sa Ket 33270, Thailand']","['446Q+CXF, Kamphaeng, Uthumphon Phisai District, Si Sa Ket 33120, Thailand']",31.9 km,38 mins
