,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองอุบลราชธานี,"('เมืองอุบลราชธานี', 'อุบลราชธานี')",เขื่องใน,"('เขื่องใน', 'อุบลราชธานี')","['165 Srinarong, Amphoe Mueang Ubon Ratchathani, Chang Wat Ubon Ratchathani 34000, Thailand']","['9HQ2+RGJ, Khueang Nai, Khueang Nai District, Ubon Ratchathani 34150, Thailand']",39.8 km,39 mins
1,เมืองอุบลราชธานี,"('เมืองอุบลราชธานี', 'อุบลราชธานี')",ม่วงสามสิบ,"('ม่วงสามสิบ', 'อุบลราชธานี')","['165 Srinarong, Amphoe Mueang Ubon Ratchathani, Chang Wat Ubon Ratchathani 34000, Thailand']","['GP6G+798 ถนนพีระพล Tambon Muang Sam Sip, Amphoe Muang Sam Sip, Chang Wat Ubon Ratchathani 34140, Thailand']",36.9 km,39 mins
2,เมืองอุบลราชธานี,"('เมืองอุบลราชธานี', 'อุบลราชธานี')",วารินชำราบ,"('วารินชำราบ', 'อุบลราชธานี')","['165 Srinarong, Amphoe Mueang Ubon Ratchathani, Chang Wat Ubon Ratchathani 34000, Thailand']","['6V28+VW5, Warin Chamrap, Warin Chamrap District, Ubon Ratchathani 34190, Thailand']",4.0 km,7 mins
3,เมืองอุบลราชธานี,"('เมืองอุบลราชธานี', 'อุบลราชธานี')",ตาลสุม,"('ตาลสุม', 'อุบลราชธานี')","['165 Srinarong, Amphoe Mueang Ubon Ratchathani, Chang Wat Ubon Ratchathani 34000, Thailand']","['8573+RXQ, Tan Sum, Tan Sum District, Ubon Ratchathani 34330, Thailand']",36.3 km,46 mins
4,เมืองอุบลราชธานี,"('เมืองอุบลราชธานี', 'อุบลราชธานี')",ดอนมดแดง,"('ดอนมดแดง', 'อุบลราชธานี')","['165 Srinarong, Amphoe Mueang Ubon Ratchathani, Chang Wat Ubon Ratchathani 34000, Thailand']","['92HG+HV4, Lao Daeng, Don Mot Daeng District, Ubon Ratchathani 34000, Thailand']",35.6 km,45 mins
5,เมืองอุบลราชธานี,"('เมืองอุบลราชธานี', 'อุบลราชธานี')",สว่างวีระวงศ์,"('สว่างวีระวงศ์', 'อุบลราชธานี')","['165 Srinarong, Amphoe Mueang Ubon Ratchathani, Chang Wat Ubon Ratchathani 34000, Thailand']","['63RR+JR5, Kaeng Dom, Sawang Wirawong District, Ubon Ratchathani 34190, Thailand']",29.9 km,32 mins
6,เมืองอุบลราชธานี,"('เมืองอุบลราชธานี', 'อุบลราชธานี')",กันทรารมย์,"('กันทรารมย์', 'ศรีสะเกษ')","['165 Srinarong, Amphoe Mueang Ubon Ratchathani, Chang Wat Ubon Ratchathani 34000, Thailand']","['4H4C+F47, Dun, Kanthararom District, Si Sa Ket 33130, Thailand']",39.0 km,44 mins
7,เมืองอุบลราชธานี,"('เมืองอุบลราชธานี', 'อุบลราชธานี')",เหล่าเสือโก้ก,"('เหล่าเสือโก้ก', 'อุบลราชธานี')","['165 Srinarong, Amphoe Mueang Ubon Ratchathani, Chang Wat Ubon Ratchathani 34000, Thailand']","['อาคารที่ว่าการอำเภอเหล่าเสือโก้ก, ถนนอุบลราชธานี-ตระการ, ตำบลเหล่าเสือโก้ก อำเภอเหล่าเสือโก้ก จังหวัดอุบลราชธานี, 34000 Tambon Lao Suea Kok, Amphoe Lao Suea Kok, Chang Wat Ubon Ratchathani 34000, Thailand']",27.3 km,33 mins
8,ศรีเมืองใหม่,"('ศรีเมืองใหม่', 'อุบลราชธานี')",โขงเจียม,"('โขงเจียม', 'อุบลราชธานี')","['ที่ว่าการ อำเภอ ศรี เมือง ใหม่ ต นา คำ อ ศรี เมือง ใหม่, F7WH+2C5 ตำบล นาคำ อำเภอ ศรีเมืองใหม่ อุบลราชธานี 34250, Thailand']","['ที่ว่าการ 8F9W+F7P, Tambon Khong Chiam, Amphoe Khong Chiam, Chang Wat Ubon Ratchathani 34220, Thailand']",33.8 km,34 mins
9,ศรีเมืองใหม่,"('ศรีเมืองใหม่', 'อุบลราชธานี')",ตระการพืชผล,"('ตระการพืชผล', 'อุบลราชธานี')","['ที่ว่าการ อำเภอ ศรี เมือง ใหม่ ต นา คำ อ ศรี เมือง ใหม่, F7WH+2C5 ตำบล นาคำ อำเภอ ศรีเมืองใหม่ อุบลราชธานี 34250, Thailand']","['7-11ตระการพืชผล Tambon Khu Lu, Amphoe Trakan Phuet Phon, Chang Wat Ubon Ratchathani 34130, Thailand']",34.2 km,34 mins
