,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองยโสธร,"('เมืองยโสธร', 'ยโสธร')",พนมไพร,"('พนมไพร', 'ร้อยเอ็ด')","['ที่ว่าการ Chaeng Sanit Rd, Tambon Nai Mueang, Amphoe Mueang Yasothon, Chang Wat Yasothon 35000, Thailand']","['ที่ว่าการ M4H6+732, Tambon Phanom Phrai, Amphoe Phanom Phrai, Chang Wat Roi Et 45140, Thailand']",15.6 km,21 mins
1,เมืองยโสธร,"('เมืองยโสธร', 'ยโสธร')",เสลภูมิ,"('เสลภูมิ', 'ร้อยเอ็ด')","['ที่ว่าการ Chaeng Sanit Rd, Tambon Nai Mueang, Amphoe Mueang Yasothon, Chang Wat Yasothon 35000, Thailand']","['2WMM+8G4, Khwan Mueang, Selaphum District, Roi Et 45120, Thailand']",37.1 km,33 mins
2,เมืองยโสธร,"('เมืองยโสธร', 'ยโสธร')",ทรายมูล,"('ทรายมูล', 'ยโสธร')","['ที่ว่าการ Chaeng Sanit Rd, Tambon Nai Mueang, Amphoe Mueang Yasothon, Chang Wat Yasothon 35000, Thailand']","['หมู่ 16, อาคารที่ว่าการอำเภอทรายมูล, ถนนสุขาภิบาล 1, ตำบลทรายมูล อำเภอทรายมูล จังหวัดยโสธร, 35170 Tambon Sai Mun, Amphoe Sai Mun, Chang Wat Yasothon 35170, Thailand']",19.5 km,23 mins
3,เมืองยโสธร,"('เมืองยโสธร', 'ยโสธร')",กุดชุม,"('กุดชุม', 'ยโสธร')","['ที่ว่าการ Chaeng Sanit Rd, Tambon Nai Mueang, Amphoe Mueang Yasothon, Chang Wat Yasothon 35000, Thailand']","['อาคารที่ว่าการอำเภอกุดชุม, ถนนเทศบาล 31, ตำบลกุดชุม อำเภอกุดชุม จังหวัดยโสธร, 35140 Tambon Kut Chum, Amphoe Kut Chum, Chang Wat Yasothon 35140, Thailand']",38.4 km,40 mins
4,เมืองยโสธร,"('เมืองยโสธร', 'ยโสธร')",คำเขื่อนแก้ว,"('คำเขื่อนแก้ว', 'ยโสธร')","['ที่ว่าการ Chaeng Sanit Rd, Tambon Nai Mueang, Amphoe Mueang Yasothon, Chang Wat Yasothon 35000, Thailand']","['M835+5G3, Lum Phuk, Kham Khuean Kaeo District, Yasothon 35110, Thailand']",24.6 km,26 mins
5,เมืองยโสธร,"('เมืองยโสธร', 'ยโสธร')",ป่าติ้ว,"('ป่าติ้ว', 'ยโสธร')","['ที่ว่าการ Chaeng Sanit Rd, Tambon Nai Mueang, Amphoe Mueang Yasothon, Chang Wat Yasothon 35000, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอป่าติ้ว, ตำบลโพธิ์ไทร อำเภอป่าติ้ว จังหวัดยโสธร, 35150 Tambon Pho Sai, Amphoe Pa Tio, Chang Wat Yasothon 35150, Thailand']",29.4 km,29 mins
6,ทรายมูล,"('ทรายมูล', 'ยโสธร')",เสลภูมิ,"('เสลภูมิ', 'ร้อยเอ็ด')","['หมู่ 16, อาคารที่ว่าการอำเภอทรายมูล, ถนนสุขาภิบาล 1, ตำบลทรายมูล อำเภอทรายมูล จังหวัดยโสธร, 35170 Tambon Sai Mun, Amphoe Sai Mun, Chang Wat Yasothon 35170, Thailand']","['2WMM+8G4, Khwan Mueang, Selaphum District, Roi Et 45120, Thailand']",52.4 km,47 mins
7,ทรายมูล,"('ทรายมูล', 'ยโสธร')",เมืองยโสธร,"('เมืองยโสธร', 'ยโสธร')","['หมู่ 16, อาคารที่ว่าการอำเภอทรายมูล, ถนนสุขาภิบาล 1, ตำบลทรายมูล อำเภอทรายมูล จังหวัดยโสธร, 35170 Tambon Sai Mun, Amphoe Sai Mun, Chang Wat Yasothon 35170, Thailand']","['ที่ว่าการ Chaeng Sanit Rd, Tambon Nai Mueang, Amphoe Mueang Yasothon, Chang Wat Yasothon 35000, Thailand']",18.6 km,21 mins
8,ทรายมูล,"('ทรายมูล', 'ยโสธร')",กุดชุม,"('กุดชุม', 'ยโสธร')","['หมู่ 16, อาคารที่ว่าการอำเภอทรายมูล, ถนนสุขาภิบาล 1, ตำบลทรายมูล อำเภอทรายมูล จังหวัดยโสธร, 35170 Tambon Sai Mun, Amphoe Sai Mun, Chang Wat Yasothon 35170, Thailand']","['อาคารที่ว่าการอำเภอกุดชุม, ถนนเทศบาล 31, ตำบลกุดชุม อำเภอกุดชุม จังหวัดยโสธร, 35140 Tambon Kut Chum, Amphoe Kut Chum, Chang Wat Yasothon 35140, Thailand']",21.0 km,24 mins
9,ทรายมูล,"('ทรายมูล', 'ยโสธร')",ป่าติ้ว,"('ป่าติ้ว', 'ยโสธร')","['หมู่ 16, อาคารที่ว่าการอำเภอทรายมูล, ถนนสุขาภิบาล 1, ตำบลทรายมูล อำเภอทรายมูล จังหวัดยโสธร, 35170 Tambon Sai Mun, Amphoe Sai Mun, Chang Wat Yasothon 35170, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอป่าติ้ว, ตำบลโพธิ์ไทร อำเภอป่าติ้ว จังหวัดยโสธร, 35150 Tambon Pho Sai, Amphoe Pa Tio, Chang Wat Yasothon 35150, Thailand']",28.1 km,36 mins
