,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองชัยภูมิ,"('เมืองชัยภูมิ', 'ชัยภูมิ')",บ้านเขว้า,"('บ้านเขว้า', 'ชัยภูมิ')","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']","['QWH4+8RV, Ban Khwao, Ban Khwao District, Chaiyaphum 36170, Thailand']",14.8 km,19 mins
1,เมืองชัยภูมิ,"('เมืองชัยภูมิ', 'ชัยภูมิ')",คอนสวรรค์,"('คอนสวรรค์', 'ชัยภูมิ')","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']","['W7JJ+JF8, Khok Mang Ngoi, Khon Sawan District, Chaiyaphum 36140, Thailand']",35.4 km,37 mins
2,เมืองชัยภูมิ,"('เมืองชัยภูมิ', 'ชัยภูมิ')",เกษตรสมบูรณ์,"('เกษตรสมบูรณ์', 'ชัยภูมิ')","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']","['7XJ3+4HM, Ban Yang, Kaset Sombun District, Chaiyaphum 36120, Thailand']",76.1 km,1 hour 19 mins
3,เมืองชัยภูมิ,"('เมืองชัยภูมิ', 'ชัยภูมิ')",หนองบัวแดง,"('หนองบัวแดง', 'ชัยภูมิ')","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']","['60 Moo.9, Suphawongramluk Road, Tambon Nong Bua Daeng, Amphoe Nong Bua Daeng, Chaiyaphum, 36210, ตำบล หนองบัวแดง อำเภอหนองบัวแดง ชัยภูมิ 36210, Thailand']",50.6 km,53 mins
4,เมืองชัยภูมิ,"('เมืองชัยภูมิ', 'ชัยภูมิ')",จัตุรัส,"('จัตุรัส', 'ชัยภูมิ')","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']","['ที่ว่าการ ถนนโกสีย์ Tambon Ban Kok, Amphoe Chatturat, Chang Wat Chaiyaphum 36130, Thailand']",40.6 km,45 mins
5,เมืองชัยภูมิ,"('เมืองชัยภูมิ', 'ชัยภูมิ')",ภูเขียว,"('ภูเขียว', 'ชัยภูมิ')","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']","['อาคารที่ว่าการอำเภอภูเขียว, ถนนภูเขียว-ชุมแพ, ตำบลผักปัง อำเภอภูเขียว จังหวัดชัยภูมิ, 36110 Tambon Phak Pang, Amphoe Phu Khiao, Chang Wat Chaiyaphum 36110, Thailand']",83.9 km,1 hour 14 mins
6,เมืองชัยภูมิ,"('เมืองชัยภูมิ', 'ชัยภูมิ')",บ้านเหลื่อม,"('บ้านเหลื่อม', 'นครราชสีมา')","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']","['J45J+852, Ban Lueam, Ban Lueam District, Nakhon Ratchasima 30350, Thailand']",41.5 km,49 mins
7,เมืองชัยภูมิ,"('เมืองชัยภูมิ', 'ชัยภูมิ')",แก้งสนามนาง,"('แก้งสนามนาง', 'นครราชสีมา')","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']","['P7X3+WV5, Kaeng Sanam Nang, Kaeng Sanam Nang District, Nakhon Ratchasima 30440, Thailand']",29.0 km,32 mins
8,เมืองชัยภูมิ,"('เมืองชัยภูมิ', 'ชัยภูมิ')",แก้งคร้อ,"('แก้งคร้อ', 'ชัยภูมิ')","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']","['4755+C54, Chong Sam Mo, Kaeng Khro District, Chaiyaphum 36150, Thailand']",47.1 km,42 mins
9,เมืองชัยภูมิ,"('เมืองชัยภูมิ', 'ชัยภูมิ')",เนินสง่า,"('เนินสง่า', 'ชัยภูมิ')","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']","['H272+JPP, Nong Chim, Noen Sa-nga District, Chaiyaphum 36130, Thailand']",31.5 km,37 mins
