,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองอำนาจเจริญ,"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",คำเขื่อนแก้ว,"('คำเขื่อนแก้ว', 'ยโสธร')","['VJ5H+8PV ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand']","['M835+5G3, Lum Phuk, Kham Khuean Kaeo District, Yasothon 35110, Thailand']",53.9 km,51 mins
1,เมืองอำนาจเจริญ,"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",ป่าติ้ว,"('ป่าติ้ว', 'ยโสธร')","['VJ5H+8PV ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอป่าติ้ว, ตำบลโพธิ์ไทร อำเภอป่าติ้ว จังหวัดยโสธร, 35150 Tambon Pho Sai, Amphoe Pa Tio, Chang Wat Yasothon 35150, Thailand']",28.4 km,26 mins
2,เมืองอำนาจเจริญ,"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",ไทยเจริญ,"('ไทยเจริญ', 'ยโสธร')","['VJ5H+8PV ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand']","['หมู่ 1, อาคารที่ว่าการอำเภอไทยเจริญ, ถนนคำเตย-นาคำ, ตำบลไทยเจริญ อำเภอไทยเจริญ จังหวัดยโสธร, 35120 Tambon Thai Charoen, Amphoe Thai Charoen, Chang Wat Yasothon 35120, Thailand']",39.8 km,52 mins
3,เมืองอำนาจเจริญ,"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",ชานุมาน,"('ชานุมาน', 'อำนาจเจริญ')","['VJ5H+8PV ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand']","['62M2+C72, Chanuman, Chanuman District, Amnat Charoen 37210, Thailand']",75.3 km,1 hour 11 mins
4,เมืองอำนาจเจริญ,"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",ปทุมราชวงศา,"('ปทุมราชวงศา', 'อำนาจเจริญ')","['VJ5H+8PV ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand']","['หมู่ 2, อาคารที่ว่าการอำเภอปทุมราชวงศา, ตำบลนาหว้า อำเภอปทุมราชวงศา จังหวัดอำนาจเจริญ, 37110 Tambon Na Wa, Amphoe Pathum Ratchawongsa, Chang Wat Amnat Charoen 37110, Thailand']",33.5 km,34 mins
5,เมืองอำนาจเจริญ,"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",พนา,"('พนา', 'อำนาจเจริญ')","['VJ5H+8PV ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand']","['MRJW+RHR ถนนอุปชิต Tambon Phra Lao, Amphoe Phana, Chang Wat Amnat Charoen 37180, Thailand']",41.4 km,37 mins
6,เมืองอำนาจเจริญ,"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",เสนางคนิคม,"('เสนางคนิคม', 'อำนาจเจริญ')","['VJ5H+8PV ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand']","['2MQ9+VP8, Senangkhanikhom, Senangkhanikhom District, Amnat Charoen 37290, Thailand']",22.7 km,25 mins
7,เมืองอำนาจเจริญ,"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",หัวตะพาน,"('หัวตะพาน', 'อำนาจเจริญ')","['VJ5H+8PV ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand']","['ถนนหัวตะพาน-บ้านขมิ้น, ตำบลรัตนวารี อำเภอหัวตะพาน จังหวัดอำนาจเจริญ, 37240 Tambon Rattana Wari, Amphoe Hua Taphan, Chang Wat Amnat Charoen 37240, Thailand']",38.2 km,36 mins
8,เมืองอำนาจเจริญ,"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",ลืออำนาจ,"('ลืออำนาจ', 'อำนาจเจริญ')","['VJ5H+8PV ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand']","['PJ2V+MV2, Dong Mayang, Lue Amnat District, Amnat Charoen 37000, Thailand']",21.7 km,20 mins
9,ชานุมาน,"('ชานุมาน', 'อำนาจเจริญ')",เขมราฐ,"('เขมราฐ', 'อุบลราชธานี')","['62M2+C72, Chanuman, Chanuman District, Amnat Charoen 37210, Thailand']","['26R4+CH9, Khemmarat, Khemmarat District, Ubon Ratchathani 34170, Thailand']",37.1 km,36 mins
10,ชานุมาน,"('ชานุมาน', 'อำนาจเจริญ')",ดอนตาล,"('ดอนตาล', 'มุกดาหาร')","['62M2+C72, Chanuman, Chanuman District, Amnat Charoen 37210, Thailand']","['อาคารที่ว่าการอำเภอดอนตาล, ถนนเหมลา, ตำบลดอนตาล อำเภอดอนตาล จังหวัดมุกดาหาร, 49120 Tambon Don Tan, Amphoe Don Tan, Chang Wat Mukdahan 49120, Thailand']",13.2 km,13 mins
11,ชานุมาน,"('ชานุมาน', 'อำนาจเจริญ')",เลิงนกทา,"('เลิงนกทา', 'ยโสธร')","['62M2+C72, Chanuman, Chanuman District, Amnat Charoen 37210, Thailand']","['6H53+4XH, Kong Roi A-sa Samak Rd, Tambon Sam Yaek, Amphoe Loeng Nok Tha, Chang Wat Yasothon 35120, Thailand']",59.1 km,56 mins
12,ชานุมาน,"('ชานุมาน', 'อำนาจเจริญ')",เมืองอำนาจเจริญ,"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')","['62M2+C72, Chanuman, Chanuman District, Amnat Charoen 37210, Thailand']","['VJ5H+8PV ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand']",75.5 km,1 hour 12 mins
