,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,พรเจริญ,"('พรเจริญ', 'บึงกาฬ')",โซ่พิสัย,"('โซ่พิสัย', 'บึงกาฬ')","['326/1 หมู่10, ถนนวงศ์ทอง, ตำบลพรเจริญ อำเภอพรเจริญ จังหวัดบึงกาฬ, 38100 Tambon Phon Charoen, Amphoe Phon Charoen, Chang Wat Bueng Kan 38220, Thailand']","['อาคารที่ว่าการอำเภอโซ่พิสัย, ถนนปากคาด-พรเจริญ, ตำบลโซ่ อำเภอโซ่พิสัย จังหวัดบึงกาฬ, 38170 Tambon So, Amphoe So Phisai, Chang Wat Bueng Kan 38220, Thailand']",36.1 km,36 mins
1,พรเจริญ,"('พรเจริญ', 'บึงกาฬ')",เซกา,"('เซกา', 'บึงกาฬ')","['326/1 หมู่10, ถนนวงศ์ทอง, ตำบลพรเจริญ อำเภอพรเจริญ จังหวัดบึงกาฬ, 38100 Tambon Phon Charoen, Amphoe Phon Charoen, Chang Wat Bueng Kan 38220, Thailand']","['ที่ว่าการ WXH3+88F, Tambon Seka, Amphoe Seka, Chang Wat Bueng Kan 38220, Thailand']",41.2 km,41 mins
2,พรเจริญ,"('พรเจริญ', 'บึงกาฬ')",ศรีวิไล,"('ศรีวิไล', 'บึงกาฬ')","['326/1 หมู่10, ถนนวงศ์ทอง, ตำบลพรเจริญ อำเภอพรเจริญ จังหวัดบึงกาฬ, 38100 Tambon Phon Charoen, Amphoe Phon Charoen, Chang Wat Bueng Kan 38220, Thailand']","['5QG2+W2H, Si Wilai, Si Wilai District, Bueng Kan 38220, Thailand']",20.0 km,21 mins
3,พรเจริญ,"('พรเจริญ', 'บึงกาฬ')",คำตากล้า,"('คำตากล้า', 'สกลนคร')","['326/1 หมู่10, ถนนวงศ์ทอง, ตำบลพรเจริญ อำเภอพรเจริญ จังหวัดบึงกาฬ, 38100 Tambon Phon Charoen, Amphoe Phon Charoen, Chang Wat Bueng Kan 38220, Thailand']","['RQX3+WWP, Kham Ta Kla, Kham Ta Kla District, Sakon Nakhon 47250, Thailand']",28.9 km,29 mins
4,พรเจริญ,"('พรเจริญ', 'บึงกาฬ')",บ้านม่วง,"('บ้านม่วง', 'สกลนคร')","['326/1 หมู่10, ถนนวงศ์ทอง, ตำบลพรเจริญ อำเภอพรเจริญ จังหวัดบึงกาฬ, 38100 Tambon Phon Charoen, Amphoe Phon Charoen, Chang Wat Bueng Kan 38220, Thailand']","['VH2C+C23, Muang, Ban Muang District, Sakon Nakhon 47140, Thailand']",33.9 km,38 mins
5,พรเจริญ,"('พรเจริญ', 'บึงกาฬ')",บึงกาฬ,"('บึงกาฬ', 'บึงกาฬ')","['326/1 หมู่10, ถนนวงศ์ทอง, ตำบลพรเจริญ อำเภอพรเจริญ จังหวัดบึงกาฬ, 38100 Tambon Phon Charoen, Amphoe Phon Charoen, Chang Wat Bueng Kan 38220, Thailand']","['9M53+945 ถนนบึงกาฬ-นครพนม Amphoe Mueang Bueng Kan, Chang Wat Bueng Kan 38000, Thailand']",45.4 km,43 mins
6,โซ่พิสัย,"('โซ่พิสัย', 'บึงกาฬ')",พรเจริญ,"('พรเจริญ', 'บึงกาฬ')","['อาคารที่ว่าการอำเภอโซ่พิสัย, ถนนปากคาด-พรเจริญ, ตำบลโซ่ อำเภอโซ่พิสัย จังหวัดบึงกาฬ, 38170 Tambon So, Amphoe So Phisai, Chang Wat Bueng Kan 38220, Thailand']","['326/1 หมู่10, ถนนวงศ์ทอง, ตำบลพรเจริญ อำเภอพรเจริญ จังหวัดบึงกาฬ, 38100 Tambon Phon Charoen, Amphoe Phon Charoen, Chang Wat Bueng Kan 38220, Thailand']",37.5 km,40 mins
7,โซ่พิสัย,"('โซ่พิสัย', 'บึงกาฬ')",ปากคาด,"('ปากคาด', 'บึงกาฬ')","['อาคารที่ว่าการอำเภอโซ่พิสัย, ถนนปากคาด-พรเจริญ, ตำบลโซ่ อำเภอโซ่พิสัย จังหวัดบึงกาฬ, 38170 Tambon So, Amphoe So Phisai, Chang Wat Bueng Kan 38220, Thailand']","['27 Thetsaban 16 Alley, Tambon Pak Khat, Amphoe Pak Khat, Chang Wat Bueng Kan 38220, Thailand']",33.9 km,35 mins
8,โซ่พิสัย,"('โซ่พิสัย', 'บึงกาฬ')",เฝ้าไร่,"('เฝ้าไร่', 'หนองคาย')","['อาคารที่ว่าการอำเภอโซ่พิสัย, ถนนปากคาด-พรเจริญ, ตำบลโซ่ อำเภอโซ่พิสัย จังหวัดบึงกาฬ, 38170 Tambon So, Amphoe So Phisai, Chang Wat Bueng Kan 38220, Thailand']","['2893+HG5, Fao Rai, Fao Rai District, Nong Khai 43120, Thailand']",24.0 km,24 mins
9,โซ่พิสัย,"('โซ่พิสัย', 'บึงกาฬ')",รัตนวาปี,"('รัตนวาปี', 'หนองคาย')","['อาคารที่ว่าการอำเภอโซ่พิสัย, ถนนปากคาด-พรเจริญ, ตำบลโซ่ อำเภอโซ่พิสัย จังหวัดบึงกาฬ, 38170 Tambon So, Amphoe So Phisai, Chang Wat Bueng Kan 38220, Thailand']","['65CJ+34X, Rattanawapi, Rattanawapi District, Nong Khai 43120, Thailand']",49.8 km,46 mins
10,โซ่พิสัย,"('โซ่พิสัย', 'บึงกาฬ')",บ้านม่วง,"('บ้านม่วง', 'สกลนคร')","['อาคารที่ว่าการอำเภอโซ่พิสัย, ถนนปากคาด-พรเจริญ, ตำบลโซ่ อำเภอโซ่พิสัย จังหวัดบึงกาฬ, 38170 Tambon So, Amphoe So Phisai, Chang Wat Bueng Kan 38220, Thailand']","['VH2C+C23, Muang, Ban Muang District, Sakon Nakhon 47140, Thailand']",39.3 km,40 mins
11,โซ่พิสัย,"('โซ่พิสัย', 'บึงกาฬ')",บึงกาฬ,"('บึงกาฬ', 'บึงกาฬ')","['อาคารที่ว่าการอำเภอโซ่พิสัย, ถนนปากคาด-พรเจริญ, ตำบลโซ่ อำเภอโซ่พิสัย จังหวัดบึงกาฬ, 38170 Tambon So, Amphoe So Phisai, Chang Wat Bueng Kan 38220, Thailand']","['9M53+945 ถนนบึงกาฬ-นครพนม Amphoe Mueang Bueng Kan, Chang Wat Bueng Kan 38000, Thailand']",55.0 km,57 mins
