,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองหนองบัวลำภู,"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')",นากลาง,"('นากลาง', 'หนองบัวลำภู')","['6C3V+JCP, 129 Annaloyo St, Tambon Nong Bua, Amphoe Mueang Nong Bua Lam Phu, Chang Wat Nong Bua Lam Phu 39000, Thailand']","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']",31.4 km,33 mins
1,เมืองหนองบัวลำภู,"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')",โนนสัง,"('โนนสัง', 'หนองบัวลำภู')","['6C3V+JCP, 129 Annaloyo St, Tambon Nong Bua, Amphoe Mueang Nong Bua Lam Phu, Chang Wat Nong Bua Lam Phu 39000, Thailand']","['บ้านพักนายอำเภอ, Tambon Non Sang, Amphoe Non Sang, Chang Wat Nong Bua Lam Phu 39140, Thailand']",46.3 km,49 mins
2,เมืองหนองบัวลำภู,"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')",ศรีบุญเรือง,"('ศรีบุญเรือง', 'หนองบัวลำภู')","['6C3V+JCP, 129 Annaloyo St, Tambon Nong Bua, Amphoe Mueang Nong Bua Lam Phu, Chang Wat Nong Bua Lam Phu 39000, Thailand']","['X78H+9Q7, Mueang Mai, Si Bun Rueang District, Nong Bua Lam Phu 39180, Thailand']",32.7 km,32 mins
3,เมืองหนองบัวลำภู,"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')",กุดจับ,"('กุดจับ', 'อุดรธานี')","['6C3V+JCP, 129 Annaloyo St, Tambon Nong Bua, Amphoe Mueang Nong Bua Lam Phu, Chang Wat Nong Bua Lam Phu 39000, Thailand']","['CHG8+5PW Kut Chap District Office, Tambon Mueang Phia, Amphoe Kut Chap, Chang Wat Udon Thani 41250, Thailand']",38.8 km,45 mins
4,เมืองหนองบัวลำภู,"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')",หนองวัวซอ,"('หนองวัวซอ', 'อุดรธานี')","['6C3V+JCP, 129 Annaloyo St, Tambon Nong Bua, Amphoe Mueang Nong Bua Lam Phu, Chang Wat Nong Bua Lam Phu 39000, Thailand']","['5H6F+W48, Nong O, Nong Wua So District, Udon Thani 41220, Thailand']",33.6 km,35 mins
5,นากลาง,"('นากลาง', 'หนองบัวลำภู')",เมืองหนองบัวลำภู,"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']","['6C3V+JCP, 129 Annaloyo St, Tambon Nong Bua, Amphoe Mueang Nong Bua Lam Phu, Chang Wat Nong Bua Lam Phu 39000, Thailand']",30.9 km,31 mins
6,นากลาง,"('นากลาง', 'หนองบัวลำภู')",ศรีบุญเรือง,"('ศรีบุญเรือง', 'หนองบัวลำภู')","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']","['X78H+9Q7, Mueang Mai, Si Bun Rueang District, Nong Bua Lam Phu 39180, Thailand']",49.5 km,54 mins
7,นากลาง,"('นากลาง', 'หนองบัวลำภู')",สุวรรณคูหา,"('สุวรรณคูหา', 'หนองบัวลำภู')","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']","['H77H+5XW, Suwannakhuha, Suwannakhuha District, Nong Bua Lam Phu 39270, Thailand']",39.2 km,54 mins
8,นากลาง,"('นากลาง', 'หนองบัวลำภู')",นาวัง,"('นาวัง', 'หนองบัวลำภู')","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']","['83FF+643, Na Lao, Na Wang District, Nong Bua Lam Phu 39170, Thailand']",13.3 km,14 mins
9,นากลาง,"('นากลาง', 'หนองบัวลำภู')",กุดจับ,"('กุดจับ', 'อุดรธานี')","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']","['CHG8+5PW Kut Chap District Office, Tambon Mueang Phia, Amphoe Kut Chap, Chang Wat Udon Thani 41250, Thailand']",62.1 km,1 hour 8 mins
10,นากลาง,"('นากลาง', 'หนองบัวลำภู')",หนองวัวซอ,"('หนองวัวซอ', 'อุดรธานี')","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']","['5H6F+W48, Nong O, Nong Wua So District, Udon Thani 41220, Thailand']",63.7 km,1 hour 1 min
11,นากลาง,"('นากลาง', 'หนองบัวลำภู')",บ้านผือ,"('บ้านผือ', 'อุดรธานี')","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']","['MFQF+345, Ban Phue, Ban Phue District, Udon Thani 41160, Thailand']",59.5 km,1 hour 6 mins
12,นากลาง,"('นากลาง', 'หนองบัวลำภู')",เอราวัณ,"('เอราวัณ', 'เลย')","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']","['8W5R+X23, Pha In Plaeng, Erawan District, Loei 42220, Thailand']",29.7 km,28 mins
13,นากลาง,"('นากลาง', 'หนองบัวลำภู')",นาด้วง,"('นาด้วง', 'เลย')","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']","['FXHC+P47, Na Duang, Na Duang District, Loei 42210, Thailand']",41.1 km,49 mins
14,โนนสัง,"('โนนสัง', 'หนองบัวลำภู')",เมืองหนองบัวลำภู,"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')","['บ้านพักนายอำเภอ, Tambon Non Sang, Amphoe Non Sang, Chang Wat Nong Bua Lam Phu 39140, Thailand']","['6C3V+JCP, 129 Annaloyo St, Tambon Nong Bua, Amphoe Mueang Nong Bua Lam Phu, Chang Wat Nong Bua Lam Phu 39000, Thailand']",46.0 km,49 mins
15,โนนสัง,"('โนนสัง', 'หนองบัวลำภู')",ศรีบุญเรือง,"('ศรีบุญเรือง', 'หนองบัวลำภู')","['บ้านพักนายอำเภอ, Tambon Non Sang, Amphoe Non Sang, Chang Wat Nong Bua Lam Phu 39140, Thailand']","['X78H+9Q7, Mueang Mai, Si Bun Rueang District, Nong Bua Lam Phu 39180, Thailand']",42.7 km,49 mins
16,โนนสัง,"('โนนสัง', 'หนองบัวลำภู')",อุบลรัตน์,"('อุบลรัตน์', 'ขอนแก่น')","['บ้านพักนายอำเภอ, Tambon Non Sang, Amphoe Non Sang, Chang Wat Nong Bua Lam Phu 39140, Thailand']","['เลขที่ 255 บ้านท่าเรือ Tambon Khuean Ubolratana, Amphoe Ubolratana, Chang Wat Khon Kaen 40250, Thailand']",26.7 km,31 mins
17,โนนสัง,"('โนนสัง', 'หนองบัวลำภู')",ภูเวียง,"('ภูเวียง', 'ขอนแก่น')","['บ้านพักนายอำเภอ, Tambon Non Sang, Amphoe Non Sang, Chang Wat Nong Bua Lam Phu 39140, Thailand']","['ร้านกาแฟไดโนกาแฟภูเวียง หน้าอาคารที่ว่าการอำเภอภูเวียง ภูเวียง Amphoe Phu Wiang, Chang Wat Khon Kaen 40150, Thailand']",60.8 km,1 hour 9 mins
18,โนนสัง,"('โนนสัง', 'หนองบัวลำภู')",เขาสวนกวาง,"('เขาสวนกวาง', 'ขอนแก่น')","['บ้านพักนายอำเภอ, Tambon Non Sang, Amphoe Non Sang, Chang Wat Nong Bua Lam Phu 39140, Thailand']","['VV56+P87, Kham Muang, Khao Suan Kwang District, Khon Kaen 40280, Thailand']",57.7 km,1 hour 1 min
19,โนนสัง,"('โนนสัง', 'หนองบัวลำภู')",หนองนาคำ,"('หนองนาคำ', 'ขอนแก่น')","['บ้านพักนายอำเภอ, Tambon Non Sang, Amphoe Non Sang, Chang Wat Nong Bua Lam Phu 39140, Thailand']","['R82R+M4Q, Ban Khok, Nong Na Kham District, Khon Kaen 40150, Thailand']",43.4 km,54 mins
20,โนนสัง,"('โนนสัง', 'หนองบัวลำภู')",หนองวัวซอ,"('หนองวัวซอ', 'อุดรธานี')","['บ้านพักนายอำเภอ, Tambon Non Sang, Amphoe Non Sang, Chang Wat Nong Bua Lam Phu 39140, Thailand']","['5H6F+W48, Nong O, Nong Wua So District, Udon Thani 41220, Thailand']",37.4 km,41 mins
