,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองขอนแก่น,"('เมืองขอนแก่น', 'ขอนแก่น')",บ้านฝาง,"('บ้านฝาง', 'ขอนแก่น')","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']","['อาคารที่ว่าการอำเภอบ้านฝาง, ถนนมะลิวัลย์, ตำบลบ้านฝาง อำเภอบ้านฝาง จังหวัดขอนแก่น, 40270 Tambon Ban Fang, Amphoe Ban Fang, Chang Wat Khon Kaen 40270, Thailand']",22.9 km,29 mins
1,เมืองขอนแก่น,"('เมืองขอนแก่น', 'ขอนแก่น')",พระยืน,"('พระยืน', 'ขอนแก่น')","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']","['8JFX+HCR, Phra Yuen, Phra Yuen District, Khon Kaen 40320, Thailand']",32.5 km,41 mins
2,เมืองขอนแก่น,"('เมืองขอนแก่น', 'ขอนแก่น')",น้ำพอง,"('น้ำพอง', 'ขอนแก่น')","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']","['PV24+PJJ, Wang Chai, Nam Phong District, Khon Kaen 40140, Thailand']",36.8 km,41 mins
3,เมืองขอนแก่น,"('เมืองขอนแก่น', 'ขอนแก่น')",อุบลรัตน์,"('อุบลรัตน์', 'ขอนแก่น')","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']","['เลขที่ 255 บ้านท่าเรือ Tambon Khuean Ubolratana, Amphoe Ubolratana, Chang Wat Khon Kaen 40250, Thailand']",50.8 km,51 mins
4,เมืองขอนแก่น,"('เมืองขอนแก่น', 'ขอนแก่น')",ซำสูง,"('ซำสูง', 'ขอนแก่น')","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']","['อาคารที่ว่าการอำเภอซำสูง, ถนนกระนวน-เชียงยืน, ตำบลกระนวน อำเภอซำสูง จังหวัดขอนแก่น, 40170 Tambon Kranuan, Amphoe Sam Sung, Chang Wat Khon Kaen 40170, Thailand']",35.0 km,38 mins
5,เมืองขอนแก่น,"('เมืองขอนแก่น', 'ขอนแก่น')",บ้านแฮด,"('บ้านแฮด', 'ขอนแก่น')","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']","['199 หมู่ 9, ตำบลบ้านแฮด อำเภอบ้านแฮด จังหวัดขอนแก่น, 40110 Amphoe Ban Haet, Chang Wat Khon Kaen 40110, Thailand']",30.4 km,40 mins
6,เมืองขอนแก่น,"('เมืองขอนแก่น', 'ขอนแก่น')",โกสุมพิสัย,"('โกสุมพิสัย', 'มหาสารคาม')","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']","['63X8+CQX, Hua Khwang, Kosum Phisai District, Maha Sarakham 44140, Thailand']",44.8 km,47 mins
7,เมืองขอนแก่น,"('เมืองขอนแก่น', 'ขอนแก่น')",เชียงยืน,"('เชียงยืน', 'มหาสารคาม')","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']","['C454+63Q, Chiang Yuen, Chiang Yuen District, Maha Sarakham 44160, Thailand']",31.2 km,32 mins
8,บ้านฝาง,"('บ้านฝาง', 'ขอนแก่น')",เมืองขอนแก่น,"('เมืองขอนแก่น', 'ขอนแก่น')","['อาคารที่ว่าการอำเภอบ้านฝาง, ถนนมะลิวัลย์, ตำบลบ้านฝาง อำเภอบ้านฝาง จังหวัดขอนแก่น, 40270 Tambon Ban Fang, Amphoe Ban Fang, Chang Wat Khon Kaen 40270, Thailand']","['40000 Tambon Nai Mueang, Amphoe Mueang Khon Kaen, Chang Wat Khon Kaen 40000, Thailand']",21.9 km,28 mins
9,บ้านฝาง,"('บ้านฝาง', 'ขอนแก่น')",พระยืน,"('พระยืน', 'ขอนแก่น')","['อาคารที่ว่าการอำเภอบ้านฝาง, ถนนมะลิวัลย์, ตำบลบ้านฝาง อำเภอบ้านฝาง จังหวัดขอนแก่น, 40270 Tambon Ban Fang, Amphoe Ban Fang, Chang Wat Khon Kaen 40270, Thailand']","['8JFX+HCR, Phra Yuen, Phra Yuen District, Khon Kaen 40320, Thailand']",17.8 km,27 mins
