,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองสมุทรปราการ,"('เมืองสมุทรปราการ', 'สมุทรปราการ')",พระโขนง,"('พระโขนง', 'กรุงเทพมหานคร')","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['888 Soi Sukhumvit 54, แขวงพระโขนงใต้ Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand']",12.4 km,25 mins
1,เมืองสมุทรปราการ,"('เมืองสมุทรปราการ', 'สมุทรปราการ')",ยานนาวา,"('ยานนาวา', 'กรุงเทพมหานคร')","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['211, 5-8 น Nonsi Rd, Khwaeng Chong Nonsi, Khet Yan Nawa, Krung Thep Maha Nakhon 10120, Thailand']",15.6 km,19 mins
2,เมืองสมุทรปราการ,"('เมืองสมุทรปราการ', 'สมุทรปราการ')",ประเวศ,"('ประเวศ', 'กรุงเทพมหานคร')","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['33 เฉลิมพระเกีรยติ ร.9 ซอย 81 Khwaeng Prawet, Khet Prawet, Krung Thep Maha Nakhon 10250, Thailand']",24.5 km,27 mins
3,เมืองสมุทรปราการ,"('เมืองสมุทรปราการ', 'สมุทรปราการ')",บางนา,"('บางนา', 'กรุงเทพมหานคร')","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['888 Sanphawut Rd, แขวงบางนาเหนือ Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand']",9.5 km,19 mins
4,เมืองสมุทรปราการ,"('เมืองสมุทรปราการ', 'สมุทรปราการ')",บางบ่อ,"('บางบ่อ', 'สมุทรปราการ')","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['180 Rattanarat Rd, Tambon Bang Bo, Amphoe Bang Bo, Chang Wat Samut Prakan 10560, Thailand']",37.4 km,39 mins
5,เมืองสมุทรปราการ,"('เมืองสมุทรปราการ', 'สมุทรปราการ')",บางพลี,"('บางพลี', 'สมุทรปราการ')","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['JP44+8F7, Bang Phli Yai, Bang Phli District, Samut Prakan 10540, Thailand']",16.8 km,29 mins
6,เมืองสมุทรปราการ,"('เมืองสมุทรปราการ', 'สมุทรปราการ')",พระประแดง,"('พระประแดง', 'สมุทรปราการ')","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['67 Nakhon Kuan Kan Rd, Tambon Talat, Amphoe Phra Pradaeng, Chang Wat Samut Prakan 10130, Thailand']",15.8 km,21 mins
7,เมืองสมุทรปราการ,"('เมืองสมุทรปราการ', 'สมุทรปราการ')",พระสมุทรเจดีย์,"('พระสมุทรเจดีย์', 'สมุทรปราการ')","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['Moo 5, Tambon Laem Fa Pha, Amphoe Phra Samut Chedi, Samut Prakan, 10290, ตำบล แหลมฟ้าผ่า อำเภอพระสมุทรเจดีย์ สมุทรปราการ 10290, Thailand']",24.2 km,31 mins
8,เมืองสมุทรปราการ,"('เมืองสมุทรปราการ', 'สมุทรปราการ')",บางเสาธง,"('บางเสาธง', 'สมุทรปราการ')","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['HRVJ+X23, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand']",33.3 km,32 mins
9,บางบ่อ,"('บางบ่อ', 'สมุทรปราการ')",ลาดกระบัง,"('ลาดกระบัง', 'กรุงเทพมหานคร')","['180 Rattanarat Rd, Tambon Bang Bo, Amphoe Bang Bo, Chang Wat Samut Prakan 10560, Thailand']","['Lat Krabang District office, Lat Krabang Road, Lat Krabang, Khet Lat Krabang, Bangkok, 10520, แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520, Thailand']",27.2 km,29 mins
