,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองอุดรธานี,"('เมืองอุดรธานี', 'อุดรธานี')",กุดจับ,"('กุดจับ', 'อุดรธานี')","['CQ8P+4CX, Mukkha Montri, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand']","['CHG8+5PW Kut Chap District Office, Tambon Mueang Phia, Amphoe Kut Chap, Chang Wat Udon Thani 41250, Thailand']",25.4 km,34 mins
1,เมืองอุดรธานี,"('เมืองอุดรธานี', 'อุดรธานี')",หนองวัวซอ,"('หนองวัวซอ', 'อุดรธานี')","['CQ8P+4CX, Mukkha Montri, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand']","['5H6F+W48, Nong O, Nong Wua So District, Udon Thani 41220, Thailand']",40.5 km,46 mins
2,เมืองอุดรธานี,"('เมืองอุดรธานี', 'อุดรธานี')",กุมภวาปี,"('กุมภวาปี', 'อุดรธานี')","['CQ8P+4CX, Mukkha Montri, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand']","['4279+GF7, Kumphawapi, Kumphawapi District, Udon Thani 41110, Thailand']",45.8 km,52 mins
3,เมืองอุดรธานี,"('เมืองอุดรธานี', 'อุดรธานี')",หนองหาน,"('หนองหาน', 'อุดรธานี')","['CQ8P+4CX, Mukkha Montri, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand']","['9464+66G, Nong Han, Nong Han District, Udon Thani 41130, Thailand']",37.0 km,39 mins
4,เมืองอุดรธานี,"('เมืองอุดรธานี', 'อุดรธานี')",บ้านผือ,"('บ้านผือ', 'อุดรธานี')","['CQ8P+4CX, Mukkha Montri, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand']","['MFQF+345, Ban Phue, Ban Phue District, Udon Thani 41160, Thailand']",54.5 km,50 mins
5,เมืองอุดรธานี,"('เมืองอุดรธานี', 'อุดรธานี')",เพ็ญ,"('เพ็ญ', 'อุดรธานี')","['CQ8P+4CX, Mukkha Montri, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand']","['80 Wutthathikhun Rd, Tambon Phen, Amphoe Phen, Chang Wat Udon Thani 41150, Thailand']",38.1 km,37 mins
6,เมืองอุดรธานี,"('เมืองอุดรธานี', 'อุดรธานี')",หนองแสง,"('หนองแสง', 'อุดรธานี')","['CQ8P+4CX, Mukkha Montri, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand']","['5Q9J+FQV, Thap Kung, Nong Saeng District, Udon Thani 41340, Thailand']",39.5 km,46 mins
7,เมืองอุดรธานี,"('เมืองอุดรธานี', 'อุดรธานี')",พิบูลย์รักษ์,"('พิบูลย์รักษ์', 'อุดรธานี')","['CQ8P+4CX, Mukkha Montri, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand']","['G3X5+P33, Ban Daeng, Phibun Rak District, Udon Thani 41130, Thailand']",41.4 km,49 mins
8,เมืองอุดรธานี,"('เมืองอุดรธานี', 'อุดรธานี')",สระใคร,"('สระใคร', 'หนองคาย')","['CQ8P+4CX, Mukkha Montri, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand']","['217 หมู่ 3, ตำบลสระใคร อำเภอสระใคร จังหวัดหนองคาย, 43100 Tambon Ban Fang, Amphoe Sakhrai, Chang Wat Nong Khai 43100, Thailand']",35.5 km,35 mins
9,เมืองอุดรธานี,"('เมืองอุดรธานี', 'อุดรธานี')",ประจักษ์ศิลปาคม,"('ประจักษ์ศิลปาคม', 'อุดรธานี')","['CQ8P+4CX, Mukkha Montri, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand']","['17/11 DPT., Tambon Na Muang, Amphoe Prachaksinlapakhom, Chang Wat Udon Thani 41110, Thailand']",30.0 km,38 mins
10,กุดจับ,"('กุดจับ', 'อุดรธานี')",เมืองหนองบัวลำภู,"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')","['CHG8+5PW Kut Chap District Office, Tambon Mueang Phia, Amphoe Kut Chap, Chang Wat Udon Thani 41250, Thailand']","['6C3V+JCP, 129 Annaloyo St, Tambon Nong Bua, Amphoe Mueang Nong Bua Lam Phu, Chang Wat Nong Bua Lam Phu 39000, Thailand']",44.9 km,47 mins
11,กุดจับ,"('กุดจับ', 'อุดรธานี')",นากลาง,"('นากลาง', 'หนองบัวลำภู')","['CHG8+5PW Kut Chap District Office, Tambon Mueang Phia, Amphoe Kut Chap, Chang Wat Udon Thani 41250, Thailand']","['854Q+VGJ, Na Klang, Na Klang District, Nong Bua Lam Phu 39170, Thailand']",62.4 km,1 hour 7 mins
12,กุดจับ,"('กุดจับ', 'อุดรธานี')",สุวรรณคูหา,"('สุวรรณคูหา', 'หนองบัวลำภู')","['CHG8+5PW Kut Chap District Office, Tambon Mueang Phia, Amphoe Kut Chap, Chang Wat Udon Thani 41250, Thailand']","['H77H+5XW, Suwannakhuha, Suwannakhuha District, Nong Bua Lam Phu 39270, Thailand']",50.3 km,52 mins
