,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,นาแห้ว,"('นาแห้ว', 'เลย')",นครไทย,"('นครไทย', 'พิษณุโลก')","['F3P9+695, Na Haeo, Na Haeo District, Loei 42170, Thailand']","['4R2Q+54C, 248 Damri Rd, Tambon Nakhon Thai, Amphoe Nakhon Thai, Chang Wat Phitsanulok 65120, Thailand']",77.9 km,1 hour 22 mins
1,นาแห้ว,"('นาแห้ว', 'เลย')",ชาติตระการ,"('ชาติตระการ', 'พิษณุโลก')","['F3P9+695, Na Haeo, Na Haeo District, Loei 42170, Thailand']","['7HGX+MHQ, Pa Daeng, Chat Trakan District, Phitsanulok 65170, Thailand']",75.9 km,1 hour 45 mins
2,นาแห้ว,"('นาแห้ว', 'เลย')",ด่านซ้าย,"('ด่านซ้าย', 'เลย')","['F3P9+695, Na Haeo, Na Haeo District, Loei 42170, Thailand']","['อาคารที่ว่าการอำเภอด่านซ้าย, ถนนแก้วอาสา, ตำบลด่านซ้าย อำเภอด่านซ้าย จังหวัดเลย, 42120 Tambon Dan Sai, Amphoe Dan Sai, Chang Wat Loei 42120, Thailand']",33.3 km,38 mins
3,ภูเรือ,"('ภูเรือ', 'เลย')",ท่าลี่,"('ท่าลี่', 'เลย')","['F947+247, Nong Bua, Phu Ruea District, Loei 42160, Thailand']","['อาคารที่ว่าการอำเภอท่าลี่, ถนนทรงฆะศิริ, ตำบลท่าลี่ อำเภอท่าลี่ จังหวัดเลย, 42140 Tambon Tha Li, Amphoe Tha Li, Chang Wat Loei 42140, Thailand']",36.4 km,36 mins
4,ภูเรือ,"('ภูเรือ', 'เลย')",วังสะพุง,"('วังสะพุง', 'เลย')","['F947+247, Nong Bua, Phu Ruea District, Loei 42160, Thailand']","['อาคารที่ทำการองค์การบริหารส่วนตำบลวังสะพุง, ถนนหลวงสาย 2016, ตำบลวังสะพุง อำเภอวังสะพุง จังหวัดเลย, 42130 Tambon Wang Saphung, Amphoe Wang Saphung, Chang Wat Loei 42130, Thailand']",54.3 km,55 mins
5,ภูเรือ,"('ภูเรือ', 'เลย')",เมืองเลย,"('เมืองเลย', 'เลย')","['F947+247, Nong Bua, Phu Ruea District, Loei 42160, Thailand']","['FPQ9+5QC, Kut Pong, Mueang Loei District, Loei 42000, Thailand']",50.1 km,50 mins
6,ภูเรือ,"('ภูเรือ', 'เลย')",ด่านซ้าย,"('ด่านซ้าย', 'เลย')","['F947+247, Nong Bua, Phu Ruea District, Loei 42160, Thailand']","['อาคารที่ว่าการอำเภอด่านซ้าย, ถนนแก้วอาสา, ตำบลด่านซ้าย อำเภอด่านซ้าย จังหวัดเลย, 42120 Tambon Dan Sai, Amphoe Dan Sai, Chang Wat Loei 42120, Thailand']",34.4 km,33 mins
7,ท่าลี่,"('ท่าลี่', 'เลย')",ภูเรือ,"('ภูเรือ', 'เลย')","['อาคารที่ว่าการอำเภอท่าลี่, ถนนทรงฆะศิริ, ตำบลท่าลี่ อำเภอท่าลี่ จังหวัดเลย, 42140 Tambon Tha Li, Amphoe Tha Li, Chang Wat Loei 42140, Thailand']","['F947+247, Nong Bua, Phu Ruea District, Loei 42160, Thailand']",36.8 km,36 mins
8,ท่าลี่,"('ท่าลี่', 'เลย')",เมืองเลย,"('เมืองเลย', 'เลย')","['อาคารที่ว่าการอำเภอท่าลี่, ถนนทรงฆะศิริ, ตำบลท่าลี่ อำเภอท่าลี่ จังหวัดเลย, 42140 Tambon Tha Li, Amphoe Tha Li, Chang Wat Loei 42140, Thailand']","['FPQ9+5QC, Kut Pong, Mueang Loei District, Loei 42000, Thailand']",45.3 km,48 mins
9,ท่าลี่,"('ท่าลี่', 'เลย')",เชียงคาน,"('เชียงคาน', 'เลย')","['อาคารที่ว่าการอำเภอท่าลี่, ถนนทรงฆะศิริ, ตำบลท่าลี่ อำเภอท่าลี่ จังหวัดเลย, 42140 Tambon Tha Li, Amphoe Tha Li, Chang Wat Loei 42140, Thailand']","['ม.2 ต.เชียงคาน อ Tambon Chiang Khan, Amphoe Chiang Khan, Chang Wat Loei 42110, Thailand']",51.4 km,1 hour 1 min
