,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองหนองคาย,"('เมืองหนองคาย', 'หนองคาย')",บ้านผือ,"('บ้านผือ', 'อุดรธานี')","['VPJR+346, Nai Mueang, Mueang Nong Khai District, Nong Khai 43000, Thailand']","['MFQF+345, Ban Phue, Ban Phue District, Udon Thani 41160, Thailand']",51.3 km,53 mins
1,เมืองหนองคาย,"('เมืองหนองคาย', 'หนองคาย')",เพ็ญ,"('เพ็ญ', 'อุดรธานี')","['VPJR+346, Nai Mueang, Mueang Nong Khai District, Nong Khai 43000, Thailand']","['80 Wutthathikhun Rd, Tambon Phen, Amphoe Phen, Chang Wat Udon Thani 41150, Thailand']",38.3 km,38 mins
2,เมืองหนองคาย,"('เมืองหนองคาย', 'หนองคาย')",ท่าบ่อ,"('ท่าบ่อ', 'หนองคาย')","['VPJR+346, Nai Mueang, Mueang Nong Khai District, Nong Khai 43000, Thailand']","['อาคารที่ว่าการอำเภอท่าย่อ, ถนนสันติสุข, ตำบลท่าบ่อ อำเเภอท่าบ่อ จังหวัดหนองคาย, 43110 Tambon Nam Mong, Amphoe Tha Bo, Chang Wat Nong Khai 43110, Thailand']",27.9 km,30 mins
3,เมืองหนองคาย,"('เมืองหนองคาย', 'หนองคาย')",โพนพิสัย,"('โพนพิสัย', 'หนองคาย')","['VPJR+346, Nai Mueang, Mueang Nong Khai District, Nong Khai 43000, Thailand']","['23CG+PRP, Chumphon, Phon Phisai District, Nong Khai 43120, Thailand']",45.4 km,43 mins
4,เมืองหนองคาย,"('เมืองหนองคาย', 'หนองคาย')",สระใคร,"('สระใคร', 'หนองคาย')","['VPJR+346, Nai Mueang, Mueang Nong Khai District, Nong Khai 43000, Thailand']","['217 หมู่ 3, ตำบลสระใคร อำเภอสระใคร จังหวัดหนองคาย, 43100 Tambon Ban Fang, Amphoe Sakhrai, Chang Wat Nong Khai 43100, Thailand']",29.0 km,32 mins
5,ท่าบ่อ,"('ท่าบ่อ', 'หนองคาย')",บ้านผือ,"('บ้านผือ', 'อุดรธานี')","['อาคารที่ว่าการอำเภอท่าย่อ, ถนนสันติสุข, ตำบลท่าบ่อ อำเเภอท่าบ่อ จังหวัดหนองคาย, 43110 Tambon Nam Mong, Amphoe Tha Bo, Chang Wat Nong Khai 43110, Thailand']","['MFQF+345, Ban Phue, Ban Phue District, Udon Thani 41160, Thailand']",24.2 km,25 mins
6,ท่าบ่อ,"('ท่าบ่อ', 'หนองคาย')",เมืองหนองคาย,"('เมืองหนองคาย', 'หนองคาย')","['อาคารที่ว่าการอำเภอท่าย่อ, ถนนสันติสุข, ตำบลท่าบ่อ อำเเภอท่าบ่อ จังหวัดหนองคาย, 43110 Tambon Nam Mong, Amphoe Tha Bo, Chang Wat Nong Khai 43110, Thailand']","['VPJR+346, Nai Mueang, Mueang Nong Khai District, Nong Khai 43000, Thailand']",25.0 km,30 mins
7,ท่าบ่อ,"('ท่าบ่อ', 'หนองคาย')",ศรีเชียงใหม่,"('ศรีเชียงใหม่', 'หนองคาย')","['อาคารที่ว่าการอำเภอท่าย่อ, ถนนสันติสุข, ตำบลท่าบ่อ อำเเภอท่าบ่อ จังหวัดหนองคาย, 43110 Tambon Nam Mong, Amphoe Tha Bo, Chang Wat Nong Khai 43110, Thailand']","['ที่ว่าการ XH4Q+GR7, Tambon Phan Phrao, Amphoe Si Chiang Mai, Chang Wat Nong Khai 43130, Thailand']",15.0 km,16 mins
8,ท่าบ่อ,"('ท่าบ่อ', 'หนองคาย')",สระใคร,"('สระใคร', 'หนองคาย')","['อาคารที่ว่าการอำเภอท่าย่อ, ถนนสันติสุข, ตำบลท่าบ่อ อำเเภอท่าบ่อ จังหวัดหนองคาย, 43110 Tambon Nam Mong, Amphoe Tha Bo, Chang Wat Nong Khai 43110, Thailand']","['217 หมู่ 3, ตำบลสระใคร อำเภอสระใคร จังหวัดหนองคาย, 43100 Tambon Ban Fang, Amphoe Sakhrai, Chang Wat Nong Khai 43100, Thailand']",32.8 km,38 mins
9,ท่าบ่อ,"('ท่าบ่อ', 'หนองคาย')",โพธิ์ตาก,"('โพธิ์ตาก', 'หนองคาย')","['อาคารที่ว่าการอำเภอท่าย่อ, ถนนสันติสุข, ตำบลท่าบ่อ อำเเภอท่าบ่อ จังหวัดหนองคาย, 43110 Tambon Nam Mong, Amphoe Tha Bo, Chang Wat Nong Khai 43110, Thailand']","['VCG5+VRX, Pho Tak, Pho Tak District, Nong Khai 43130, Thailand']",23.5 km,31 mins
