,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองมหาสารคาม,"('เมืองมหาสารคาม', 'มหาสารคาม')",ฆ้องชัย,"('ฆ้องชัย', 'กาฬสินธุ์')","['58M2+MM3, Talat, Mueang Maha Sarakham District, Maha Sarakham 44000, Thailand']","['7F65+F9H, Khok Sa-at, Khong Chai District, Kalasin 46130, Thailand']",23.4 km,27 mins
1,เมืองมหาสารคาม,"('เมืองมหาสารคาม', 'มหาสารคาม')",แกดำ,"('แกดำ', 'มหาสารคาม')","['58M2+MM3, Talat, Mueang Maha Sarakham District, Maha Sarakham 44000, Thailand']","['29FM+MXG, Kae Dam, Kae Dam District, Maha Sarakham 44190, Thailand']",26.7 km,31 mins
2,เมืองมหาสารคาม,"('เมืองมหาสารคาม', 'มหาสารคาม')",โกสุมพิสัย,"('โกสุมพิสัย', 'มหาสารคาม')","['58M2+MM3, Talat, Mueang Maha Sarakham District, Maha Sarakham 44000, Thailand']","['63X8+CQX, Hua Khwang, Kosum Phisai District, Maha Sarakham 44140, Thailand']",29.9 km,31 mins
3,เมืองมหาสารคาม,"('เมืองมหาสารคาม', 'มหาสารคาม')",กันทรวิชัย,"('กันทรวิชัย', 'มหาสารคาม')","['58M2+MM3, Talat, Mueang Maha Sarakham District, Maha Sarakham 44000, Thailand']","['87FW+5P9, Khok Phra, Kantharawichai District, Maha Sarakham 44150, Thailand']",17.8 km,22 mins
4,เมืองมหาสารคาม,"('เมืองมหาสารคาม', 'มหาสารคาม')",บรบือ,"('บรบือ', 'มหาสารคาม')","['58M2+MM3, Talat, Mueang Maha Sarakham District, Maha Sarakham 44000, Thailand']","['24Q9+CH3, Borabue, Borabue District, Maha Sarakham 44130, Thailand']",26.2 km,27 mins
5,เมืองมหาสารคาม,"('เมืองมหาสารคาม', 'มหาสารคาม')",วาปีปทุม,"('วาปีปทุม', 'มหาสารคาม')","['58M2+MM3, Talat, Mueang Maha Sarakham District, Maha Sarakham 44000, Thailand']","['R9WH+9RV 2, Tambon Nong Saeng, Amphoe Wapi Pathum, Chang Wat Maha Sarakham 44120, Thailand']",42.0 km,42 mins
6,เมืองมหาสารคาม,"('เมืองมหาสารคาม', 'มหาสารคาม')",เมืองร้อยเอ็ด,"('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')","['58M2+MM3, Talat, Mueang Maha Sarakham District, Maha Sarakham 44000, Thailand']","['3M33+7V6, Nai Mueang, Mueang Roi Et District, Roi Et 45000, Thailand']",41.6 km,46 mins
7,เมืองมหาสารคาม,"('เมืองมหาสารคาม', 'มหาสารคาม')",ศรีสมเด็จ,"('ศรีสมเด็จ', 'ร้อยเอ็ด')","['58M2+MM3, Talat, Mueang Maha Sarakham District, Maha Sarakham 44000, Thailand']","['เลขที่ 10 Tambon Si Somdet, Amphoe Si Somdet, Chang Wat Roi Et 45000, Thailand']",37.3 km,42 mins
8,เมืองมหาสารคาม,"('เมืองมหาสารคาม', 'มหาสารคาม')",จังหาร,"('จังหาร', 'ร้อยเอ็ด')","['58M2+MM3, Talat, Mueang Maha Sarakham District, Maha Sarakham 44000, Thailand']","['อาคารที่ว่าการอำเภอจังหาร, ถนนเมืองพระ, ตำบลจังหาร อำเภอจังหาร จังหวัดร้อยเอ็ด, 45000 Tambon Changhan, Amphoe Changhan, Chang Wat Roi Et 45000, Thailand']",41.4 km,44 mins
9,เมืองมหาสารคาม,"('เมืองมหาสารคาม', 'มหาสารคาม')",กมลาไสย,"('กมลาไสย', 'กาฬสินธุ์')","['58M2+MM3, Talat, Mueang Maha Sarakham District, Maha Sarakham 44000, Thailand']","['8HQG+F4J, Kamalasai, Kamalasai District, Kalasin 46130, Thailand']",39.1 km,42 mins
