,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,จตุรพักตรพิมาน,"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')",วาปีปทุม,"('วาปีปทุม', 'มหาสารคาม')","['RHW4+9QR ถ. ปัทมานนท์ Tambon Hua Chang, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand']","['R9WH+9RV 2, Tambon Nong Saeng, Amphoe Wapi Pathum, Chang Wat Maha Sarakham 44120, Thailand']",22.4 km,28 mins
1,จตุรพักตรพิมาน,"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')",เมืองร้อยเอ็ด,"('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')","['RHW4+9QR ถ. ปัทมานนท์ Tambon Hua Chang, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand']","['3M33+7V6, Nai Mueang, Mueang Roi Et District, Roi Et 45000, Thailand']",27.1 km,27 mins
2,จตุรพักตรพิมาน,"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')",เกษตรวิสัย,"('เกษตรวิสัย', 'ร้อยเอ็ด')","['RHW4+9QR ถ. ปัทมานนท์ Tambon Hua Chang, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand']","['MH4H+QX8, Kaset Wisai, Kaset Wisai District, Roi Et 45150, Thailand']",21.6 km,19 mins
3,จตุรพักตรพิมาน,"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')",ปทุมรัตต์,"('ปทุมรัตต์', 'ร้อยเอ็ด')","['RHW4+9QR ถ. ปัทมานนท์ Tambon Hua Chang, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand']","['J8MV+Q4W, Bua Daeng, Pathum Rat District, Roi Et 45190, Thailand']",39.3 km,38 mins
4,จตุรพักตรพิมาน,"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')",เมืองสรวง,"('เมืองสรวง', 'ร้อยเอ็ด')","['RHW4+9QR ถ. ปัทมานนท์ Tambon Hua Chang, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand']","['RPF9+63C, Nong Phue, Mueang Suang District, Roi Et 45220, Thailand']",19.1 km,21 mins
5,จตุรพักตรพิมาน,"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')",อาจสามารถ,"('อาจสามารถ', 'ร้อยเอ็ด')","['RHW4+9QR ถ. ปัทมานนท์ Tambon Hua Chang, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand']","['RVVH+FCG ถนน รณชัยชาญยุทธ Tambon At Samat, Amphoe At Samat, Chang Wat Roi Et 45160, Thailand']",41.2 km,44 mins
6,จตุรพักตรพิมาน,"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')",ศรีสมเด็จ,"('ศรีสมเด็จ', 'ร้อยเอ็ด')","['RHW4+9QR ถ. ปัทมานนท์ Tambon Hua Chang, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand']","['เลขที่ 10 Tambon Si Somdet, Amphoe Si Somdet, Chang Wat Roi Et 45000, Thailand']",24.5 km,30 mins
7,ธวัชบุรี,"('ธวัชบุรี', 'ร้อยเอ็ด')",โพนทอง,"('โพนทอง', 'ร้อยเอ็ด')","['ถนนแจ้งสนิท, ตำบลนิเวศน์ อำเภอธวัชบุรี จังหวัดร้อยเอ็ด, 45170 Tambon Niwet, Amphoe Thawat Buri, Chang Wat Roi Et 45170, Thailand']","['หมู่ 1, ถนนนิคมดำริห์, ตำบลแวง อำเภอโพนทอง จังหวัดร้อยเอ็ด, 45110 8X2H+4CG, Tambon Waeng, Amphoe Phon Thong, Chang Wat Roi Et 45110, Thailand']",52.0 km,48 mins
8,ธวัชบุรี,"('ธวัชบุรี', 'ร้อยเอ็ด')",โพธิ์ชัย,"('โพธิ์ชัย', 'ร้อยเอ็ด')","['ถนนแจ้งสนิท, ตำบลนิเวศน์ อำเภอธวัชบุรี จังหวัดร้อยเอ็ด, 45170 Tambon Niwet, Amphoe Thawat Buri, Chang Wat Roi Et 45170, Thailand']","['หมู่ 2, อาคารที่ว่าการอำเภอโพธิ์ชัย, ถนนจรจำรูญ, ตำบลขามเปี้ย อำเภอโพธิ์ชัย จังหวัดร้อยเอ็ด, 45230 Tambon Kham Bia, Amphoe Pho Chai, Chang Wat Roi Et 45230, Thailand']",46.6 km,51 mins
9,ธวัชบุรี,"('ธวัชบุรี', 'ร้อยเอ็ด')",เสลภูมิ,"('เสลภูมิ', 'ร้อยเอ็ด')","['ถนนแจ้งสนิท, ตำบลนิเวศน์ อำเภอธวัชบุรี จังหวัดร้อยเอ็ด, 45170 Tambon Niwet, Amphoe Thawat Buri, Chang Wat Roi Et 45170, Thailand']","['2WMM+8G4, Khwan Mueang, Selaphum District, Roi Et 45120, Thailand']",25.0 km,21 mins
10,ธวัชบุรี,"('ธวัชบุรี', 'ร้อยเอ็ด')",เมืองร้อยเอ็ด,"('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')","['ถนนแจ้งสนิท, ตำบลนิเวศน์ อำเภอธวัชบุรี จังหวัดร้อยเอ็ด, 45170 Tambon Niwet, Amphoe Thawat Buri, Chang Wat Roi Et 45170, Thailand']","['3M33+7V6, Nai Mueang, Mueang Roi Et District, Roi Et 45000, Thailand']",10.5 km,14 mins
