,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",โพนทอง,"('โพนทอง', 'ร้อยเอ็ด')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['หมู่ 1, ถนนนิคมดำริห์, ตำบลแวง อำเภอโพนทอง จังหวัดร้อยเอ็ด, 45110 8X2H+4CG, Tambon Waeng, Amphoe Phon Thong, Chang Wat Roi Et 45110, Thailand']",28.4 km,28 mins
1,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",โพธิ์ชัย,"('โพธิ์ชัย', 'ร้อยเอ็ด')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['หมู่ 2, อาคารที่ว่าการอำเภอโพธิ์ชัย, ถนนจรจำรูญ, ตำบลขามเปี้ย อำเภอโพธิ์ชัย จังหวัดร้อยเอ็ด, 45230 Tambon Kham Bia, Amphoe Pho Chai, Chang Wat Roi Et 45230, Thailand']",50.0 km,42 mins
2,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",หนองพอก,"('หนองพอก', 'ร้อยเอ็ด')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['หมู่ 1, อาคารที่ว่าการอำเภอหนองพอก, ตำบลหนองพอก อำเภอหนองพอก จังหวัดร้อยเอ็ด, 45210 Tambon Nong Phok, Amphoe Nong Phok, Chang Wat Roi Et 45210, Thailand']",48.4 km,49 mins
3,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",เขาวง,"('เขาวง', 'กาฬสินธุ์')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['9600 กส.4018 Tambon Khum Kao, Amphoe Khao Wong, Chang Wat Kalasin 46160, Thailand']",20.1 km,22 mins
4,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",ห้วยผึ้ง,"('ห้วยผึ้ง', 'กาฬสินธุ์')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['JWW5+CJ7, Khai Nun, Huai Phueng District, Kalasin 46240, Thailand']",20.9 km,21 mins
5,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",นาคู,"('นาคู', 'กาฬสินธุ์')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['Moo 11, Rural Kalasin 4022 Road Tambon Na Khu, Amphoe Na Khu, Chang Wat Kalasin 46160, Thailand']",33.0 km,36 mins
6,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",ดอนจาน,"('ดอนจาน', 'กาฬสินธุ์')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['หมู่ 3, ตำบลดอนจาน อำเภอดอนจาน จังหวัดกาฬสินธุ์, 46000 Tambon Don Chan, Amphoe Don Chan, Chang Wat Kalasin 46000, Thailand']",49.9 km,43 mins
7,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",คำชะอี,"('คำชะอี', 'มุกดาหาร')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['HCG9+VQF, Nam Thiang, Khamcha-i District, Mukdahan 49110, Thailand']",45.6 km,39 mins
8,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",เมยวดี,"('เมยวดี', 'ร้อยเอ็ด')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['95Q4+MX2, Moei Wadi, Moei Wadi District, Roi Et 45250, Thailand']",32.3 km,37 mins
9,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",นามน,"('นามน', 'กาฬสินธุ์')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['HQGP+4MG, Na Mon, Na Mon District, Kalasin 46230, Thailand']",34.1 km,38 mins
10,กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')",หนองสูง,"('หนองสูง', 'มุกดาหาร')","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']","['ที่ว่าการ อำเภอ หนอง สูง, F8PV+PMG ตำบล หนองสูงเหนือ อำเภอ หนองสูง มุกดาหาร 49160, Thailand']",32.4 km,31 mins
11,เขาวง,"('เขาวง', 'กาฬสินธุ์')",กุฉินารายณ์,"('กุฉินารายณ์', 'กาฬสินธุ์')","['9600 กส.4018 Tambon Khum Kao, Amphoe Khao Wong, Chang Wat Kalasin 46160, Thailand']","['G3P3+VR3, Kuchinarai District, Kalasin 46110, Thailand']",20.3 km,21 mins
12,เขาวง,"('เขาวง', 'กาฬสินธุ์')",นาคู,"('นาคู', 'กาฬสินธุ์')","['9600 กส.4018 Tambon Khum Kao, Amphoe Khao Wong, Chang Wat Kalasin 46160, Thailand']","['Moo 11, Rural Kalasin 4022 Road Tambon Na Khu, Amphoe Na Khu, Chang Wat Kalasin 46160, Thailand']",13.2 km,16 mins
13,เขาวง,"('เขาวง', 'กาฬสินธุ์')",ดงหลวง,"('ดงหลวง', 'มุกดาหาร')","['9600 กส.4018 Tambon Khum Kao, Amphoe Khao Wong, Chang Wat Kalasin 46160, Thailand']","['315 2287, Tambon Dong Luang, Amphoe Dong Luang, Chang Wat Mukdahan 49140, Thailand']",78.5 km,1 hour 28 mins
14,เขาวง,"('เขาวง', 'กาฬสินธุ์')",คำชะอี,"('คำชะอี', 'มุกดาหาร')","['9600 กส.4018 Tambon Khum Kao, Amphoe Khao Wong, Chang Wat Kalasin 46160, Thailand']","['HCG9+VQF, Nam Thiang, Khamcha-i District, Mukdahan 49110, Thailand']",65.4 km,58 mins
15,ยางตลาด,"('ยางตลาด', 'กาฬสินธุ์')",ห้วยเม็ก,"('ห้วยเม็ก', 'กาฬสินธุ์')","['หมู่ 10, ตําบลยางตลาด อําเภอยางตลาด จังหวัดกาฬสินธุ์, 46120 Tambon Yang Talat, Amphoe Yang Talat, Chang Wat Kalasin 46120, Thailand']","['H6RP+35X, Huai Mek, Huai Mek District, Kalasin 46170, Thailand']",33.6 km,31 mins
16,ยางตลาด,"('ยางตลาด', 'กาฬสินธุ์')",หนองกุงศรี,"('หนองกุงศรี', 'กาฬสินธุ์')","['หมู่ 10, ตําบลยางตลาด อําเภอยางตลาด จังหวัดกาฬสินธุ์, 46120 Tambon Yang Talat, Amphoe Yang Talat, Chang Wat Kalasin 46120, Thailand']","['M74V+8HF, Nong Kung Si, Nong Kung Si District, Kalasin 46220, Thailand']",47.6 km,45 mins
17,ยางตลาด,"('ยางตลาด', 'กาฬสินธุ์')",ฆ้องชัย,"('ฆ้องชัย', 'กาฬสินธุ์')","['หมู่ 10, ตําบลยางตลาด อําเภอยางตลาด จังหวัดกาฬสินธุ์, 46120 Tambon Yang Talat, Amphoe Yang Talat, Chang Wat Kalasin 46120, Thailand']","['7F65+F9H, Khok Sa-at, Khong Chai District, Kalasin 46130, Thailand']",26.1 km,28 mins
