,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองสกลนคร,"('เมืองสกลนคร', 'สกลนคร')",กุสุมาลย์,"('กุสุมาลย์', 'สกลนคร')","['อาคารที่ว่าการ 544M+8H4, Ratchakan Alley, Tambon That Na Weng, Amphoe Mueang Sakon Nakhon, Chang Wat Sakon Nakhon 47000, Thailand']","['6/13 หมู่ 1, ตำบลกุสุมาลย์ อำเภอกุสุมาลย์ จังหวัดสกลนคร, 47210 Tambon Kusuman, Amphoe Kusuman, Chang Wat Sakon Nakhon 47210, Thailand']",42.2 km,42 mins
1,เมืองสกลนคร,"('เมืองสกลนคร', 'สกลนคร')",กุดบาก,"('กุดบาก', 'สกลนคร')","['อาคารที่ว่าการ 544M+8H4, Ratchakan Alley, Tambon That Na Weng, Amphoe Mueang Sakon Nakhon, Chang Wat Sakon Nakhon 47000, Thailand']","['8 หมู่ 1, ถนนเจริญราษฎร์, ตำบลกุดบาก อำเภอกุดบาก จังหวัดสกลนคร, 47180 Tambon Kut Bak, Amphoe Kut Bak, Chang Wat Sakon Nakhon 47180, Thailand']",42.4 km,46 mins
2,เมืองสกลนคร,"('เมืองสกลนคร', 'สกลนคร')",พรรณานิคม,"('พรรณานิคม', 'สกลนคร')","['อาคารที่ว่าการ 544M+8H4, Ratchakan Alley, Tambon That Na Weng, Amphoe Mueang Sakon Nakhon, Chang Wat Sakon Nakhon 47000, Thailand']","['9R2W+JQR 2094 Tambon Phan Na, Amphoe Phanna Nikhom, Chang Wat Sakon Nakhon 47130, Thailand']",40.3 km,40 mins
3,เมืองสกลนคร,"('เมืองสกลนคร', 'สกลนคร')",เต่างอย,"('เต่างอย', 'สกลนคร')","['อาคารที่ว่าการ 544M+8H4, Ratchakan Alley, Tambon That Na Weng, Amphoe Mueang Sakon Nakhon, Chang Wat Sakon Nakhon 47000, Thailand']","['X5W9+Q3Q, Na Tan, Tao Ngoi District, Sakon Nakhon 47260, Thailand']",19.9 km,25 mins
4,เมืองสกลนคร,"('เมืองสกลนคร', 'สกลนคร')",โคกศรีสุพรรณ,"('โคกศรีสุพรรณ', 'สกลนคร')","['อาคารที่ว่าการ 544M+8H4, Ratchakan Alley, Tambon That Na Weng, Amphoe Mueang Sakon Nakhon, Chang Wat Sakon Nakhon 47000, Thailand']","['174 หมู่ที่ 14 Tambon Tong Khop, Amphoe Khok Si Suphan, Chang Wat Sakon Nakhon 47280, Thailand']",23.6 km,27 mins
5,เมืองสกลนคร,"('เมืองสกลนคร', 'สกลนคร')",โพนนาแก้ว,"('โพนนาแก้ว', 'สกลนคร')","['อาคารที่ว่าการ 544M+8H4, Ratchakan Alley, Tambon That Na Weng, Amphoe Mueang Sakon Nakhon, Chang Wat Sakon Nakhon 47000, Thailand']","['67CQ+FWM, Na Kaeo, Phon Na Kaeo District, Sakon Nakhon 47230, Thailand']",35.4 km,40 mins
6,เมืองสกลนคร,"('เมืองสกลนคร', 'สกลนคร')",ภูพาน,"('ภูพาน', 'สกลนคร')","['อาคารที่ว่าการ 544M+8H4, Ratchakan Alley, Tambon That Na Weng, Amphoe Mueang Sakon Nakhon, Chang Wat Sakon Nakhon 47000, Thailand']","['XXX8+X62, Khok Phu, Phu Phan District, Sakon Nakhon 47180, Thailand']",32.7 km,35 mins
7,เมืองสกลนคร,"('เมืองสกลนคร', 'สกลนคร')",นาหว้า,"('นาหว้า', 'นครพนม')","['อาคารที่ว่าการ 544M+8H4, Ratchakan Alley, Tambon That Na Weng, Amphoe Mueang Sakon Nakhon, Chang Wat Sakon Nakhon 47000, Thailand']","['F4Q2+PH8, Na Wa, Na Wa District, Nakhon Phanom 48180, Thailand']",46.1 km,47 mins
8,กุสุมาลย์,"('กุสุมาลย์', 'สกลนคร')",เมืองสกลนคร,"('เมืองสกลนคร', 'สกลนคร')","['6/13 หมู่ 1, ตำบลกุสุมาลย์ อำเภอกุสุมาลย์ จังหวัดสกลนคร, 47210 Tambon Kusuman, Amphoe Kusuman, Chang Wat Sakon Nakhon 47210, Thailand']","['อาคารที่ว่าการ 544M+8H4, Ratchakan Alley, Tambon That Na Weng, Amphoe Mueang Sakon Nakhon, Chang Wat Sakon Nakhon 47000, Thailand']",40.4 km,41 mins
9,กุสุมาลย์,"('กุสุมาลย์', 'สกลนคร')",พรรณานิคม,"('พรรณานิคม', 'สกลนคร')","['6/13 หมู่ 1, ตำบลกุสุมาลย์ อำเภอกุสุมาลย์ จังหวัดสกลนคร, 47210 Tambon Kusuman, Amphoe Kusuman, Chang Wat Sakon Nakhon 47210, Thailand']","['9R2W+JQR 2094 Tambon Phan Na, Amphoe Phanna Nikhom, Chang Wat Sakon Nakhon 47130, Thailand']",67.4 km,59 mins
