,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองนครพนม,"('เมืองนครพนม', 'นครพนม')",กุสุมาลย์,"('กุสุมาลย์', 'สกลนคร')","['9Q86+V8M, Nong Yat, Mueang Nakhon Phanom District, Nakhon Phanom 48000, Thailand']","['6/13 หมู่ 1, ตำบลกุสุมาลย์ อำเภอกุสุมาลย์ จังหวัดสกลนคร, 47210 Tambon Kusuman, Amphoe Kusuman, Chang Wat Sakon Nakhon 47210, Thailand']",51.0 km,42 mins
1,เมืองนครพนม,"('เมืองนครพนม', 'นครพนม')",โพนนาแก้ว,"('โพนนาแก้ว', 'สกลนคร')","['9Q86+V8M, Nong Yat, Mueang Nakhon Phanom District, Nakhon Phanom 48000, Thailand']","['67CQ+FWM, Na Kaeo, Phon Na Kaeo District, Sakon Nakhon 47230, Thailand']",77.3 km,1 hour 5 mins
2,เมืองนครพนม,"('เมืองนครพนม', 'นครพนม')",ปลาปาก,"('ปลาปาก', 'นครพนม')","['9Q86+V8M, Nong Yat, Mueang Nakhon Phanom District, Nakhon Phanom 48000, Thailand']","['5GJG+6FC, Pla Pak, Pla Pak District, Nakhon Phanom 48160, Thailand']",42.1 km,39 mins
3,เมืองนครพนม,"('เมืองนครพนม', 'นครพนม')",ท่าอุเทน,"('ท่าอุเทน', 'นครพนม')","['9Q86+V8M, Nong Yat, Mueang Nakhon Phanom District, Nakhon Phanom 48000, Thailand']","['HJ46+QX2 212 Tambon Non Tan, Amphoe Tha Uthen, Chang Wat Nakhon Phanom 48120, Thailand']",31.4 km,30 mins
4,เมืองนครพนม,"('เมืองนครพนม', 'นครพนม')",ธาตุพนม,"('ธาตุพนม', 'นครพนม')","['9Q86+V8M, Nong Yat, Mueang Nakhon Phanom District, Nakhon Phanom 48000, Thailand']","['WPP5+GRV, That Phanom, That Phanom District, Nakhon Phanom 48110, Thailand']",56.2 km,55 mins
5,เมืองนครพนม,"('เมืองนครพนม', 'นครพนม')",เรณูนคร,"('เรณูนคร', 'นครพนม')","['9Q86+V8M, Nong Yat, Mueang Nakhon Phanom District, Nakhon Phanom 48000, Thailand']","['104 หมู่่ 9, อาคารที่ว่าการอำเภอเรณูนคร ชั้น 1, ตำบลโพนทอง อำเภอเรณูนคร จังหวัดนครพนม, 48170 Tambon Phon Thong, Amphoe Renu Nakhon, Chang Wat Nakhon Phanom 48170, Thailand']",43.4 km,44 mins
6,เมืองนครพนม,"('เมืองนครพนม', 'นครพนม')",โพนสวรรค์,"('โพนสวรรค์', 'นครพนม')","['9Q86+V8M, Nong Yat, Mueang Nakhon Phanom District, Nakhon Phanom 48000, Thailand']","['FF49+CG4, Phon Sawan, Phon Sawan District, Nakhon Phanom 48190, Thailand']",50.1 km,46 mins
7,ปลาปาก,"('ปลาปาก', 'นครพนม')",กุสุมาลย์,"('กุสุมาลย์', 'สกลนคร')","['5GJG+6FC, Pla Pak, Pla Pak District, Nakhon Phanom 48160, Thailand']","['6/13 หมู่ 1, ตำบลกุสุมาลย์ อำเภอกุสุมาลย์ จังหวัดสกลนคร, 47210 Tambon Kusuman, Amphoe Kusuman, Chang Wat Sakon Nakhon 47210, Thailand']",31.0 km,30 mins
8,ปลาปาก,"('ปลาปาก', 'นครพนม')",โคกศรีสุพรรณ,"('โคกศรีสุพรรณ', 'สกลนคร')","['5GJG+6FC, Pla Pak, Pla Pak District, Nakhon Phanom 48160, Thailand']","['174 หมู่ที่ 14 Tambon Tong Khop, Amphoe Khok Si Suphan, Chang Wat Sakon Nakhon 47280, Thailand']",43.1 km,50 mins
9,ปลาปาก,"('ปลาปาก', 'นครพนม')",โพนนาแก้ว,"('โพนนาแก้ว', 'สกลนคร')","['5GJG+6FC, Pla Pak, Pla Pak District, Nakhon Phanom 48160, Thailand']","['67CQ+FWM, Na Kaeo, Phon Na Kaeo District, Sakon Nakhon 47230, Thailand']",33.6 km,39 mins
10,ปลาปาก,"('ปลาปาก', 'นครพนม')",เมืองนครพนม,"('เมืองนครพนม', 'นครพนม')","['5GJG+6FC, Pla Pak, Pla Pak District, Nakhon Phanom 48160, Thailand']","['9Q86+V8M, Nong Yat, Mueang Nakhon Phanom District, Nakhon Phanom 48000, Thailand']",42.1 km,39 mins
11,ปลาปาก,"('ปลาปาก', 'นครพนม')",ธาตุพนม,"('ธาตุพนม', 'นครพนม')","['5GJG+6FC, Pla Pak, Pla Pak District, Nakhon Phanom 48160, Thailand']","['WPP5+GRV, That Phanom, That Phanom District, Nakhon Phanom 48110, Thailand']",41.6 km,47 mins
12,ปลาปาก,"('ปลาปาก', 'นครพนม')",เรณูนคร,"('เรณูนคร', 'นครพนม')","['5GJG+6FC, Pla Pak, Pla Pak District, Nakhon Phanom 48160, Thailand']","['104 หมู่่ 9, อาคารที่ว่าการอำเภอเรณูนคร ชั้น 1, ตำบลโพนทอง อำเภอเรณูนคร จังหวัดนครพนม, 48170 Tambon Phon Thong, Amphoe Renu Nakhon, Chang Wat Nakhon Phanom 48170, Thailand']",23.9 km,26 mins
13,ปลาปาก,"('ปลาปาก', 'นครพนม')",นาแก,"('นาแก', 'นครพนม')","['5GJG+6FC, Pla Pak, Pla Pak District, Nakhon Phanom 48160, Thailand']","['646 หมู่ที่ 4, ถนนธาตุพนม-นาแก, ตำบลนาแก อำเภอนาแก จังหวัดนครพนม, 48130 Tambon Na Kae, Amphoe Na Kae, Chang Wat Nakhon Phanom 48130, Thailand']",34.6 km,35 mins
14,ปลาปาก,"('ปลาปาก', 'นครพนม')",วังยาง,"('วังยาง', 'นครพนม')","['5GJG+6FC, Pla Pak, Pla Pak District, Nakhon Phanom 48160, Thailand']","['3F73+GHW, Nong Pho, Wang Yang District, Nakhon Phanom 48130, Thailand']",18.7 km,24 mins
15,ท่าอุเทน,"('ท่าอุเทน', 'นครพนม')",เมืองนครพนม,"('เมืองนครพนม', 'นครพนม')","['HJ46+QX2 212 Tambon Non Tan, Amphoe Tha Uthen, Chang Wat Nakhon Phanom 48120, Thailand']","['9Q86+V8M, Nong Yat, Mueang Nakhon Phanom District, Nakhon Phanom 48000, Thailand']",30.7 km,29 mins
16,ท่าอุเทน,"('ท่าอุเทน', 'นครพนม')",บ้านแพง,"('บ้านแพง', 'นครพนม')","['HJ46+QX2 212 Tambon Non Tan, Amphoe Tha Uthen, Chang Wat Nakhon Phanom 48120, Thailand']","['X698+788, Ban Phaeng, Ban Phaeng District, Nakhon Phanom 48140, Thailand']",70.8 km,58 mins
17,ท่าอุเทน,"('ท่าอุเทน', 'นครพนม')",ศรีสงคราม,"('ศรีสงคราม', 'นครพนม')","['HJ46+QX2 212 Tambon Non Tan, Amphoe Tha Uthen, Chang Wat Nakhon Phanom 48120, Thailand']","['J7G2+R96, Si Songkhram, Si Songkhram District, Nakhon Phanom 48150, Thailand']",44.9 km,43 mins
18,ท่าอุเทน,"('ท่าอุเทน', 'นครพนม')",โพนสวรรค์,"('โพนสวรรค์', 'นครพนม')","['HJ46+QX2 212 Tambon Non Tan, Amphoe Tha Uthen, Chang Wat Nakhon Phanom 48120, Thailand']","['FF49+CG4, Phon Sawan, Phon Sawan District, Nakhon Phanom 48190, Thailand']",20.3 km,20 mins
19,บ้านแพง,"('บ้านแพง', 'นครพนม')",บึงโขงหลง,"('บึงโขงหลง', 'บึงกาฬ')","['X698+788, Ban Phaeng, Ban Phaeng District, Nakhon Phanom 48140, Thailand']","['X28V+RQQ, Bueng Khong Long, Bueng Khong Long District, Bueng Kan 38220, Thailand']",26.7 km,28 mins
20,บ้านแพง,"('บ้านแพง', 'นครพนม')",ท่าอุเทน,"('ท่าอุเทน', 'นครพนม')","['X698+788, Ban Phaeng, Ban Phaeng District, Nakhon Phanom 48140, Thailand']","['HJ46+QX2 212 Tambon Non Tan, Amphoe Tha Uthen, Chang Wat Nakhon Phanom 48120, Thailand']",69.9 km,57 mins
