,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองมุกดาหาร,"('เมืองมุกดาหาร', 'มุกดาหาร')",ธาตุพนม,"('ธาตุพนม', 'นครพนม')","['GPQ7+7WG ถนน พิทักษ์พนมเขต Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand']","['WPP5+GRV, That Phanom, That Phanom District, Nakhon Phanom 48110, Thailand']",51.8 km,49 mins
1,เมืองมุกดาหาร,"('เมืองมุกดาหาร', 'มุกดาหาร')",นิคมคำสร้อย,"('นิคมคำสร้อย', 'มุกดาหาร')","['GPQ7+7WG ถนน พิทักษ์พนมเขต Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand']","['9HC2+P7R, Nikhom Kham Soi, Nikhom Kham Soi District, Mukdahan 49130, Thailand']",27.1 km,26 mins
2,เมืองมุกดาหาร,"('เมืองมุกดาหาร', 'มุกดาหาร')",ดอนตาล,"('ดอนตาล', 'มุกดาหาร')","['GPQ7+7WG ถนน พิทักษ์พนมเขต Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand']","['อาคารที่ว่าการอำเภอดอนตาล, ถนนเหมลา, ตำบลดอนตาล อำเภอดอนตาล จังหวัดมุกดาหาร, 49120 Tambon Don Tan, Amphoe Don Tan, Chang Wat Mukdahan 49120, Thailand']",34.2 km,31 mins
3,เมืองมุกดาหาร,"('เมืองมุกดาหาร', 'มุกดาหาร')",ดงหลวง,"('ดงหลวง', 'มุกดาหาร')","['GPQ7+7WG ถนน พิทักษ์พนมเขต Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand']","['315 2287, Tambon Dong Luang, Amphoe Dong Luang, Chang Wat Mukdahan 49140, Thailand']",54.8 km,55 mins
4,เมืองมุกดาหาร,"('เมืองมุกดาหาร', 'มุกดาหาร')",คำชะอี,"('คำชะอี', 'มุกดาหาร')","['GPQ7+7WG ถนน พิทักษ์พนมเขต Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand']","['HCG9+VQF, Nam Thiang, Khamcha-i District, Mukdahan 49110, Thailand']",38.0 km,37 mins
5,เมืองมุกดาหาร,"('เมืองมุกดาหาร', 'มุกดาหาร')",เลิงนกทา,"('เลิงนกทา', 'ยโสธร')","['GPQ7+7WG ถนน พิทักษ์พนมเขต Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand']","['6H53+4XH, Kong Roi A-sa Samak Rd, Tambon Sam Yaek, Amphoe Loeng Nok Tha, Chang Wat Yasothon 35120, Thailand']",48.7 km,45 mins
6,เมืองมุกดาหาร,"('เมืองมุกดาหาร', 'มุกดาหาร')",ว่านใหญ่,"('ว่านใหญ่', 'มุกดาหาร')","['GPQ7+7WG ถนน พิทักษ์พนมเขต Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand']","['PPHQ+3H7, Pong Kham, Wan Yai District, Mukdahan 49150, Thailand']",26.9 km,35 mins
7,เมืองมุกดาหาร,"('เมืองมุกดาหาร', 'มุกดาหาร')",หนองสูง,"('หนองสูง', 'มุกดาหาร')","['GPQ7+7WG ถนน พิทักษ์พนมเขต Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand']","['ที่ว่าการ อำเภอ หนอง สูง, F8PV+PMG ตำบล หนองสูงเหนือ อำเภอ หนองสูง มุกดาหาร 49160, Thailand']",52.0 km,48 mins
8,นิคมคำสร้อย,"('นิคมคำสร้อย', 'มุกดาหาร')",เมืองมุกดาหาร,"('เมืองมุกดาหาร', 'มุกดาหาร')","['9HC2+P7R, Nikhom Kham Soi, Nikhom Kham Soi District, Mukdahan 49130, Thailand']","['GPQ7+7WG ถนน พิทักษ์พนมเขต Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand']",27.2 km,26 mins
9,นิคมคำสร้อย,"('นิคมคำสร้อย', 'มุกดาหาร')",ดอนตาล,"('ดอนตาล', 'มุกดาหาร')","['9HC2+P7R, Nikhom Kham Soi, Nikhom Kham Soi District, Mukdahan 49130, Thailand']","['อาคารที่ว่าการอำเภอดอนตาล, ถนนเหมลา, ตำบลดอนตาล อำเภอดอนตาล จังหวัดมุกดาหาร, 49120 Tambon Don Tan, Amphoe Don Tan, Chang Wat Mukdahan 49120, Thailand']",46.2 km,48 mins
