,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,แม่อาย,"('แม่อาย', 'เชียงใหม่')",เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')","['27JP+CRR, Mae Ai, Mae Ai District, Chiang Mai 50280, Thailand']","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']",96.8 km,1 hour 40 mins
1,แม่อาย,"('แม่อาย', 'เชียงใหม่')",แม่จัน,"('แม่จัน', 'เชียงราย')","['27JP+CRR, Mae Ai, Mae Ai District, Chiang Mai 50280, Thailand']","['4VW3+87J, 175 Ratchaburi, Tambon Mae Chan, Amphoe Mae Chan, Chang Wat Chiang Rai 57110, Thailand']",70.0 km,1 hour 13 mins
2,แม่อาย,"('แม่อาย', 'เชียงใหม่')",แม่สรวย,"('แม่สรวย', 'เชียงราย')","['27JP+CRR, Mae Ai, Mae Ai District, Chiang Mai 50280, Thailand']","['อาคารที่ว่าการอำเภอแม่สรวย, ถนนเชียงราย-เชียงใหม่, ตำบลแม่สรวย อำเภอแม่สรวย จังหวัดเชียงราย, 57180 Tambon Mae Suai, Amphoe Mae Suai, Chang Wat Chiang Rai 57180, Thailand']",86.3 km,1 hour 36 mins
3,แม่อาย,"('แม่อาย', 'เชียงใหม่')",ฝาง,"('ฝาง', 'เชียงใหม่')","['27JP+CRR, Mae Ai, Mae Ai District, Chiang Mai 50280, Thailand']","['W697+G9R, San Sai, Fang District, Chiang Mai 50110, Thailand']",15.8 km,19 mins
4,แม่อาย,"('แม่อาย', 'เชียงใหม่')",แม่ฟ้าหลวง,"('แม่ฟ้าหลวง', 'เชียงราย')","['27JP+CRR, Mae Ai, Mae Ai District, Chiang Mai 50280, Thailand']","['7R82+QC5, Mae Fa Luang, Mae Fa Luang District, Chiang Rai 57240, Thailand']",90.2 km,1 hour 37 mins
5,พร้าว,"('พร้าว', 'เชียงใหม่')",สันทราย,"('สันทราย', 'เชียงใหม่')","['79 Bunma 2 Alley, Tambon Wiang, Amphoe Phrao, Chang Wat Chiang Mai 50190, Thailand']","['R2XW+F28, San Sai Luang, San Sai District, Chiang Mai 50210, Thailand']",93.4 km,1 hour 31 mins
6,พร้าว,"('พร้าว', 'เชียงใหม่')",ไชยปราการ,"('ไชยปราการ', 'เชียงใหม่')","['79 Bunma 2 Alley, Tambon Wiang, Amphoe Phrao, Chang Wat Chiang Mai 50190, Thailand']","['P4JR+V3C ซอย บ้านท่า 3 Tambon Pong Tam, Amphoe Chai Prakan, Chang Wat Chiang Mai 50320, Thailand']",53.8 km,1 hour 6 mins
7,พร้าว,"('พร้าว', 'เชียงใหม่')",แม่สรวย,"('แม่สรวย', 'เชียงราย')","['79 Bunma 2 Alley, Tambon Wiang, Amphoe Phrao, Chang Wat Chiang Mai 50190, Thailand']","['อาคารที่ว่าการอำเภอแม่สรวย, ถนนเชียงราย-เชียงใหม่, ตำบลแม่สรวย อำเภอแม่สรวย จังหวัดเชียงราย, 57180 Tambon Mae Suai, Amphoe Mae Suai, Chang Wat Chiang Rai 57180, Thailand']",92.9 km,1 hour 49 mins
8,พร้าว,"('พร้าว', 'เชียงใหม่')",เวียงป่าเป้า,"('เวียงป่าเป้า', 'เชียงราย')","['79 Bunma 2 Alley, Tambon Wiang, Amphoe Phrao, Chang Wat Chiang Mai 50190, Thailand']","['8GX5+338, Wiang, Wiang Pa Pao District, Chiang Rai 57170, Thailand']",54.5 km,1 hour 13 mins
9,พร้าว,"('พร้าว', 'เชียงใหม่')",เชียงดาว,"('เชียงดาว', 'เชียงใหม่')","['79 Bunma 2 Alley, Tambon Wiang, Amphoe Phrao, Chang Wat Chiang Mai 50190, Thailand']","['หมู่ 6, ตำบลเชียงดาว อำเภอเชียงดาว จังหวัดเชียงใหม่, 50170 Tambon Chiang Dao, Amphoe Chiang Dao, Chang Wat Chiang Mai 50170, Thailand']",42.4 km,51 mins
